picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  293, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2932 ms, ax =  0.5011, ay = -0.6629, az =  9.8236, gx =  0.1106 rad/s, gy = -0.0004 rad/s, gz = -0.0342 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.5030 A, I_w_roll = 16.5167 A, theta_pitch = -53.25656mrad, theta_roll_comp = -71.9036 mrad, theta_setpoint = -16.4521 mrad, 
msg = 7850, nerr =  450p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78502 ms, ax =  0.5179, ay = -0.2278, az =  9.8560, gx = -0.0049 rad/s, gy = -0.0021 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = 35.2941, I_w_pitch =  6.8802 A, I_w_roll =  3.2252 A, theta_pitch = -55.30940mrad, theta_roll_comp = -29.8826 mrad, theta_setpoint = -42.2165 mrad, 
msg = 7851, nerr =  450p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78512 ms, ax =  0.5107, ay = -0.2913, az =  9.8452, gx = -0.0050 rad/s, gy = -0.0029 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 35.2941, I_w_pitch =  6.9112 A, I_w_roll =  3.1723 A, theta_pitch = -55.30289mrad, theta_roll_comp = -29.8984 mrad, theta_setpoint = -42.2165 mrad, 
msg = 7852, nerr =  450p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78522 ms, ax =  0.4831, ay = -0.2733, az =  9.8092, gx = -0.0053 rad/s, gy = -0.0029 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 35.2941, I_w_pitch =  6.9082 A, I_w_roll =  3.0634 A, theta_pitch = -55.28323mrad, theta_roll_comp = -29.9375 mrad, theta_setpoint = -42.2165 mrad, 
msg = 7853, nerr =  450p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78532 ms, ax =  0.5143, ay = -0.2601, az =  9.8787, gx = -0.0051 rad/s, gy = -0.0028 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = 35.2941, I_w_pitch =  6.9003 A, I_w_roll =  3.1008 A, theta_pitch = -55.26557mrad, theta_roll_comp = -29.9606 mrad, theta_setpoint = -42.2165 mrad, 
msg = 7854, nerr =  451p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78542 ms, ax =  0.5119, ay = -0.3105, az =  9.8284, gx = -0.0047 rad/s, gy = -0.0030 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = 71.2567, I_w_pitch =  6.9104 A, I_w_roll =  4.1278 A, theta_pitch = -55.26215mrad, theta_roll_comp = -30.0010 mrad, theta_setpoint = -44.4749 mrad, 
msg = 7855, nerr =  451p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78552 ms, ax =  0.5262, ay = -0.2745, az =  9.8500, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 71.2567, I_w_pitch =  6.9220 A, I_w_roll =  4.2980 A, theta_pitch = -55.26867mrad, theta_roll_comp = -30.0415 mrad, theta_setpoint = -44.4749 mrad, 
msg = 7856, nerr =  451p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78562 ms, ax =  0.5394, ay = -0.3057, az =  9.8799, gx = -0.0033 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = 73.7968, I_w_pitch =  6.9251 A, I_w_roll =  4.6754 A, theta_pitch = -55.28884mrad, theta_roll_comp = -30.0732 mrad, theta_setpoint = -44.6344 mrad, 
msg = 7857, nerr =  451p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78572 ms, ax =  0.5179, ay = -0.2889, az =  9.8080, gx = -0.0031 rad/s, gy = -0.0033 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = 73.7968, I_w_pitch =  6.9274 A, I_w_roll =  4.7089 A, theta_pitch = -55.30473mrad, theta_roll_comp = -30.1058 mrad, theta_setpoint = -44.6344 mrad, 
msg = 7858, nerr =  451p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78582 ms, ax =  0.5322, ay = -0.3081, az =  9.8632, gx = -0.0030 rad/s, gy = -0.0030 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = 73.7968, I_w_pitch =  6.9186 A, I_w_roll =  4.7421 A, theta_pitch = -55.31684mrad, theta_roll_comp = -30.1394 mrad, theta_setpoint = -44.6344 mrad, 
msg = 7859, nerr =  451p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78592 ms, ax =  0.5119, ay = -0.2733, az =  9.8320, gx = -0.0038 rad/s, gy = -0.0030 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = 73.7968, I_w_pitch =  6.9195 A, I_w_roll =  4.4517 A, theta_pitch = -55.32296mrad, theta_roll_comp = -30.1664 mrad, theta_setpoint = -44.6344 mrad, 
msg = 7860, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78602 ms, ax =  0.5322, ay = -0.3141, az =  9.8332, gx = -0.0033 rad/s, gy = -0.0029 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 78.7433, I_w_pitch =  6.9153 A, I_w_roll =  4.7490 A, theta_pitch = -55.33040mrad, theta_roll_comp = -30.1999 mrad, theta_setpoint = -44.9451 mrad, 
msg = 7861, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78612 ms, ax =  0.5071, ay = -0.2170, az =  9.8452, gx = -0.0028 rad/s, gy = -0.0028 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = 78.7433, I_w_pitch =  6.9103 A, I_w_roll =  4.9374 A, theta_pitch = -55.33222mrad, theta_roll_comp = -30.1948 mrad, theta_setpoint = -44.9451 mrad, 
msg = 7862, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78622 ms, ax =  0.5167, ay = -0.2889, az =  9.8500, gx = -0.0016 rad/s, gy = -0.0025 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = 78.7433, I_w_pitch =  6.8985 A, I_w_roll =  5.3654 A, theta_pitch = -55.32475mrad, theta_roll_comp = -30.1734 mrad, theta_setpoint = -44.9451 mrad, 
msg = 7863, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78632 ms, ax =  0.5119, ay = -0.2206, az =  9.8428, gx = -0.0020 rad/s, gy = -0.0026 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 78.7433, I_w_pitch =  6.9029 A, I_w_roll =  5.2367 A, theta_pitch = -55.31884mrad, theta_roll_comp = -30.1458 mrad, theta_setpoint = -44.9451 mrad, 
msg = 7864, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78642 ms, ax =  0.5179, ay = -0.2889, az =  9.8440, gx = -0.0013 rad/s, gy = -0.0024 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = 84.0241, I_w_pitch =  6.8914 A, I_w_roll =  5.6122 A, theta_pitch = -55.31327mrad, theta_roll_comp = -30.1211 mrad, theta_setpoint = -45.2767 mrad, 
msg = 7865, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78652 ms, ax =  0.5179, ay = -0.2421, az =  9.8404, gx = -0.0025 rad/s, gy = -0.0028 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = 84.0241, I_w_pitch =  6.9072 A, I_w_roll =  5.1983 A, theta_pitch = -55.31155mrad, theta_roll_comp = -30.1074 mrad, theta_setpoint = -45.2767 mrad, 
msg = 7866, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78662 ms, ax =  0.4951, ay = -0.2457, az =  9.8380, gx = -0.0017 rad/s, gy = -0.0028 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = 86.9318, I_w_pitch =  6.9054 A, I_w_roll =  5.5639 A, theta_pitch = -55.29955mrad, theta_roll_comp = -30.0750 mrad, theta_setpoint = -45.4593 mrad, 
msg = 7867, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78672 ms, ax =  0.4939, ay = -0.2445, az =  9.8344, gx = -0.0028 rad/s, gy = -0.0024 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 86.9318, I_w_pitch =  6.8856 A, I_w_roll =  5.2026 A, theta_pitch = -55.27439mrad, theta_roll_comp = -30.0460 mrad, theta_setpoint = -45.4593 mrad, 
msg = 7868, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78682 ms, ax =  0.5023, ay = -0.1966, az =  9.8679, gx = -0.0012 rad/s, gy = -0.0025 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = 86.9318, I_w_pitch =  6.8875 A, I_w_roll =  5.7855 A, theta_pitch = -55.25143mrad, theta_roll_comp = -29.9869 mrad, theta_setpoint = -45.4593 mrad, 
msg = 7869, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78692 ms, ax =  0.4819, ay = -0.2038, az =  9.8464, gx = -0.0026 rad/s, gy = -0.0022 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = 86.9318, I_w_pitch =  6.8722 A, I_w_roll =  5.3037 A, theta_pitch = -55.22084mrad, theta_roll_comp = -29.9098 mrad, theta_setpoint = -45.4593 mrad, 
msg = 7870, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78702 ms, ax =  0.5083, ay = -0.2421, az =  9.8644, gx = -0.0021 rad/s, gy = -0.0024 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.3489, I_w_pitch =  6.8736 A, I_w_roll =  5.6706 A, theta_pitch = -55.19437mrad, theta_roll_comp = -29.8615 mrad, theta_setpoint = -45.8623 mrad, 
msg = 7871, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78712 ms, ax =  0.5155, ay = -0.1331, az =  9.8212, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.3489, I_w_pitch =  6.8995 A, I_w_roll =  4.8159 A, theta_pitch = -55.18941mrad, theta_roll_comp = -29.7848 mrad, theta_setpoint = -45.8623 mrad, 
msg = 7872, nerr =  452p/ 466r, time steps =    5, qsz =    2, switch = on, t =    78722 ms, ax =  0.5011, ay = -0.2973, az =  9.8548, gx = -0.0037 rad/s, gy = -0.0029 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.3489, I_w_pitch =  6.8932 A, I_w_roll =  5.1553 A, theta_pitch = -55.18280mrad, theta_roll_comp = -29.7519 mrad, theta_setpoint = -45.8623 mrad, 
msg = 7873, nerr =  452p/ 466r, time steps =    5, qsz =    3, switch = on, t =    78732 ms, ax =  0.4687, ay = -0.1067, az =  9.8691, gx = -0.0051 rad/s, gy = -0.0030 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 93.3489, I_w_pitch =  6.8937 A, I_w_roll =  4.6640 A, theta_pitch = -55.15105mrad, theta_roll_comp = -29.6985 mrad, theta_setpoint = -45.8623 mrad, 
msg = 7874, nerr =  453p/ 467r, time steps =    5, qsz =    2, switch = on, t =    78742 ms, ax =  0.4771, ay = -0.3189, az =  9.8332, gx = -0.0051 rad/s, gy = -0.0029 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8821 A, I_w_roll =  4.8583 A, theta_pitch = -55.10920mrad, theta_roll_comp = -29.6743 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7875, nerr =  453p/ 467r, time steps =    5, qsz =    2, switch = on, t =    78752 ms, ax =  0.4939, ay = -0.1007, az =  9.8452, gx = -0.0055 rad/s, gy = -0.0034 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8996 A, I_w_roll =  4.7336 A, theta_pitch = -55.08359mrad, theta_roll_comp = -29.6366 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7876, nerr =  453p/ 467r, time steps =    5, qsz =    2, switch = on, t =    78762 ms, ax =  0.5394, ay = -0.3177, az =  9.8284, gx = -0.0071 rad/s, gy = -0.0032 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8902 A, I_w_roll =  4.1788 A, theta_pitch = -55.09211mrad, theta_roll_comp = -29.6255 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7877, nerr =  453p/ 467r, time steps =    5, qsz =    2, switch = on, t =    78772 ms, ax =  0.5514, ay = -0.1966, az =  9.8428, gx = -0.0054 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8955 A, I_w_roll =  4.7755 A, theta_pitch = -55.12706mrad, theta_roll_comp = -29.6483 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7878, nerr =  453p/ 467r, time steps =    5, qsz =    2, switch = on, t =    78782 ms, ax =  0.5226, ay = -0.1930, az =  9.8524, gx = -0.0079 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8882 A, I_w_roll =  3.9025 A, theta_pitch = -55.14955mrad, theta_roll_comp = -29.6173 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7879, nerr =  453p/ 467r, time steps =    5, qsz =    2, switch = on, t =    78792 ms, ax =  0.5322, ay = -0.3320, az =  9.8584, gx = -0.0067 rad/s, gy = -0.0025 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8737 A, I_w_roll =  4.3027 A, theta_pitch = -55.15982mrad, theta_roll_comp = -29.6653 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7880, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78802 ms, ax =  0.4855, ay = -0.1259, az =  9.8380, gx = -0.0075 rad/s, gy = -0.0030 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8937 A, I_w_roll =  4.0233 A, theta_pitch = -55.15052mrad, theta_roll_comp = -29.6648 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7881, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78812 ms, ax =  0.4903, ay = -0.3117, az =  9.8284, gx = -0.0085 rad/s, gy = -0.0029 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8844 A, I_w_roll =  3.6921 A, theta_pitch = -55.12460mrad, theta_roll_comp = -29.6771 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7882, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78822 ms, ax =  0.4831, ay = -0.2517, az =  9.8488, gx = -0.0070 rad/s, gy = -0.0029 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8802 A, I_w_roll =  4.1792 A, theta_pitch = -55.09634mrad, theta_roll_comp = -29.7409 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7883, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78832 ms, ax =  0.4735, ay = -0.1894, az =  9.8428, gx = -0.0085 rad/s, gy = -0.0025 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8584 A, I_w_roll =  3.6657 A, theta_pitch = -55.05738mrad, theta_roll_comp = -29.7432 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7884, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78842 ms, ax =  0.4927, ay = -0.2661, az =  9.8488, gx = -0.0081 rad/s, gy = -0.0025 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8532 A, I_w_roll =  3.7977 A, theta_pitch = -55.02286mrad, theta_roll_comp = -29.7626 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7885, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78852 ms, ax =  0.4843, ay = -0.2469, az =  9.8524, gx = -0.0077 rad/s, gy = -0.0032 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8759 A, I_w_roll =  3.9214 A, theta_pitch = -54.99641mrad, theta_roll_comp = -29.8031 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7886, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78862 ms, ax =  0.4891, ay = -0.2505, az =  9.8380, gx = -0.0077 rad/s, gy = -0.0028 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8559 A, I_w_roll =  3.9088 A, theta_pitch = -54.97015mrad, theta_roll_comp = -29.8345 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7887, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78872 ms, ax =  0.5107, ay = -0.2350, az =  9.8308, gx = -0.0083 rad/s, gy = -0.0030 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8648 A, I_w_roll =  3.6645 A, theta_pitch = -54.95820mrad, theta_roll_comp = -29.8626 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7888, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78882 ms, ax =  0.4999, ay = -0.3045, az =  9.8464, gx = -0.0078 rad/s, gy = -0.0030 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8638 A, I_w_roll =  3.8276 A, theta_pitch = -54.95158mrad, theta_roll_comp = -29.9210 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7889, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78892 ms, ax =  0.5095, ay = -0.2158, az =  9.8512, gx = -0.0082 rad/s, gy = -0.0030 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8628 A, I_w_roll =  3.6708 A, theta_pitch = -54.94458mrad, theta_roll_comp = -29.9635 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7890, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78902 ms, ax =  0.5430, ay = -0.1726, az =  9.8620, gx = -0.0087 rad/s, gy = -0.0030 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8650 A, I_w_roll =  3.4920 A, theta_pitch = -54.95974mrad, theta_roll_comp = -29.9445 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7891, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78912 ms, ax =  0.5179, ay = -0.3081, az =  9.8452, gx = -0.0077 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = 100.7019, I_w_pitch =  6.8894 A, I_w_roll =  3.8528 A, theta_pitch = -54.98028mrad, theta_roll_comp = -29.9745 mrad, theta_setpoint = -46.3241 mrad, 
msg = 7892, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78922 ms, ax =  0.5131, ay = -0.2541, az =  9.8440, gx = -0.0069 rad/s, gy = -0.0033 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 133.9572, I_w_pitch =  6.8799 A, I_w_roll =  4.9453 A, theta_pitch = -54.98760mrad, theta_roll_comp = -30.0308 mrad, theta_setpoint = -48.4125 mrad, 
msg = 7893, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78932 ms, ax =  0.5179, ay = -0.2937, az =  9.8476, gx = -0.0070 rad/s, gy = -0.0036 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = 133.9572, I_w_pitch =  6.8917 A, I_w_roll =  4.8794 A, theta_pitch = -54.99521mrad, theta_roll_comp = -30.0791 mrad, theta_setpoint = -48.4125 mrad, 
msg = 7894, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78942 ms, ax =  0.5191, ay = -0.2242, az =  9.8344, gx = -0.0079 rad/s, gy = -0.0033 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 133.9572, I_w_pitch =  6.8826 A, I_w_roll =  4.5391 A, theta_pitch = -55.00581mrad, theta_roll_comp = -30.1141 mrad, theta_setpoint = -48.4125 mrad, 
msg = 7895, nerr =  454p/ 468r, time steps =    5, qsz =    2, switch = on, t =    78952 ms, ax =  0.4807, ay = -0.2745, az =  9.8620, gx = -0.0091 rad/s, gy = -0.0022 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 133.9572, I_w_pitch =  6.8375 A, I_w_roll =  4.1041 A, theta_pitch = -54.98915mrad, theta_roll_comp = -30.1531 mrad, theta_setpoint = -48.4125 mrad, 
msg = 7896, nerr =  454p/ 469r, time steps =    5, qsz =    2, switch = on, t =    78962 ms, ax =  0.5226, ay = -0.2841, az =  9.8392, gx = -0.0094 rad/s, gy = -0.0025 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8457 A, I_w_roll =  4.1464 A, theta_pitch = -54.97254mrad, theta_roll_comp = -30.2277 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7897, nerr =  454p/ 469r, time steps =    5, qsz =    2, switch = on, t =    78972 ms, ax =  0.4891, ay = -0.2433, az =  9.8715, gx = -0.0090 rad/s, gy = -0.0017 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8111 A, I_w_roll =  4.2639 A, theta_pitch = -54.95533mrad, theta_roll_comp = -30.2835 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7898, nerr =  454p/ 469r, time steps =    5, qsz =    2, switch = on, t =    78982 ms, ax =  0.5406, ay = -0.2517, az =  9.8440, gx = -0.0085 rad/s, gy = -0.0016 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8043 A, I_w_roll =  4.4361 A, theta_pitch = -54.94570mrad, theta_roll_comp = -30.3191 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7899, nerr =  454p/ 469r, time steps =    5, qsz =    2, switch = on, t =    78992 ms, ax =  0.5071, ay = -0.1594, az =  9.8236, gx = -0.0087 rad/s, gy = -0.0028 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8528 A, I_w_roll =  4.3473 A, theta_pitch = -54.94936mrad, theta_roll_comp = -30.3082 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7900, nerr =  455p/ 469r, time steps =    5, qsz =    2, switch = on, t =    79002 ms, ax =  0.5406, ay = -0.3033, az =  9.8212, gx = -0.0089 rad/s, gy = -0.0025 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8438 A, I_w_roll =  4.2905 A, theta_pitch = -54.96000mrad, theta_roll_comp = -30.3337 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7901, nerr =  455p/ 469r, time steps =    5, qsz =    2, switch = on, t =    79012 ms, ax =  0.4843, ay = -0.2757, az =  9.8464, gx = -0.0093 rad/s, gy = -0.0017 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8103 A, I_w_roll =  4.1184 A, theta_pitch = -54.94969mrad, theta_roll_comp = -30.4142 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7902, nerr =  455p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79022 ms, ax =  0.4879, ay = -0.3261, az =  9.8404, gx = -0.0094 rad/s, gy = -0.0018 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8099 A, I_w_roll =  4.0332 A, theta_pitch = -54.91156mrad, theta_roll_comp = -30.5107 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7903, nerr =  455p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79032 ms, ax =  0.4951, ay = -0.2877, az =  9.8488, gx = -0.0091 rad/s, gy = -0.0021 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8160 A, I_w_roll =  4.0874 A, theta_pitch = -54.88131mrad, theta_roll_comp = -30.6083 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7904, nerr =  455p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79042 ms, ax =  0.4819, ay = -0.2457, az =  9.8356, gx = -0.0085 rad/s, gy = -0.0030 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8492 A, I_w_roll =  4.3001 A, theta_pitch = -54.85398mrad, theta_roll_comp = -30.6591 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7905, nerr =  455p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79052 ms, ax =  0.4999, ay = -0.2757, az =  9.8272, gx = -0.0078 rad/s, gy = -0.0033 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8572 A, I_w_roll =  4.5168 A, theta_pitch = -54.83675mrad, theta_roll_comp = -30.6998 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7906, nerr =  456p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79062 ms, ax =  0.5322, ay = -0.2481, az =  9.8368, gx = -0.0079 rad/s, gy = -0.0037 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8751 A, I_w_roll =  4.4554 A, theta_pitch = -54.84901mrad, theta_roll_comp = -30.7368 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7907, nerr =  456p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79072 ms, ax =  0.5047, ay = -0.2913, az =  9.8296, gx = -0.0077 rad/s, gy = -0.0038 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8826 A, I_w_roll =  4.5302 A, theta_pitch = -54.86395mrad, theta_roll_comp = -30.7830 mrad, theta_setpoint = -48.8260 mrad, 
msg = 7908, nerr =  456p/ 470r, time steps =    5, qsz =    2, switch = on, t =    79082 ms, ax =  0.4795, ay = -0.3285, az =  9.8236, gx = -0.0078 rad/s, gy = -0.0042 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = 140.5414, I_w_pitch =  6.8973 A, I_w_roll =  4.4492 A, theta_pitch = -54.85513mrad, theta_roll_comp = -30.8690 mrad, theta_setpoint = -48.8260 mrad, 
