picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 18589, nerr = 1026p/ 996r, time steps =    5, qsz =    2, switch = off, t =   185892 ms, ax =  0.5191, ay =  0.0863, az =  9.8380, gx =  0.0275 rad/s, gy = -0.0044 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.7385 A, I_w_roll = 27.9236 A, theta_pitch = -53.76136mrad, theta_roll_comp =  3.6376 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18590, nerr = 1026p/ 996r, time steps =    5, qsz =    2, switch = off, t =   185902 ms, ax =  0.5286, ay =  0.0779, az =  9.8476, gx =  0.0277 rad/s, gy = -0.0041 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.7334 A, I_w_roll = 28.1456 A, theta_pitch = -53.79781mrad, theta_roll_comp =  3.9595 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18591, nerr = 1026p/ 996r, time steps =    5, qsz =    2, switch = off, t =   185912 ms, ax =  0.5394, ay =  0.0755, az =  9.8440, gx =  0.0276 rad/s, gy = -0.0038 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.7292 A, I_w_roll = 28.2245 A, theta_pitch = -53.84143mrad, theta_roll_comp =  4.2734 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18592, nerr = 1026p/ 997r, time steps =    5, qsz =    2, switch = off, t =   185922 ms, ax =  0.5430, ay =  0.0767, az =  9.8464, gx =  0.0279 rad/s, gy = -0.0030 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.7040 A, I_w_roll = 28.4421 A, theta_pitch = -53.88614mrad, theta_roll_comp =  4.5844 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18593, nerr = 1026p/ 997r, time steps =    5, qsz =    2, switch = off, t =   185932 ms, ax =  0.5382, ay =  0.0887, az =  9.8476, gx =  0.0281 rad/s, gy = -0.0026 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6936 A, I_w_roll = 28.6624 A, theta_pitch = -53.92363mrad, theta_roll_comp =  4.9020 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18594, nerr = 1027p/ 997r, time steps =    5, qsz =    2, switch = off, t =   185942 ms, ax =  0.5382, ay =  0.0959, az =  9.8500, gx =  0.0285 rad/s, gy = -0.0024 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6877 A, I_w_roll = 28.9332 A, theta_pitch = -53.95509mrad, theta_roll_comp =  5.2294 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18595, nerr = 1027p/ 997r, time steps =    5, qsz =    2, switch = off, t =   185952 ms, ax =  0.5394, ay =  0.1031, az =  9.8464, gx =  0.0289 rad/s, gy = -0.0014 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6543 A, I_w_roll = 29.2071 A, theta_pitch = -53.98072mrad, theta_roll_comp =  5.5648 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18596, nerr = 1027p/ 997r, time steps =    5, qsz =    2, switch = off, t =   185962 ms, ax =  0.5226, ay =  0.0971, az =  9.8404, gx =  0.0292 rad/s, gy = -0.0013 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6507 A, I_w_roll = 29.4345 A, theta_pitch = -53.99275mrad, theta_roll_comp =  5.9002 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18597, nerr = 1027p/ 997r, time steps =    5, qsz =    2, switch = off, t =   185972 ms, ax =  0.5346, ay =  0.0971, az =  9.8296, gx =  0.0293 rad/s, gy = -0.0009 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6360 A, I_w_roll = 29.6137 A, theta_pitch = -54.00107mrad, theta_roll_comp =  6.2316 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18598, nerr = 1027p/ 998r, time steps =    5, qsz =    2, switch = off, t =   185982 ms, ax =  0.5011, ay =  0.1043, az =  9.8320, gx =  0.0293 rad/s, gy = -0.0008 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6297 A, I_w_roll = 29.7467 A, theta_pitch = -53.99426mrad, theta_roll_comp =  6.5642 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18599, nerr = 1027p/ 998r, time steps =    5, qsz =    2, switch = off, t =   185992 ms, ax =  0.5107, ay =  0.1247, az =  9.8356, gx =  0.0295 rad/s, gy = -0.0006 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6215 A, I_w_roll = 29.9311 A, theta_pitch = -53.97559mrad, theta_roll_comp =  6.9086 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18600, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186002 ms, ax =  0.5023, ay =  0.1247, az =  9.8200, gx =  0.0297 rad/s, gy = -0.0009 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6296 A, I_w_roll = 30.1654 A, theta_pitch = -53.95820mrad, theta_roll_comp =  7.2613 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18601, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186012 ms, ax =  0.4987, ay =  0.1283, az =  9.8200, gx =  0.0303 rad/s, gy = -0.0009 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6264 A, I_w_roll = 30.4939 A, theta_pitch = -53.93673mrad, theta_roll_comp =  7.6166 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18602, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186022 ms, ax =  0.4951, ay =  0.1379, az =  9.8320, gx =  0.0305 rad/s, gy = -0.0010 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6280 A, I_w_roll = 30.7321 A, theta_pitch = -53.91222mrad, theta_roll_comp =  7.9791 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18603, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186032 ms, ax =  0.4795, ay =  0.1307, az =  9.8344, gx =  0.0307 rad/s, gy = -0.0012 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6283 A, I_w_roll = 30.9232 A, theta_pitch = -53.87880mrad, theta_roll_comp =  8.3404 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18604, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186042 ms, ax =  0.4699, ay =  0.1283, az =  9.8272, gx =  0.0307 rad/s, gy = -0.0013 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6270 A, I_w_roll = 31.0647 A, theta_pitch = -53.83464mrad, theta_roll_comp =  8.6941 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18605, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186052 ms, ax =  0.4735, ay =  0.1415, az =  9.8344, gx =  0.0303 rad/s, gy = -0.0016 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6310 A, I_w_roll = 31.0665 A, theta_pitch = -53.79039mrad, theta_roll_comp =  9.0482 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18606, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186062 ms, ax =  0.4747, ay =  0.1331, az =  9.8176, gx =  0.0307 rad/s, gy = -0.0018 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6359 A, I_w_roll = 31.3473 A, theta_pitch = -53.75188mrad, theta_roll_comp =  9.4007 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18607, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186072 ms, ax =  0.4831, ay =  0.1379, az =  9.8260, gx =  0.0311 rad/s, gy = -0.0021 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6420 A, I_w_roll = 31.6278 A, theta_pitch = -53.72162mrad, theta_roll_comp =  9.7524 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18608, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186082 ms, ax =  0.4867, ay =  0.1367, az =  9.8236, gx =  0.0313 rad/s, gy = -0.0029 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6712 A, I_w_roll = 31.8623 A, theta_pitch = -53.70297mrad, theta_roll_comp = 10.1054 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18609, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186092 ms, ax =  0.4831, ay =  0.1115, az =  9.8320, gx =  0.0320 rad/s, gy = -0.0030 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = 33.9238, I_w_pitch =  6.6744 A, I_w_roll = 32.2314 A, theta_pitch = -53.68851mrad, theta_roll_comp = 10.4456 mrad, theta_setpoint = -42.1304 mrad, 
msg = 18610, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186102 ms, ax =  0.4795, ay =  0.1139, az =  9.8356, gx =  0.0328 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.1818, I_w_pitch =  6.6826 A, I_w_roll = 32.2489 A, theta_pitch = -53.67228mrad, theta_roll_comp = 10.7790 mrad, theta_setpoint = -41.1418 mrad, 
msg = 18611, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186112 ms, ax =  0.4951, ay =  0.1043, az =  9.8356, gx =  0.0336 rad/s, gy = -0.0033 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.1818, I_w_pitch =  6.6813 A, I_w_roll = 32.6621 A, theta_pitch = -53.66397mrad, theta_roll_comp = 11.1130 mrad, theta_setpoint = -41.1418 mrad, 
msg = 18612, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186122 ms, ax =  0.5083, ay =  0.1031, az =  9.8392, gx =  0.0345 rad/s, gy = -0.0032 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.1818, I_w_pitch =  6.6768 A, I_w_roll = 33.1219 A, theta_pitch = -53.66944mrad, theta_roll_comp = 11.4469 mrad, theta_setpoint = -41.1418 mrad, 
msg = 18613, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186132 ms, ax =  0.5274, ay =  0.1055, az =  9.8368, gx =  0.0355 rad/s, gy = -0.0032 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.1818, I_w_pitch =  6.6800 A, I_w_roll = 33.5844 A, theta_pitch = -53.69070mrad, theta_roll_comp = 11.7877 mrad, theta_setpoint = -41.1418 mrad, 
msg = 18614, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186142 ms, ax =  0.5298, ay =  0.1247, az =  9.8368, gx =  0.0360 rad/s, gy = -0.0021 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.4131, I_w_pitch =  6.6413 A, I_w_roll = 33.8938 A, theta_pitch = -53.71668mrad, theta_roll_comp = 12.1434 mrad, theta_setpoint = -41.0935 mrad, 
msg = 18615, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186152 ms, ax =  0.5418, ay =  0.1319, az =  9.8380, gx =  0.0373 rad/s, gy = -0.0018 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.4131, I_w_pitch =  6.6347 A, I_w_roll = 34.5099 A, theta_pitch = -53.74346mrad, theta_roll_comp = 12.5184 mrad, theta_setpoint = -41.0935 mrad, 
msg = 18616, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186162 ms, ax =  0.5478, ay =  0.1355, az =  9.8392, gx =  0.0384 rad/s, gy = -0.0012 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.7447, I_w_pitch =  6.6126 A, I_w_roll = 35.0212 A, theta_pitch = -53.77405mrad, theta_roll_comp = 12.9065 mrad, theta_setpoint = -41.0516 mrad, 
msg = 18617, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186172 ms, ax =  0.5466, ay =  0.1450, az =  9.8512, gx =  0.0393 rad/s, gy = -0.0004 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.7447, I_w_pitch =  6.5844 A, I_w_roll = 35.5079 A, theta_pitch = -53.79884mrad, theta_roll_comp = 13.3077 mrad, theta_setpoint = -41.0516 mrad, 
msg = 18618, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186182 ms, ax =  0.5406, ay =  0.1474, az =  9.8464, gx =  0.0403 rad/s, gy = -0.0002 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.7447, I_w_pitch =  6.5815 A, I_w_roll = 35.9990 A, theta_pitch = -53.81496mrad, theta_roll_comp = 13.7199 mrad, theta_setpoint = -41.0516 mrad, 
msg = 18619, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186192 ms, ax =  0.5298, ay =  0.1426, az =  9.8452, gx =  0.0409 rad/s, gy =  0.0003 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.7447, I_w_pitch =  6.5608 A, I_w_roll = 36.3979 A, theta_pitch = -53.81910mrad, theta_roll_comp = 14.1347 mrad, theta_setpoint = -41.0516 mrad, 
msg = 18620, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186202 ms, ax =  0.5238, ay =  0.1546, az =  9.8440, gx =  0.0413 rad/s, gy =  0.0008 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.0094, I_w_pitch =  6.5381 A, I_w_roll = 36.6871 A, theta_pitch = -53.80957mrad, theta_roll_comp = 14.5544 mrad, theta_setpoint = -41.0054 mrad, 
msg = 18621, nerr = 1028p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186212 ms, ax =  0.5179, ay =  0.1630, az =  9.8404, gx =  0.0415 rad/s, gy =  0.0008 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.0094, I_w_pitch =  6.5354 A, I_w_roll = 36.9052 A, theta_pitch = -53.79175mrad, theta_roll_comp = 14.9831 mrad, theta_setpoint = -41.0054 mrad, 
msg = 18622, nerr = 1029p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186222 ms, ax =  0.5047, ay =  0.1786, az =  9.8308, gx =  0.0420 rad/s, gy =  0.0010 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.0094, I_w_pitch =  6.5259 A, I_w_roll = 37.2676 A, theta_pitch = -53.76384mrad, theta_roll_comp = 15.4231 mrad, theta_setpoint = -41.0054 mrad, 
msg = 18623, nerr = 1029p/ 998r, time steps =    5, qsz =    2, switch = off, t =   186232 ms, ax =  0.4915, ay =  0.1846, az =  9.8248, gx =  0.0428 rad/s, gy =  0.0011 rad/s, gz = -0.0156 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.0094, I_w_pitch =  6.5143 A, I_w_roll = 37.7286 A, theta_pitch = -53.72192mrad, theta_roll_comp = 15.8765 mrad, theta_setpoint = -41.0054 mrad, 
msg = 18624, nerr = 1029p/ 999r, time steps =    5, qsz =    2, switch = off, t =   186242 ms, ax =  0.4795, ay =  0.1918, az =  9.8152, gx =  0.0441 rad/s, gy =  0.0008 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5170 A, I_w_roll = 38.3602 A, theta_pitch = -53.66895mrad, theta_roll_comp = 16.3428 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18625, nerr = 1029p/ 999r, time steps =    5, qsz =    2, switch = off, t =   186252 ms, ax =  0.4507, ay =  0.1882, az =  9.8200, gx =  0.0448 rad/s, gy =  0.0003 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5278 A, I_w_roll = 38.7824 A, theta_pitch = -53.59937mrad, theta_roll_comp = 16.8159 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18626, nerr = 1029p/ 999r, time steps =    5, qsz =    2, switch = off, t =   186262 ms, ax =  0.4351, ay =  0.2122, az =  9.8140, gx =  0.0449 rad/s, gy = -0.0001 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5309 A, I_w_roll = 39.0225 A, theta_pitch = -53.51310mrad, theta_roll_comp = 17.2994 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18627, nerr = 1029p/ 999r, time steps =    5, qsz =    2, switch = off, t =   186272 ms, ax =  0.4315, ay =  0.2254, az =  9.8284, gx =  0.0444 rad/s, gy = -0.0009 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5495 A, I_w_roll = 39.0340 A, theta_pitch = -53.42432mrad, theta_roll_comp = 17.7942 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18628, nerr = 1030p/ 999r, time steps =    5, qsz =    2, switch = off, t =   186282 ms, ax =  0.4315, ay =  0.2397, az =  9.8272, gx =  0.0441 rad/s, gy = -0.0009 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5366 A, I_w_roll = 39.1407 A, theta_pitch = -53.33816mrad, theta_roll_comp = 18.2941 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18629, nerr = 1030p/ 999r, time steps =    5, qsz =    2, switch = off, t =   186292 ms, ax =  0.4579, ay =  0.2721, az =  9.8236, gx =  0.0437 rad/s, gy = -0.0009 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5259 A, I_w_roll = 39.2072 A, theta_pitch = -53.26720mrad, theta_roll_comp = 18.8099 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18630, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186302 ms, ax =  0.4843, ay =  0.3069, az =  9.8344, gx =  0.0433 rad/s, gy = -0.0016 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5465 A, I_w_roll = 39.2837 A, theta_pitch = -53.22709mrad, theta_roll_comp = 19.3507 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18631, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186312 ms, ax =  0.4987, ay =  0.3380, az =  9.8344, gx =  0.0431 rad/s, gy = -0.0024 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5766 A, I_w_roll = 39.4166 A, theta_pitch = -53.21455mrad, theta_roll_comp = 19.9159 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18632, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186322 ms, ax =  0.5059, ay =  0.3476, az =  9.8344, gx =  0.0429 rad/s, gy = -0.0025 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5824 A, I_w_roll = 39.6010 A, theta_pitch = -53.21727mrad, theta_roll_comp = 20.4934 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18633, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186332 ms, ax =  0.5107, ay =  0.3500, az =  9.8356, gx =  0.0419 rad/s, gy = -0.0021 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5674 A, I_w_roll = 39.4566 A, theta_pitch = -53.22436mrad, theta_roll_comp = 21.0646 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18634, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186342 ms, ax =  0.5095, ay =  0.3464, az =  9.8380, gx =  0.0404 rad/s, gy = -0.0022 rad/s, gz = -0.0184 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5739 A, I_w_roll = 39.1648 A, theta_pitch = -53.23176mrad, theta_roll_comp = 21.6165 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18635, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186352 ms, ax =  0.4939, ay =  0.3500, az =  9.8356, gx =  0.0389 rad/s, gy = -0.0025 rad/s, gz = -0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5846 A, I_w_roll = 38.8650 A, theta_pitch = -53.23214mrad, theta_roll_comp = 22.1486 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18636, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186362 ms, ax =  0.4903, ay =  0.3512, az =  9.8344, gx =  0.0379 rad/s, gy = -0.0024 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5780 A, I_w_roll = 38.6988 A, theta_pitch = -53.22385mrad, theta_roll_comp = 22.6653 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18637, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186372 ms, ax =  0.4987, ay =  0.3584, az =  9.8404, gx =  0.0371 rad/s, gy = -0.0025 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5825 A, I_w_roll = 38.6219 A, theta_pitch = -53.21842mrad, theta_roll_comp = 23.1721 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18638, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186382 ms, ax =  0.5035, ay =  0.3740, az =  9.8416, gx =  0.0367 rad/s, gy = -0.0021 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5665 A, I_w_roll = 38.6851 A, theta_pitch = -53.21794mrad, theta_roll_comp = 23.6795 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18639, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186392 ms, ax =  0.5131, ay =  0.3896, az =  9.8284, gx =  0.0356 rad/s, gy = -0.0021 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5673 A, I_w_roll = 38.5167 A, theta_pitch = -53.22331mrad, theta_roll_comp = 24.1908 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18640, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186402 ms, ax =  0.5179, ay =  0.3896, az =  9.8320, gx =  0.0344 rad/s, gy = -0.0021 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5692 A, I_w_roll = 38.2980 A, theta_pitch = -53.23599mrad, theta_roll_comp = 24.6925 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18641, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186412 ms, ax =  0.5107, ay =  0.3872, az =  9.8332, gx =  0.0329 rad/s, gy = -0.0021 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.1738, I_w_pitch =  6.5708 A, I_w_roll = 37.9783 A, theta_pitch = -53.24689mrad, theta_roll_comp = 25.1750 mrad, theta_setpoint = -40.9529 mrad, 
msg = 18642, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186422 ms, ax =  0.5035, ay =  0.3776, az =  9.8332, gx =  0.0315 rad/s, gy = -0.0017 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.9037, I_w_pitch =  6.5550 A, I_w_roll = 37.6164 A, theta_pitch = -53.24824mrad, theta_roll_comp = 25.6317 mrad, theta_setpoint = -40.8732 mrad, 
msg = 18643, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186432 ms, ax =  0.4951, ay =  0.3740, az =  9.8164, gx =  0.0303 rad/s, gy = -0.0016 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.9037, I_w_pitch =  6.5484 A, I_w_roll = 37.3702 A, theta_pitch = -53.23957mrad, theta_roll_comp = 26.0645 mrad, theta_setpoint = -40.8732 mrad, 
msg = 18644, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186442 ms, ax =  0.4927, ay =  0.3812, az =  9.8224, gx =  0.0295 rad/s, gy = -0.0021 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.9037, I_w_pitch =  6.5680 A, I_w_roll = 37.2589 A, theta_pitch = -53.22810mrad, theta_roll_comp = 26.4855 mrad, theta_setpoint = -40.8732 mrad, 
msg = 18645, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186452 ms, ax =  0.4903, ay =  0.3944, az =  9.8272, gx =  0.0285 rad/s, gy = -0.0020 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.9037, I_w_pitch =  6.5608 A, I_w_roll = 37.1001 A, theta_pitch = -53.21586mrad, theta_roll_comp = 26.9040 mrad, theta_setpoint = -40.8732 mrad, 
msg = 18646, nerr = 1030p/1000r, time steps =    5, qsz =    2, switch = off, t =   186462 ms, ax =  0.5011, ay =  0.4076, az =  9.8284, gx =  0.0281 rad/s, gy = -0.0018 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.8316, I_w_pitch =  6.5542 A, I_w_roll = 37.0766 A, theta_pitch = -53.20684mrad, theta_roll_comp = 27.3248 mrad, theta_setpoint = -40.7430 mrad, 
