picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -3.5804 A, I_w_roll = -18.7697 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1325, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26502 ms, ax =  0.6018, ay = -0.1259, az =  9.9531, gx = -0.0439 rad/s, gy = -0.0420 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.8084 A, I_w_roll = -6.5158 A, theta_pitch = -50.84501mrad, theta_roll_comp = -17.8813 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1326, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26522 ms, ax =  0.5982, ay = -0.1810, az =  9.9267, gx = -0.0451 rad/s, gy = -0.0366 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.7336 A, I_w_roll = -7.2714 A, theta_pitch = -51.80240mrad, theta_roll_comp = -18.7215 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1327, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26542 ms, ax =  0.6018, ay = -0.2182, az =  9.9351, gx = -0.0452 rad/s, gy = -0.0303 rad/s, gz = -0.0166 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.6085 A, I_w_roll = -7.6898 A, theta_pitch = -52.63705mrad, theta_roll_comp = -19.6511 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1328, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26562 ms, ax =  0.5958, ay = -0.2697, az =  9.9770, gx = -0.0451 rad/s, gy = -0.0233 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.4269 A, I_w_roll = -8.0424 A, theta_pitch = -53.30820mrad, theta_roll_comp = -20.6493 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1329, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26582 ms, ax =  0.5754, ay = -0.3368, az =  9.9998, gx = -0.0431 rad/s, gy = -0.0145 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1457 A, I_w_roll = -7.7675 A, theta_pitch = -53.77723mrad, theta_roll_comp = -21.7095 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1330, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26602 ms, ax =  0.5706, ay = -0.3932, az =  9.9650, gx = -0.0386 rad/s, gy = -0.0060 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8445 A, I_w_roll = -6.6277 A, theta_pitch = -54.04164mrad, theta_roll_comp = -22.8214 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1331, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26622 ms, ax =  0.5886, ay = -0.4064, az =  9.9255, gx = -0.0331 rad/s, gy =  0.0043 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.4486 A, I_w_roll = -5.1388 A, theta_pitch = -54.13658mrad, theta_roll_comp = -23.8761 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1332, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26642 ms, ax =  0.6018, ay = -0.4136, az =  9.9770, gx = -0.0277 rad/s, gy =  0.0161 rad/s, gz = -0.0277 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.9595 A, I_w_roll = -3.6071 A, theta_pitch = -54.03603mrad, theta_roll_comp = -24.8238 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1333, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26662 ms, ax =  0.5814, ay = -0.4291, az = 10.0226, gx = -0.0223 rad/s, gy =  0.0268 rad/s, gz = -0.0386 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.4829 A, I_w_roll = -2.0743 A, theta_pitch = -53.69916mrad, theta_roll_comp = -25.6521 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1334, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26682 ms, ax =  0.5514, ay = -0.4603, az =  9.9615, gx = -0.0173 rad/s, gy =  0.0353 rad/s, gz = -0.0407 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.0556 A, I_w_roll = -0.6098 A, theta_pitch = -53.12286mrad, theta_roll_comp = -26.4182 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1335, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26702 ms, ax =  0.5370, ay = -0.4687, az =  9.8895, gx = -0.0098 rad/s, gy =  0.0402 rad/s, gz = -0.0336 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.7495 A, I_w_roll =  1.7290 A, theta_pitch = -52.39629mrad, theta_roll_comp = -27.0959 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1336, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26722 ms, ax =  0.5322, ay = -0.4567, az =  9.9495, gx = -0.0046 rad/s, gy =  0.0432 rad/s, gz = -0.0256 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.5115 A, I_w_roll =  3.3378 A, theta_pitch = -51.59041mrad, theta_roll_comp = -27.6175 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1337, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26742 ms, ax =  0.5262, ay = -0.4375, az =  9.9842, gx =  0.0000 rad/s, gy =  0.0448 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.3196 A, I_w_roll =  4.8194 A, theta_pitch = -50.73739mrad, theta_roll_comp = -27.9915 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1338, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26762 ms, ax =  0.5047, ay = -0.4291, az =  9.9231, gx =  0.0046 rad/s, gy =  0.0445 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1997 A, I_w_roll =  6.2991 A, theta_pitch = -49.86737mrad, theta_roll_comp = -28.2536 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1339, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26782 ms, ax =  0.4915, ay = -0.4172, az =  9.9135, gx =  0.0092 rad/s, gy =  0.0416 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1894 A, I_w_roll =  7.8716 A, theta_pitch = -49.01694mrad, theta_roll_comp = -28.4001 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1340, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26802 ms, ax =  0.4915, ay = -0.3812, az =  9.9507, gx =  0.0136 rad/s, gy =  0.0377 rad/s, gz = -0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2279 A, I_w_roll =  9.4082 A, theta_pitch = -48.24393mrad, theta_roll_comp = -28.4035 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1341, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26822 ms, ax =  0.4975, ay = -0.3261, az =  9.9615, gx =  0.0166 rad/s, gy =  0.0345 rad/s, gz =  0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2529 A, I_w_roll = 10.5012 A, theta_pitch = -47.55845mrad, theta_roll_comp = -28.2342 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1342, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26842 ms, ax =  0.4975, ay = -0.2805, az =  9.9243, gx =  0.0187 rad/s, gy =  0.0323 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.2519 A, I_w_roll = 11.3719 A, theta_pitch = -46.94860mrad, theta_roll_comp = -27.9216 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1343, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26862 ms, ax =  0.5059, ay = -0.2397, az =  9.9399, gx =  0.0200 rad/s, gy =  0.0328 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  4.1452 A, I_w_roll = 12.0079 A, theta_pitch = -46.37909mrad, theta_roll_comp = -27.4968 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1344, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26882 ms, ax =  0.5214, ay = -0.2098, az =  9.9662, gx =  0.0198 rad/s, gy =  0.0357 rad/s, gz = -0.0184 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.9426 A, I_w_roll = 12.1101 A, theta_pitch = -45.80959mrad, theta_roll_comp = -27.0082 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1345, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26902 ms, ax =  0.5406, ay = -0.1714, az =  9.9866, gx =  0.0192 rad/s, gy =  0.0416 rad/s, gz = -0.0241 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.6149 A, I_w_roll = 12.1431 A, theta_pitch = -45.18716mrad, theta_roll_comp = -26.4597 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1346, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26922 ms, ax =  0.5334, ay = -0.1403, az =  9.9662, gx =  0.0164 rad/s, gy =  0.0490 rad/s, gz = -0.0276 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  3.2064 A, I_w_roll = 11.3930 A, theta_pitch = -44.45219mrad, theta_roll_comp = -25.8882 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1347, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26942 ms, ax =  0.5262, ay = -0.1319, az =  9.9650, gx =  0.0130 rad/s, gy =  0.0574 rad/s, gz = -0.0250 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7376 A, I_w_roll = 10.3928 A, theta_pitch = -43.56388mrad, theta_roll_comp = -25.3595 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1348, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26962 ms, ax =  0.5095, ay = -0.1367, az =  9.9818, gx =  0.0087 rad/s, gy =  0.0647 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.2855 A, I_w_roll =  9.0820 A, theta_pitch = -42.50264mrad, theta_roll_comp = -24.9081 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1349, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    26982 ms, ax =  0.4951, ay = -0.1462, az =  9.9770, gx =  0.0044 rad/s, gy =  0.0713 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.8439 A, I_w_roll =  7.7275 A, theta_pitch = -41.29873mrad, theta_roll_comp = -24.5661 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1350, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27002 ms, ax =  0.4675, ay = -0.1486, az =  9.9531, gx =  0.0007 rad/s, gy =  0.0757 rad/s, gz =  0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4696 A, I_w_roll =  6.5170 A, theta_pitch = -39.97501mrad, theta_roll_comp = -24.3301 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1351, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27022 ms, ax =  0.4435, ay = -0.1415, az =  9.9591, gx = -0.0013 rad/s, gy =  0.0795 rad/s, gz =  0.0218 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1003 A, I_w_roll =  5.8929 A, theta_pitch = -38.54314mrad, theta_roll_comp = -24.1427 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1352, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27042 ms, ax =  0.4064, ay = -0.1187, az =  9.9746, gx = -0.0033 rad/s, gy =  0.0823 rad/s, gz =  0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7589 A, I_w_roll =  5.2634 A, theta_pitch = -37.01248mrad, theta_roll_comp = -23.9688 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1353, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27062 ms, ax =  0.3800, ay = -0.1091, az =  9.9698, gx = -0.0070 rad/s, gy =  0.0846 rad/s, gz =  0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4270 A, I_w_roll =  4.0194 A, theta_pitch = -35.40354mrad, theta_roll_comp = -23.8165 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1354, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27082 ms, ax =  0.3464, ay = -0.1127, az =  9.9615, gx = -0.0091 rad/s, gy =  0.0863 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1061 A, I_w_roll =  3.3115 A, theta_pitch = -33.72589mrad, theta_roll_comp = -23.7221 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1355, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27102 ms, ax =  0.3033, ay = -0.1319, az =  9.9543, gx = -0.0102 rad/s, gy =  0.0887 rad/s, gz = -0.0282 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2541 A, I_w_roll =  2.9539 A, theta_pitch = -31.96400mrad, theta_roll_comp = -23.6840 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1356, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27122 ms, ax =  0.2350, ay = -0.1690, az =  9.9698, gx = -0.0123 rad/s, gy =  0.0904 rad/s, gz = -0.0398 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6058 A, I_w_roll =  2.1838 A, theta_pitch = -30.08080mrad, theta_roll_comp = -23.7452 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1357, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27142 ms, ax =  0.1666, ay = -0.2230, az =  9.9770, gx = -0.0121 rad/s, gy =  0.0914 rad/s, gz = -0.0426 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9438 A, I_w_roll =  2.2102 A, theta_pitch = -28.07615mrad, theta_roll_comp = -23.9120 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1358, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27162 ms, ax =  0.1091, ay = -0.2409, az =  9.9507, gx = -0.0127 rad/s, gy =  0.0910 rad/s, gz = -0.0388 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2426 A, I_w_roll =  1.8822 A, theta_pitch = -25.97718mrad, theta_roll_comp = -24.1496 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1359, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27182 ms, ax =  0.0503, ay = -0.2553, az =  9.9435, gx = -0.0137 rad/s, gy =  0.0896 rad/s, gz = -0.0297 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5126 A, I_w_roll =  1.4457 A, theta_pitch = -23.82232mrad, theta_roll_comp = -24.4252 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1360, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27202 ms, ax = -0.0108, ay = -0.2553, az =  9.9531, gx = -0.0154 rad/s, gy =  0.0869 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.7295 A, I_w_roll =  0.7127 A, theta_pitch = -21.63083mrad, theta_roll_comp = -24.7430 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1361, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27222 ms, ax = -0.0647, ay = -0.2793, az =  9.9579, gx = -0.0155 rad/s, gy =  0.0826 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.8869 A, I_w_roll =  0.5251 A, theta_pitch = -19.44512mrad, theta_roll_comp = -25.0955 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1362, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27242 ms, ax = -0.1067, ay = -0.2841, az =  9.9471, gx = -0.0162 rad/s, gy =  0.0762 rad/s, gz =  0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.9510 A, I_w_roll =  0.1369 A, theta_pitch = -17.31339mrad, theta_roll_comp = -25.4836 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1363, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27262 ms, ax = -0.1403, ay = -0.2901, az =  9.9303, gx = -0.0149 rad/s, gy =  0.0691 rad/s, gz =  0.0193 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.9728 A, I_w_roll =  0.4528 A, theta_pitch = -15.28614mrad, theta_roll_comp = -25.8588 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1364, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27282 ms, ax = -0.1498, ay = -0.2781, az =  9.9435, gx = -0.0127 rad/s, gy =  0.0612 rad/s, gz =  0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.9356 A, I_w_roll =  1.0657 A, theta_pitch = -13.40339mrad, theta_roll_comp = -26.1907 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1365, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27302 ms, ax = -0.1678, ay = -0.2805, az =  9.9459, gx = -0.0115 rad/s, gy =  0.0525 rad/s, gz =  0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.8449 A, I_w_roll =  1.3771 A, theta_pitch = -11.70013mrad, theta_roll_comp = -26.4609 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1366, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27322 ms, ax = -0.1762, ay = -0.2793, az =  9.9447, gx = -0.0095 rad/s, gy =  0.0428 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.6830 A, I_w_roll =  1.9790 A, theta_pitch = -10.18780mrad, theta_roll_comp = -26.7037 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1367, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27342 ms, ax = -0.1918, ay = -0.2865, az =  9.9579, gx = -0.0079 rad/s, gy =  0.0337 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5190 A, I_w_roll =  2.4552 A, theta_pitch = -8.86653mrad, theta_roll_comp = -26.9114 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1368, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27362 ms, ax = -0.2242, ay = -0.3045, az =  9.9531, gx = -0.0061 rad/s, gy =  0.0232 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2696 A, I_w_roll =  3.0277 A, theta_pitch = -7.72380mrad, theta_roll_comp = -27.1114 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1369, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27382 ms, ax = -0.2469, ay = -0.3033, az =  9.9339, gx = -0.0047 rad/s, gy =  0.0112 rad/s, gz = -0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9344 A, I_w_roll =  3.4266 A, theta_pitch = -6.76311mrad, theta_roll_comp = -27.2791 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1370, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27402 ms, ax = -0.2649, ay = -0.3201, az =  9.9291, gx = -0.0028 rad/s, gy =  0.0000 rad/s, gz = -0.0205 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5992 A, I_w_roll =  4.0647 A, theta_pitch = -6.01509mrad, theta_roll_comp = -27.4315 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1371, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27422 ms, ax = -0.2601, ay = -0.3273, az =  9.9399, gx =  0.0000 rad/s, gy = -0.0115 rad/s, gz = -0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2139 A, I_w_roll =  4.9919 A, theta_pitch = -5.49435mrad, theta_roll_comp = -27.5601 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1372, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27442 ms, ax = -0.2601, ay = -0.3261, az =  9.9603, gx =  0.0006 rad/s, gy = -0.0222 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1702 A, I_w_roll =  5.1361 A, theta_pitch = -5.21431mrad, theta_roll_comp = -27.6657 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1373, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27462 ms, ax = -0.2361, ay = -0.3129, az =  9.9507, gx =  0.0032 rad/s, gy = -0.0326 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.5791 A, I_w_roll =  6.0469 A, theta_pitch = -5.17109mrad, theta_roll_comp = -27.7189 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1374, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27482 ms, ax = -0.1834, ay = -0.2817, az =  9.9267, gx =  0.0056 rad/s, gy = -0.0406 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9304 A, I_w_roll =  6.9028 A, theta_pitch = -5.38243mrad, theta_roll_comp = -27.6763 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1375, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27502 ms, ax = -0.1283, ay = -0.2481, az =  9.9339, gx =  0.0068 rad/s, gy = -0.0462 rad/s, gz = -0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2214 A, I_w_roll =  7.3807 A, theta_pitch = -5.83074mrad, theta_roll_comp = -27.5303 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1376, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27522 ms, ax = -0.0863, ay = -0.2433, az =  9.9650, gx =  0.0074 rad/s, gy = -0.0490 rad/s, gz = -0.0308 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4267 A, I_w_roll =  7.6513 A, theta_pitch = -6.45403mrad, theta_roll_comp = -27.3198 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1377, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27542 ms, ax = -0.0420, ay = -0.2361, az =  9.9698, gx =  0.0082 rad/s, gy = -0.0507 rad/s, gz = -0.0365 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6073 A, I_w_roll =  8.0258 A, theta_pitch = -7.19643mrad, theta_roll_comp = -27.0825 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1378, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27562 ms, ax =  0.0108, ay = -0.2385, az =  9.9459, gx =  0.0087 rad/s, gy = -0.0519 rad/s, gz = -0.0373 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7834 A, I_w_roll =  8.3072 A, theta_pitch = -8.05058mrad, theta_roll_comp = -26.8452 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1379, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27582 ms, ax =  0.0671, ay = -0.2457, az =  9.9495, gx =  0.0082 rad/s, gy = -0.0519 rad/s, gz = -0.0344 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9252 A, I_w_roll =  8.2074 A, theta_pitch = -8.99606mrad, theta_roll_comp = -26.6286 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1380, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27602 ms, ax =  0.1319, ay = -0.2481, az =  9.9662, gx =  0.0076 rad/s, gy = -0.0514 rad/s, gz = -0.0294 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.0620 A, I_w_roll =  8.0985 A, theta_pitch = -10.05010mrad, theta_roll_comp = -26.4348 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1381, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27622 ms, ax =  0.2122, ay = -0.2350, az =  9.9638, gx =  0.0072 rad/s, gy = -0.0500 rad/s, gz = -0.0238 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.1816 A, I_w_roll =  8.0354 A, theta_pitch = -11.20243mrad, theta_roll_comp = -26.2429 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1382, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27642 ms, ax =  0.2781, ay = -0.2170, az =  9.9686, gx =  0.0072 rad/s, gy = -0.0466 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.2271 A, I_w_roll =  8.1260 A, theta_pitch = -12.42888mrad, theta_roll_comp = -26.0164 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1383, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    27662 ms, ax =  0.3141, ay = -0.2278, az =  9.9638, gx =  0.0056 rad/s, gy = -0.0424 rad/s, gz = -0.0193 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.2463 A, I_w_roll =  7.6451 A, theta_pitch = -13.65815mrad, theta_roll_comp = -25.8206 mrad, theta_setpoint = -40.0000 mrad, 
