picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 2209, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44182 ms, ax =  0.1343, ay = -0.3956, az =  9.9339, gx =  0.0010 rad/s, gy = -0.0500 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6350, I_w_pitch = -0.1694 A, I_w_roll =  0.3840 A, theta_pitch = 4.47074mrad, theta_roll_comp = -39.9355 mrad, theta_setpoint = -40.0399 mrad, 
msg = 7880, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157602 ms, ax =  0.0491, ay = -0.4160, az =  9.9638, gx = -0.0005 rad/s, gy = -0.0050 rad/s, gz = -0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.8409, I_w_pitch = -0.1642 A, I_w_roll = -0.7514 A, theta_pitch = -7.56546mrad, theta_roll_comp = -38.1342 mrad, theta_setpoint = -36.6816 mrad, 
msg = 7881, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157622 ms, ax =  0.0228, ay = -0.4136, az =  9.9686, gx = -0.0006 rad/s, gy = -0.0066 rad/s, gz = -0.0029 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.8409, I_w_pitch = -0.0940 A, I_w_roll = -0.7950 A, theta_pitch = -7.60723mrad, theta_roll_comp = -38.1265 mrad, theta_setpoint = -36.6816 mrad, 
msg = 7882, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157642 ms, ax =  0.0192, ay = -0.4052, az =  9.9603, gx = -0.0010 rad/s, gy = -0.0056 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.5094, I_w_pitch = -0.1335 A, I_w_roll = -0.9670 A, theta_pitch = -7.62817mrad, theta_roll_comp = -38.1649 mrad, theta_setpoint = -36.6396 mrad, 
msg = 7883, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157662 ms, ax =  0.0192, ay = -0.3968, az =  9.9638, gx = -0.0009 rad/s, gy = -0.0024 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.5094, I_w_pitch = -0.2685 A, I_w_roll = -0.9198 A, theta_pitch = -7.58034mrad, theta_roll_comp = -38.1636 mrad, theta_setpoint = -36.6396 mrad, 
msg = 7884, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157682 ms, ax =  0.0132, ay = -0.3656, az =  9.9674, gx = -0.0008 rad/s, gy =  0.0006 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.1444, I_w_pitch = -0.4016 A, I_w_roll = -0.8968 A, theta_pitch = -7.47443mrad, theta_roll_comp = -38.1826 mrad, theta_setpoint = -36.5997 mrad, 
msg = 7885, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157702 ms, ax =  0.0276, ay = -0.3368, az =  9.9734, gx = -0.0004 rad/s, gy =  0.0035 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.1444, I_w_pitch = -0.5394 A, I_w_roll = -0.7582 A, theta_pitch = -7.33678mrad, theta_roll_comp = -38.1857 mrad, theta_setpoint = -36.5997 mrad, 
msg = 7886, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157722 ms, ax =  0.0408, ay = -0.3308, az =  9.9782, gx =  0.0004 rad/s, gy =  0.0066 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.8770, I_w_pitch = -0.6903 A, I_w_roll = -0.4737 A, theta_pitch = -7.14732mrad, theta_roll_comp = -38.1904 mrad, theta_setpoint = -36.6165 mrad, 
msg = 7887, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157742 ms, ax =  0.0252, ay = -0.3692, az =  9.9662, gx =  0.0004 rad/s, gy =  0.0070 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.3142, I_w_pitch = -0.7384 A, I_w_roll = -0.5114 A, theta_pitch = -6.93341mrad, theta_roll_comp = -38.1943 mrad, theta_setpoint = -36.5263 mrad, 
msg = 7888, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157762 ms, ax =  0.0468, ay = -0.3812, az =  9.9603, gx =  0.0008 rad/s, gy =  0.0058 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.3142, I_w_pitch = -0.7183 A, I_w_roll = -0.3618 A, theta_pitch = -6.74786mrad, theta_roll_comp = -38.1697 mrad, theta_setpoint = -36.5263 mrad, 
msg = 7889, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157782 ms, ax =  0.0432, ay = -0.4244, az =  9.9555, gx =  0.0011 rad/s, gy =  0.0027 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.6484, I_w_pitch = -0.6148 A, I_w_roll = -0.2771 A, theta_pitch = -6.62076mrad, theta_roll_comp = -38.1701 mrad, theta_setpoint = -36.5053 mrad, 
msg = 7890, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157802 ms, ax =  0.0479, ay = -0.4399, az =  9.9531, gx =  0.0007 rad/s, gy = -0.0006 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.4144, I_w_pitch = -0.4907 A, I_w_roll = -0.3953 A, theta_pitch = -6.56089mrad, theta_roll_comp = -38.1309 mrad, theta_setpoint = -36.5200 mrad, 
msg = 7891, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157822 ms, ax =  0.0384, ay = -0.3704, az =  9.9615, gx =  0.0004 rad/s, gy = -0.0040 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.4144, I_w_pitch = -0.3571 A, I_w_roll = -0.4763 A, theta_pitch = -6.56354mrad, theta_roll_comp = -38.1003 mrad, theta_setpoint = -36.5200 mrad, 
msg = 7892, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157842 ms, ax =  0.0300, ay = -0.3608, az =  9.9626, gx =  0.0006 rad/s, gy = -0.0057 rad/s, gz = -0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = -55.4144, I_w_pitch = -0.2815 A, I_w_roll = -0.4028 A, theta_pitch = -6.60617mrad, theta_roll_comp = -38.0330 mrad, theta_setpoint = -36.5200 mrad, 
msg = 7893, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157862 ms, ax =  0.0288, ay = -0.3332, az =  9.9710, gx =  0.0010 rad/s, gy = -0.0062 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.5174, I_w_pitch = -0.2536 A, I_w_roll = -0.2671 A, theta_pitch = -6.65022mrad, theta_roll_comp = -37.9741 mrad, theta_setpoint = -36.4507 mrad, 
msg = 7894, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157882 ms, ax =  0.0312, ay = -0.3596, az =  9.9722, gx =  0.0004 rad/s, gy = -0.0058 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.4505, I_w_pitch = -0.2629 A, I_w_roll = -0.4362 A, theta_pitch = -6.69465mrad, theta_roll_comp = -37.9349 mrad, theta_setpoint = -36.4549 mrad, 
msg = 7895, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157902 ms, ax =  0.0216, ay = -0.3536, az =  9.9770, gx =  0.0007 rad/s, gy = -0.0054 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.4171, I_w_pitch = -0.2754 A, I_w_roll = -0.3191 A, theta_pitch = -6.71774mrad, theta_roll_comp = -37.8773 mrad, theta_setpoint = -36.4570 mrad, 
msg = 7896, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157922 ms, ax =  0.0635, ay = -0.3980, az =  9.9459, gx = -0.0005 rad/s, gy = -0.0048 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.4171, I_w_pitch = -0.2965 A, I_w_roll = -0.7359 A, theta_pitch = -6.75448mrad, theta_roll_comp = -37.8708 mrad, theta_setpoint = -36.4570 mrad, 
msg = 7897, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157942 ms, ax =  0.0312, ay = -0.4040, az =  9.9626, gx =  0.0002 rad/s, gy = -0.0050 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.3503, I_w_pitch = -0.2821 A, I_w_roll = -0.5004 A, theta_pitch = -6.77960mrad, theta_roll_comp = -37.8686 mrad, theta_setpoint = -36.4612 mrad, 
msg = 7898, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157962 ms, ax = -0.0539, ay = -0.3440, az =  9.9890, gx = -0.0001 rad/s, gy = -0.0037 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.3503, I_w_pitch = -0.3448 A, I_w_roll = -0.5758 A, theta_pitch = -6.71676mrad, theta_roll_comp = -37.8243 mrad, theta_setpoint = -36.4612 mrad, 
msg = 7899, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   157982 ms, ax =  0.0300, ay = -0.3692, az =  9.9758, gx = -0.0001 rad/s, gy = -0.0038 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.0521, I_w_pitch = -0.3410 A, I_w_roll = -0.5889 A, theta_pitch = -6.70644mrad, theta_roll_comp = -37.8129 mrad, theta_setpoint = -36.4171 mrad, 
msg = 7900, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158002 ms, ax =  0.0707, ay = -0.3740, az =  9.9842, gx = -0.0004 rad/s, gy = -0.0053 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.1524, I_w_pitch = -0.2794 A, I_w_roll = -0.6718 A, theta_pitch = -6.72652mrad, theta_roll_comp = -37.7807 mrad, theta_setpoint = -36.4108 mrad, 
msg = 7901, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158022 ms, ax =  0.0671, ay = -0.3452, az =  9.9734, gx = -0.0004 rad/s, gy = -0.0065 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.1524, I_w_pitch = -0.2206 A, I_w_roll = -0.6787 A, theta_pitch = -6.79909mrad, theta_roll_comp = -37.7979 mrad, theta_setpoint = -36.4108 mrad, 
msg = 7902, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158042 ms, ax =  0.0683, ay = -0.3872, az =  9.9531, gx = -0.0008 rad/s, gy = -0.0072 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.1524, I_w_pitch = -0.1744 A, I_w_roll = -0.8002 A, theta_pitch = -6.92972mrad, theta_roll_comp = -37.7523 mrad, theta_setpoint = -36.4108 mrad, 
msg = 7903, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158062 ms, ax =  0.0527, ay = -0.3368, az =  9.9782, gx = -0.0008 rad/s, gy = -0.0072 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.9545, I_w_pitch = -0.1573 A, I_w_roll = -0.8105 A, theta_pitch = -7.04319mrad, theta_roll_comp = -37.7277 mrad, theta_setpoint = -36.3605 mrad, 
msg = 7904, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158082 ms, ax =  0.0444, ay = -0.3620, az =  9.9758, gx =  0.0002 rad/s, gy = -0.0086 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.9545, I_w_pitch = -0.0802 A, I_w_roll = -0.4709 A, theta_pitch = -7.16688mrad, theta_roll_comp = -37.6942 mrad, theta_setpoint = -36.3605 mrad, 
msg = 7905, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158102 ms, ax =  0.0384, ay = -0.3045, az =  9.9722, gx =  0.0006 rad/s, gy = -0.0097 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.9545, I_w_pitch = -0.0192 A, I_w_roll = -0.3151 A, theta_pitch = -7.28929mrad, theta_roll_comp = -37.6543 mrad, theta_setpoint = -36.3605 mrad, 
msg = 7906, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158122 ms, ax =  0.0240, ay = -0.3572, az =  9.9626, gx =  0.0002 rad/s, gy = -0.0101 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.6230, I_w_pitch =  0.0163 A, I_w_roll = -0.4670 A, theta_pitch = -7.41987mrad, theta_roll_comp = -37.6424 mrad, theta_setpoint = -36.3185 mrad, 
msg = 7907, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158142 ms, ax =  0.0324, ay = -0.3932, az =  9.9626, gx =  0.0011 rad/s, gy = -0.0105 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.3890, I_w_pitch =  0.0494 A, I_w_roll = -0.1187 A, theta_pitch = -7.53376mrad, theta_roll_comp = -37.6020 mrad, theta_setpoint = -36.3332 mrad, 
msg = 7908, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158162 ms, ax =  0.0372, ay = -0.3620, az =  9.9615, gx =  0.0010 rad/s, gy = -0.0111 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.1578, I_w_pitch =  0.0959 A, I_w_roll = -0.1731 A, theta_pitch = -7.66649mrad, theta_roll_comp = -37.5732 mrad, theta_setpoint = -36.2849 mrad, 
msg = 7909, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158182 ms, ax =  0.0312, ay = -0.3728, az =  9.9758, gx =  0.0011 rad/s, gy = -0.0101 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.1578, I_w_pitch =  0.0719 A, I_w_roll = -0.1119 A, theta_pitch = -7.78996mrad, theta_roll_comp = -37.5367 mrad, theta_setpoint = -36.2849 mrad, 
msg = 7910, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158202 ms, ax =  0.0515, ay = -0.3812, az =  9.9674, gx =  0.0014 rad/s, gy = -0.0101 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.1912, I_w_pitch =  0.0912 A, I_w_roll = -0.0020 A, theta_pitch = -7.91873mrad, theta_roll_comp = -37.4930 mrad, theta_setpoint = -36.2828 mrad, 
msg = 7911, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158222 ms, ax =  0.0372, ay = -0.3944, az =  9.9686, gx =  0.0004 rad/s, gy = -0.0104 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.1912, I_w_pitch =  0.1224 A, I_w_roll = -0.3236 A, theta_pitch = -8.05587mrad, theta_roll_comp = -37.4813 mrad, theta_setpoint = -36.2828 mrad, 
msg = 7912, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158242 ms, ax =  0.0456, ay = -0.4136, az =  9.9686, gx =  0.0006 rad/s, gy = -0.0106 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.9572, I_w_pitch =  0.1526 A, I_w_roll = -0.2605 A, theta_pitch = -8.18626mrad, theta_roll_comp = -37.4547 mrad, theta_setpoint = -36.2975 mrad, 
msg = 7913, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158262 ms, ax =  0.0551, ay = -0.3213, az =  9.9806, gx =  0.0003 rad/s, gy = -0.0118 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.5922, I_w_pitch =  0.2237 A, I_w_roll = -0.3572 A, theta_pitch = -8.34086mrad, theta_roll_comp = -37.4235 mrad, theta_setpoint = -36.2576 mrad, 
msg = 7914, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158282 ms, ax =  0.0539, ay = -0.3225, az =  9.9579, gx =  0.0006 rad/s, gy = -0.0130 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.5922, I_w_pitch =  0.2997 A, I_w_roll = -0.2443 A, theta_pitch = -8.52785mrad, theta_roll_comp = -37.3744 mrad, theta_setpoint = -36.2576 mrad, 
msg = 7915, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158302 ms, ax =  0.0707, ay = -0.3500, az =  9.9638, gx =  0.0012 rad/s, gy = -0.0139 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.2246, I_w_pitch =  0.3682 A, I_w_roll =  0.0123 A, theta_pitch = -8.73587mrad, theta_roll_comp = -37.3384 mrad, theta_setpoint = -36.2807 mrad, 
msg = 7916, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158322 ms, ax =  0.0468, ay = -0.3764, az =  9.9519, gx =  0.0010 rad/s, gy = -0.0149 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.2246, I_w_pitch =  0.4406 A, I_w_roll = -0.0668 A, theta_pitch = -8.96999mrad, theta_roll_comp = -37.3032 mrad, theta_setpoint = -36.2807 mrad, 
msg = 7917, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158342 ms, ax =  0.0515, ay = -0.3944, az =  9.9507, gx =  0.0008 rad/s, gy = -0.0158 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.7233, I_w_pitch =  0.5127 A, I_w_roll = -0.0869 A, theta_pitch = -9.20212mrad, theta_roll_comp = -37.2686 mrad, theta_setpoint = -36.3122 mrad, 
msg = 7918, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158362 ms, ax =  0.0695, ay = -0.3416, az =  9.9519, gx =  0.0003 rad/s, gy = -0.0159 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.0575, I_w_pitch =  0.5583 A, I_w_roll = -0.2676 A, theta_pitch = -9.47062mrad, theta_roll_comp = -37.2331 mrad, theta_setpoint = -36.2912 mrad, 
msg = 7919, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158382 ms, ax =  0.0503, ay = -0.3440, az =  9.9615, gx =  0.0004 rad/s, gy = -0.0162 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.0575, I_w_pitch =  0.6062 A, I_w_roll = -0.2050 A, theta_pitch = -9.71883mrad, theta_roll_comp = -37.1933 mrad, theta_setpoint = -36.2912 mrad, 
msg = 7920, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158402 ms, ax =  0.0767, ay = -0.3404, az =  9.9806, gx =  0.0003 rad/s, gy = -0.0165 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.4225, I_w_pitch =  0.6546 A, I_w_roll = -0.2199 A, theta_pitch = -9.97029mrad, theta_roll_comp = -37.1539 mrad, theta_setpoint = -36.3311 mrad, 
msg = 7921, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158422 ms, ax =  0.0587, ay = -0.4028, az =  9.9603, gx = -0.0002 rad/s, gy = -0.0178 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.4225, I_w_pitch =  0.7481 A, I_w_roll = -0.4028 A, theta_pitch = -10.23886mrad, theta_roll_comp = -37.1450 mrad, theta_setpoint = -36.3311 mrad, 
msg = 7922, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158442 ms, ax =  0.0827, ay = -0.4232, az =  9.9626, gx =  0.0000 rad/s, gy = -0.0175 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.4893, I_w_pitch =  0.7817 A, I_w_roll = -0.3001 A, theta_pitch = -10.53354mrad, theta_roll_comp = -37.1172 mrad, theta_setpoint = -36.3269 mrad, 
msg = 7923, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158462 ms, ax =  0.0875, ay = -0.3117, az =  9.9710, gx = -0.0004 rad/s, gy = -0.0159 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.4893, I_w_pitch =  0.7589 A, I_w_roll = -0.4251 A, theta_pitch = -10.80816mrad, theta_roll_comp = -37.0801 mrad, theta_setpoint = -36.3269 mrad, 
msg = 7924, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158482 ms, ax =  0.1079, ay = -0.3500, az =  9.9471, gx = -0.0008 rad/s, gy = -0.0126 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.3556, I_w_pitch =  0.6673 A, I_w_roll = -0.5563 A, theta_pitch = -11.08472mrad, theta_roll_comp = -37.0670 mrad, theta_setpoint = -36.3353 mrad, 
msg = 7925, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158502 ms, ax =  0.0779, ay = -0.3440, az =  9.9866, gx = -0.0002 rad/s, gy = -0.0076 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8209, I_w_pitch =  0.4826 A, I_w_roll = -0.3501 A, theta_pitch = -11.20259mrad, theta_roll_comp = -37.0512 mrad, theta_setpoint = -36.3689 mrad, 
msg = 7926, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158522 ms, ax =  0.0899, ay = -0.3332, az =  9.9842, gx = -0.0005 rad/s, gy = -0.0040 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.3359 A, I_w_roll = -0.4528 A, theta_pitch = -11.18368mrad, theta_roll_comp = -37.0727 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7927, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158542 ms, ax =  0.0491, ay = -0.3980, az =  9.9818, gx = -0.0006 rad/s, gy = -0.0018 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.2456 A, I_w_roll = -0.4927 A, theta_pitch = -11.15005mrad, theta_roll_comp = -37.0560 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7928, nerr =   43p/  66r, time steps =   10, qsz =    2, switch = on, t =   158562 ms, ax =  0.0611, ay = -0.3596, az =  9.9674, gx = -0.0006 rad/s, gy = -0.0008 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.1908 A, I_w_roll = -0.5005 A, theta_pitch = -11.06876mrad, theta_roll_comp = -37.0754 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7929, nerr =   43p/  67r, time steps =   10, qsz =    2, switch = on, t =   158582 ms, ax =  0.0803, ay = -0.3464, az =  9.9710, gx = -0.0006 rad/s, gy = -0.0026 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.2610 A, I_w_roll = -0.5092 A, theta_pitch = -11.03926mrad, theta_roll_comp = -37.0973 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7930, nerr =   43p/  67r, time steps =   10, qsz =    2, switch = on, t =   158602 ms, ax =  0.1067, ay = -0.3416, az =  9.9579, gx = -0.0001 rad/s, gy = -0.0054 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.3767 A, I_w_roll = -0.3268 A, theta_pitch = -11.06508mrad, theta_roll_comp = -37.1072 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7931, nerr =   43p/  67r, time steps =   10, qsz =    2, switch = on, t =   158622 ms, ax =  0.1271, ay = -0.3356, az =  9.9758, gx =  0.0003 rad/s, gy = -0.0077 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.4892 A, I_w_roll = -0.1859 A, theta_pitch = -11.21128mrad, theta_roll_comp = -37.1044 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7932, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158642 ms, ax =  0.1151, ay = -0.3944, az =  9.9495, gx =  0.0004 rad/s, gy = -0.0118 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.6859 A, I_w_roll = -0.1375 A, theta_pitch = -11.42218mrad, theta_roll_comp = -37.1000 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7933, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158662 ms, ax =  0.1139, ay = -0.4172, az =  9.9662, gx = -0.0005 rad/s, gy = -0.0154 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  0.8705 A, I_w_roll = -0.4795 A, theta_pitch = -11.69387mrad, theta_roll_comp = -37.1395 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7934, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158682 ms, ax =  0.1103, ay = -0.4052, az =  9.9674, gx = -0.0001 rad/s, gy = -0.0190 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  1.0639 A, I_w_roll = -0.3415 A, theta_pitch = -12.02479mrad, theta_roll_comp = -37.1440 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7935, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158702 ms, ax =  0.1091, ay = -0.3237, az =  9.9722, gx = -0.0001 rad/s, gy = -0.0213 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  1.2111 A, I_w_roll = -0.3405 A, theta_pitch = -12.40232mrad, theta_roll_comp = -37.1414 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7936, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158722 ms, ax =  0.1211, ay = -0.3608, az =  9.9710, gx =  0.0012 rad/s, gy = -0.0237 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  1.3724 A, I_w_roll =  0.1298 A, theta_pitch = -12.83830mrad, theta_roll_comp = -37.1309 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7937, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158742 ms, ax =  0.1151, ay = -0.3824, az =  9.9842, gx =  0.0022 rad/s, gy = -0.0245 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -57.8543, I_w_pitch =  1.4731 A, I_w_roll =  0.4720 A, theta_pitch = -13.29679mrad, theta_roll_comp = -37.0910 mrad, theta_setpoint = -36.3667 mrad, 
msg = 7938, nerr =   43p/  68r, time steps =   10, qsz =    2, switch = on, t =   158762 ms, ax =  0.1067, ay = -0.3896, az =  9.9698, gx =  0.0016 rad/s, gy = -0.0250 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.7901, I_w_pitch =  1.5615 A, I_w_roll =  0.2760 A, theta_pitch = -13.74429mrad, theta_roll_comp = -37.0561 mrad, theta_setpoint = -36.3080 mrad, 
