picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
 A, I_w_roll = -263.7635 A, theta_pitch = -0.30080mrad, theta_roll_comp = -698.0505 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3338, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33382 ms, ax = -0.6329, ay =  0.2601, az =  9.7744, gx =  0.0481 rad/s, gy =  0.0609 rad/s, gz = -0.0875 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9004 A, I_w_roll = 33.3230 A, theta_pitch = 33.09974mrad, theta_roll_comp =  1.2075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 8533, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85332 ms, ax =  0.0468, ay = -0.2757, az =  9.9507, gx = -0.0062 rad/s, gy =  0.0208 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.5802, I_w_pitch = -1.6576 A, I_w_roll = -0.6299 A, theta_pitch = -4.49800mrad, theta_roll_comp = -31.8947 mrad, theta_setpoint = -35.7560 mrad, 
msg = 8534, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85342 ms, ax =  0.0755, ay = -0.3308, az =  9.9435, gx = -0.0062 rad/s, gy =  0.0212 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.5802, I_w_pitch = -1.7024 A, I_w_roll = -0.6499 A, theta_pitch = -4.30607mrad, theta_roll_comp = -31.9447 mrad, theta_setpoint = -35.7560 mrad, 
msg = 8535, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85352 ms, ax =  0.0360, ay = -0.3141, az =  9.9686, gx = -0.0061 rad/s, gy =  0.0213 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.5802, I_w_pitch = -1.7378 A, I_w_roll = -0.6293 A, theta_pitch = -4.10547mrad, theta_roll_comp = -32.0097 mrad, theta_setpoint = -35.7560 mrad, 
msg = 8536, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85362 ms, ax =  0.0755, ay = -0.2625, az =  9.9818, gx = -0.0059 rad/s, gy =  0.0223 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3997, I_w_pitch = -1.8053 A, I_w_roll = -0.4633 A, theta_pitch = -3.90410mrad, theta_roll_comp = -32.0366 mrad, theta_setpoint = -36.0813 mrad, 
msg = 8537, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85372 ms, ax =  0.0348, ay = -0.2997, az =  9.9854, gx = -0.0062 rad/s, gy =  0.0233 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.8984, I_w_pitch = -1.8798 A, I_w_roll = -0.5531 A, theta_pitch = -3.69150mrad, theta_roll_comp = -32.0596 mrad, theta_setpoint = -36.1128 mrad, 
msg = 8538, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85382 ms, ax =  0.0420, ay = -0.3308, az =  9.9902, gx = -0.0065 rad/s, gy =  0.0241 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9652, I_w_pitch = -1.9470 A, I_w_roll = -0.6718 A, theta_pitch = -3.45643mrad, theta_roll_comp = -32.1190 mrad, theta_setpoint = -36.1086 mrad, 
msg = 8539, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85392 ms, ax =  0.0264, ay = -0.2913, az =  9.9579, gx = -0.0067 rad/s, gy =  0.0249 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9652, I_w_pitch = -2.0158 A, I_w_roll = -0.7871 A, theta_pitch = -3.21071mrad, theta_roll_comp = -32.1743 mrad, theta_setpoint = -36.1086 mrad, 
msg = 8540, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85402 ms, ax =  0.0324, ay = -0.3093, az =  9.9615, gx = -0.0063 rad/s, gy =  0.0260 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9652, I_w_pitch = -2.0969 A, I_w_roll = -0.6655 A, theta_pitch = -2.95423mrad, theta_roll_comp = -32.2198 mrad, theta_setpoint = -36.1086 mrad, 
msg = 8541, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85412 ms, ax =  0.0479, ay = -0.2913, az =  9.9626, gx = -0.0065 rad/s, gy =  0.0276 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -61.9652, I_w_pitch = -2.1993 A, I_w_roll = -0.7291 A, theta_pitch = -2.69777mrad, theta_roll_comp = -32.2624 mrad, theta_setpoint = -36.1086 mrad, 
msg = 8542, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85422 ms, ax =  0.0575, ay = -0.3045, az =  9.9722, gx = -0.0063 rad/s, gy =  0.0295 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.3126 A, I_w_roll = -0.7079 A, theta_pitch = -2.43914mrad, theta_roll_comp = -32.3028 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8543, nerr =  416p/ 496r, time steps =    5, qsz =    2, switch = on, t =    85432 ms, ax =  0.0396, ay = -0.2901, az =  9.9782, gx = -0.0058 rad/s, gy =  0.0303 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.3857 A, I_w_roll = -0.5355 A, theta_pitch = -2.16494mrad, theta_roll_comp = -32.3378 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8544, nerr =  416p/ 497r, time steps =    5, qsz =    2, switch = on, t =    85442 ms, ax =  0.0683, ay = -0.3105, az =  9.9734, gx = -0.0066 rad/s, gy =  0.0303 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.4260 A, I_w_roll = -0.8313 A, theta_pitch = -1.89662mrad, theta_roll_comp = -32.3782 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8545, nerr =  416p/ 497r, time steps =    5, qsz =    2, switch = on, t =    85452 ms, ax =  0.0396, ay = -0.3141, az =  9.9615, gx = -0.0061 rad/s, gy =  0.0300 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.4552 A, I_w_roll = -0.6659 A, theta_pitch = -1.63054mrad, theta_roll_comp = -32.4309 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8546, nerr =  416p/ 497r, time steps =    5, qsz =    2, switch = on, t =    85462 ms, ax =  0.0599, ay = -0.2937, az =  9.9698, gx = -0.0059 rad/s, gy =  0.0297 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.4841 A, I_w_roll = -0.6352 A, theta_pitch = -1.36724mrad, theta_roll_comp = -32.4706 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8547, nerr =  416p/ 497r, time steps =    5, qsz =    2, switch = on, t =    85472 ms, ax =  0.0240, ay = -0.3440, az =  9.9710, gx = -0.0055 rad/s, gy =  0.0288 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.4864 A, I_w_roll = -0.5169 A, theta_pitch = -1.10304mrad, theta_roll_comp = -32.5244 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8548, nerr =  416p/ 497r, time steps =    5, qsz =    2, switch = on, t =    85482 ms, ax =  0.0360, ay = -0.3033, az =  9.9615, gx = -0.0058 rad/s, gy =  0.0272 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.4614 A, I_w_roll = -0.6321 A, theta_pitch = -0.84380mrad, theta_roll_comp = -32.5793 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8549, nerr =  416p/ 497r, time steps =    5, qsz =    2, switch = on, t =    85492 ms, ax =  0.0503, ay = -0.3117, az =  9.9603, gx = -0.0051 rad/s, gy =  0.0247 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.3936 A, I_w_roll = -0.4141 A, theta_pitch = -0.62136mrad, theta_roll_comp = -32.6168 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8550, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85502 ms, ax =  0.0779, ay = -0.3332, az =  9.9591, gx = -0.0053 rad/s, gy =  0.0221 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.3184 A, I_w_roll = -0.4808 A, theta_pitch = -0.44807mrad, theta_roll_comp = -32.6671 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8551, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85512 ms, ax =  0.0947, ay = -0.3368, az =  9.9615, gx = -0.0053 rad/s, gy =  0.0191 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.2142 A, I_w_roll = -0.5057 A, theta_pitch = -0.32601mrad, theta_roll_comp = -32.7294 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8552, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85522 ms, ax =  0.0875, ay = -0.2985, az =  9.9746, gx = -0.0047 rad/s, gy =  0.0156 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -2.0883 A, I_w_roll = -0.3352 A, theta_pitch = -0.24201mrad, theta_roll_comp = -32.7691 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8553, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85532 ms, ax =  0.0875, ay = -0.3536, az =  9.9662, gx = -0.0047 rad/s, gy =  0.0119 rad/s, gz = -0.0011 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.9468 A, I_w_roll = -0.3545 A, theta_pitch = -0.19124mrad, theta_roll_comp = -32.8174 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8554, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85542 ms, ax =  0.0875, ay = -0.3344, az =  9.9591, gx = -0.0046 rad/s, gy =  0.0086 rad/s, gz = -0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.8159 A, I_w_roll = -0.3331 A, theta_pitch = -0.17618mrad, theta_roll_comp = -32.8803 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8555, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85552 ms, ax =  0.0755, ay = -0.2973, az =  9.9567, gx = -0.0045 rad/s, gy =  0.0056 rad/s, gz =  0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.6972 A, I_w_roll = -0.2994 A, theta_pitch = -0.18589mrad, theta_roll_comp = -32.9127 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8556, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85562 ms, ax =  0.0647, ay = -0.3668, az =  9.9591, gx = -0.0041 rad/s, gy =  0.0018 rad/s, gz =  0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.5379 A, I_w_roll = -0.1793 A, theta_pitch = -0.21837mrad, theta_roll_comp = -32.9619 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8557, nerr =  416p/ 498r, time steps =    5, qsz =    3, switch = on, t =    85572 ms, ax =  0.0683, ay = -0.3177, az =  9.9638, gx = -0.0043 rad/s, gy = -0.0009 rad/s, gz =  0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.4222 A, I_w_roll = -0.2942 A, theta_pitch = -0.27944mrad, theta_roll_comp = -33.0161 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8558, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85582 ms, ax =  0.0839, ay = -0.3105, az =  9.9650, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz =  0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.3011 A, I_w_roll = -0.3523 A, theta_pitch = -0.37648mrad, theta_roll_comp = -33.0449 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8559, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85592 ms, ax =  0.0515, ay = -0.3476, az =  9.9698, gx = -0.0037 rad/s, gy = -0.0060 rad/s, gz =  0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.1886 A, I_w_roll = -0.0891 A, theta_pitch = -0.48765mrad, theta_roll_comp = -33.0860 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8560, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85602 ms, ax =  0.0468, ay = -0.3213, az =  9.9626, gx = -0.0041 rad/s, gy = -0.0080 rad/s, gz =  0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.0916 A, I_w_roll = -0.2459 A, theta_pitch = -0.60168mrad, theta_roll_comp = -33.1285 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8561, nerr =  416p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85612 ms, ax =  0.0432, ay = -0.2997, az =  9.9615, gx = -0.0039 rad/s, gy = -0.0093 rad/s, gz =  0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3329, I_w_pitch = -1.0196 A, I_w_roll = -0.2072 A, theta_pitch = -0.72688mrad, theta_roll_comp = -33.1482 mrad, theta_setpoint = -36.0855 mrad, 
msg = 8562, nerr =  417p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85622 ms, ax =  0.0575, ay = -0.3428, az =  9.9471, gx = -0.0035 rad/s, gy = -0.0107 rad/s, gz =  0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.9394 A, I_w_roll = -0.1079 A, theta_pitch = -0.87076mrad, theta_roll_comp = -33.1780 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8563, nerr =  417p/ 498r, time steps =    5, qsz =    2, switch = on, t =    85632 ms, ax =  0.0503, ay = -0.3093, az =  9.9531, gx = -0.0039 rad/s, gy = -0.0118 rad/s, gz =  0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.8731 A, I_w_roll = -0.2606 A, theta_pitch = -1.02872mrad, theta_roll_comp = -33.2102 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8564, nerr =  417p/ 499r, time steps =    5, qsz =    2, switch = on, t =    85642 ms, ax =  0.0324, ay = -0.3177, az =  9.9531, gx = -0.0035 rad/s, gy = -0.0126 rad/s, gz =  0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.8183 A, I_w_roll = -0.1289 A, theta_pitch = -1.18120mrad, theta_roll_comp = -33.2306 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8565, nerr =  417p/ 499r, time steps =    5, qsz =    2, switch = on, t =    85652 ms, ax =  0.0192, ay = -0.3356, az =  9.9567, gx = -0.0031 rad/s, gy = -0.0138 rad/s, gz =  0.0114 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.7485 A, I_w_roll = -0.0009 A, theta_pitch = -1.32686mrad, theta_roll_comp = -33.2602 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8566, nerr =  417p/ 499r, time steps =    5, qsz =    2, switch = on, t =    85662 ms, ax =  0.0432, ay = -0.3165, az =  9.9650, gx = -0.0035 rad/s, gy = -0.0147 rad/s, gz =  0.0110 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.6870 A, I_w_roll = -0.1517 A, theta_pitch = -1.48841mrad, theta_roll_comp = -33.2876 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8567, nerr =  417p/ 499r, time steps =    5, qsz =    2, switch = on, t =    85672 ms, ax = -0.0024, ay = -0.3045, az =  9.9746, gx = -0.0037 rad/s, gy = -0.0157 rad/s, gz =  0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.6263 A, I_w_roll = -0.2040 A, theta_pitch = -1.64424mrad, theta_roll_comp = -33.3017 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8568, nerr =  418p/ 499r, time steps =    5, qsz =    2, switch = on, t =    85682 ms, ax =  0.0276, ay = -0.3261, az =  9.9758, gx = -0.0034 rad/s, gy = -0.0165 rad/s, gz =  0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.5707 A, I_w_roll = -0.1184 A, theta_pitch = -1.80212mrad, theta_roll_comp = -33.3208 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8569, nerr =  418p/ 499r, time steps =    5, qsz =    2, switch = on, t =    85692 ms, ax =  0.0204, ay = -0.3213, az =  9.9758, gx = -0.0035 rad/s, gy = -0.0175 rad/s, gz =  0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.5017 A, I_w_roll = -0.1753 A, theta_pitch = -1.97772mrad, theta_roll_comp = -33.3466 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8570, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85702 ms, ax =  0.0396, ay = -0.3045, az =  9.9686, gx = -0.0037 rad/s, gy = -0.0185 rad/s, gz =  0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.4358 A, I_w_roll = -0.2282 A, theta_pitch = -2.16854mrad, theta_roll_comp = -33.3623 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8571, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85712 ms, ax =  0.0875, ay = -0.3213, az =  9.9555, gx = -0.0030 rad/s, gy = -0.0202 rad/s, gz =  0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.3310 A, I_w_roll = -0.0008 A, theta_pitch = -2.40546mrad, theta_roll_comp = -33.3764 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8572, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85722 ms, ax = -0.0048, ay = -0.3273, az =  9.9722, gx = -0.0034 rad/s, gy = -0.0211 rad/s, gz =  0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.2607 A, I_w_roll = -0.1502 A, theta_pitch = -2.62559mrad, theta_roll_comp = -33.4004 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8573, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85732 ms, ax =  0.0000, ay = -0.3225, az =  9.9794, gx = -0.0030 rad/s, gy = -0.0214 rad/s, gz =  0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.2225 A, I_w_roll = -0.0197 A, theta_pitch = -2.80928mrad, theta_roll_comp = -33.4237 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8574, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85742 ms, ax =  0.0348, ay = -0.3021, az =  9.9926, gx = -0.0026 rad/s, gy = -0.0226 rad/s, gz =  0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.1430 A, I_w_roll =  0.1179 A, theta_pitch = -3.01978mrad, theta_roll_comp = -33.4292 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8575, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85752 ms, ax =  0.0659, ay = -0.3081, az =  9.9674, gx = -0.0033 rad/s, gy = -0.0238 rad/s, gz =  0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch = -0.0571 A, I_w_roll = -0.1156 A, theta_pitch = -3.27276mrad, theta_roll_comp = -33.4305 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8576, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85762 ms, ax =  0.0623, ay = -0.3404, az =  9.9818, gx = -0.0031 rad/s, gy = -0.0247 rad/s, gz =  0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch =  0.0212 A, I_w_roll = -0.0786 A, theta_pitch = -3.54628mrad, theta_roll_comp = -33.4544 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8577, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85772 ms, ax =  0.0563, ay = -0.3081, az =  9.9698, gx = -0.0031 rad/s, gy = -0.0263 rad/s, gz =  0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch =  0.1269 A, I_w_roll = -0.0869 A, theta_pitch = -3.82504mrad, theta_roll_comp = -33.4752 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8578, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85782 ms, ax =  0.0384, ay = -0.3249, az =  9.9567, gx = -0.0034 rad/s, gy = -0.0275 rad/s, gz =  0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch =  0.2164 A, I_w_roll = -0.1866 A, theta_pitch = -4.10234mrad, theta_roll_comp = -33.4915 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8579, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85792 ms, ax =  0.0420, ay = -0.3225, az =  9.9519, gx = -0.0031 rad/s, gy = -0.0278 rad/s, gz =  0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.4692, I_w_pitch =  0.2684 A, I_w_roll = -0.1025 A, theta_pitch = -4.37758mrad, theta_roll_comp = -33.5142 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8580, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85802 ms, ax =  0.0144, ay = -0.2793, az =  9.9674, gx = -0.0025 rad/s, gy = -0.0269 rad/s, gz = -0.0013 rad/s, rpm_pitch = -4.7162, rpm_roll = -63.4692, I_w_pitch = -5.9502 A, I_w_roll =  0.1331 A, theta_pitch = -4.63329mrad, theta_roll_comp = -33.5077 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8581, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85812 ms, ax =  0.0276, ay = -0.3009, az =  9.9638, gx = -0.0029 rad/s, gy = -0.0255 rad/s, gz =  0.0008 rad/s, rpm_pitch = -4.7162, rpm_roll = -63.4692, I_w_pitch = -5.9681 A, I_w_roll = -0.0001 A, theta_pitch = -4.86916mrad, theta_roll_comp = -33.4912 mrad, theta_setpoint = -36.0141 mrad, 
msg = 8582, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85822 ms, ax =  0.0264, ay = -0.3416, az =  9.9686, gx = -0.0026 rad/s, gy = -0.0241 rad/s, gz =  0.0007 rad/s, rpm_pitch = -4.7162, rpm_roll = -62.8008, I_w_pitch = -5.9929 A, I_w_roll =  0.1035 A, theta_pitch = -5.09428mrad, theta_roll_comp = -33.5071 mrad, theta_setpoint = -36.0561 mrad, 
msg = 8583, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85832 ms, ax =  0.1486, ay = -0.2829, az =  9.9638, gx = -0.0018 rad/s, gy = -0.0242 rad/s, gz = -0.0048 rad/s, rpm_pitch = -4.7162, rpm_roll = -62.8008, I_w_pitch = -5.9455 A, I_w_roll =  0.3837 A, theta_pitch = -5.37480mrad, theta_roll_comp = -33.5057 mrad, theta_setpoint = -36.0561 mrad, 
msg = 8584, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85842 ms, ax =  0.2433, ay = -0.3512, az =  9.9171, gx = -0.0018 rad/s, gy = -0.0339 rad/s, gz = -0.0029 rad/s, rpm_pitch = -0.1310, rpm_roll = -62.8008, I_w_pitch =  0.5557 A, I_w_roll =  0.3823 A, theta_pitch = -5.81134mrad, theta_roll_comp = -33.5092 mrad, theta_setpoint = -36.0561 mrad, 
msg = 8585, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85852 ms, ax =  0.3021, ay = -0.3524, az =  9.9039, gx = -0.0025 rad/s, gy = -0.0500 rad/s, gz =  0.0011 rad/s, rpm_pitch = -0.1310, rpm_roll = -62.8008, I_w_pitch =  1.2962 A, I_w_roll =  0.1327 A, theta_pitch = -6.45156mrad, theta_roll_comp = -33.5506 mrad, theta_setpoint = -36.0561 mrad, 
msg = 8586, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85862 ms, ax =  0.3201, ay = -0.3308, az =  9.8823, gx = -0.0028 rad/s, gy = -0.0740 rad/s, gz =  0.0012 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.6671, I_w_pitch =  2.5585 A, I_w_roll =  0.0288 A, theta_pitch = -7.32376mrad, theta_roll_comp = -33.5859 mrad, theta_setpoint = -36.0645 mrad, 
msg = 8587, nerr =  418p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85872 ms, ax =  0.0180, ay = -0.3512, az =  9.9231, gx = -0.0037 rad/s, gy = -0.0933 rad/s, gz =  0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.6671, I_w_pitch =  3.4700 A, I_w_roll = -0.3140 A, theta_pitch = -8.25182mrad, theta_roll_comp = -33.6271 mrad, theta_setpoint = -36.0645 mrad, 
msg = 8588, nerr =  419p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85882 ms, ax = -0.0372, ay = -0.3141, az =  9.9387, gx = -0.0046 rad/s, gy = -0.1021 rad/s, gz =  0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.4666, I_w_pitch =  3.9539 A, I_w_roll = -0.6508 A, theta_pitch = -9.13435mrad, theta_roll_comp = -33.6662 mrad, theta_setpoint = -36.0771 mrad, 
msg = 8589, nerr =  419p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85892 ms, ax = -0.1043, ay = -0.2889, az =  9.9626, gx = -0.0042 rad/s, gy = -0.1025 rad/s, gz =  0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.4666, I_w_pitch =  4.0982 A, I_w_roll = -0.5147 A, theta_pitch = -9.99007mrad, theta_roll_comp = -33.6755 mrad, theta_setpoint = -36.0771 mrad, 
msg = 8590, nerr =  419p/ 500r, time steps =    5, qsz =    2, switch = on, t =    85902 ms, ax = -0.0779, ay = -0.2853, az = 10.0070, gx = -0.0038 rad/s, gy = -0.0950 rad/s, gz =  0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.4666, I_w_pitch =  3.9187 A, I_w_roll = -0.3711 A, theta_pitch = -10.78183mrad, theta_roll_comp = -33.6661 mrad, theta_setpoint = -36.0771 mrad, 
