picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0485 A, I_w_roll =  2.9387 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1443, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28862 ms, ax = -0.1055, ay = -0.4088, az =  9.9531, gx =  0.0067 rad/s, gy = -0.0366 rad/s, gz = -0.0288 rad/s, rpm_pitch = -5.3712, rpm_roll = -92.8142, I_w_pitch = -5.0530 A, I_w_roll =  1.8870 A, theta_pitch = -13.78176mrad, theta_roll_comp = -35.3192 mrad, theta_setpoint = -34.1713 mrad, 
msg = 1444, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28882 ms, ax = -0.1630, ay = -0.3416, az = 10.0118, gx =  0.0014 rad/s, gy = -0.0147 rad/s, gz = -0.0368 rad/s, rpm_pitch = -0.0873, rpm_roll = -92.8142, I_w_pitch =  1.0490 A, I_w_roll =  0.1113 A, theta_pitch = -13.82925mrad, theta_roll_comp = -35.0982 mrad, theta_setpoint = -34.1713 mrad, 
msg = 1445, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28902 ms, ax =  0.0420, ay = -0.2625, az =  9.9746, gx =  0.0078 rad/s, gy = -0.0130 rad/s, gz = -0.0373 rad/s, rpm_pitch = -0.0873, rpm_roll = -92.8810, I_w_pitch =  0.9668 A, I_w_roll =  2.4072 A, theta_pitch = -13.74308mrad, theta_roll_comp = -34.9465 mrad, theta_setpoint = -34.1671 mrad, 
msg = 1446, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28922 ms, ax = -0.1894, ay = -0.2505, az =  9.9387, gx = -0.0057 rad/s, gy = -0.0154 rad/s, gz = -0.0225 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.8810, I_w_pitch =  1.1542 A, I_w_roll = -2.2445 A, theta_pitch = -13.58510mrad, theta_roll_comp = -34.8084 mrad, theta_setpoint = -34.1671 mrad, 
msg = 1447, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28942 ms, ax = -0.0563, ay = -0.2122, az =  9.9626, gx = -0.0106 rad/s, gy = -0.0086 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.8115, I_w_pitch =  0.8470 A, I_w_roll = -3.9540 A, theta_pitch = -13.34819mrad, theta_roll_comp = -34.8384 mrad, theta_setpoint = -34.2342 mrad, 
msg = 1448, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28962 ms, ax = -0.0168, ay = -0.1882, az = 10.0010, gx =  0.0016 rad/s, gy =  0.0028 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.6083, I_w_pitch =  0.3399 A, I_w_roll =  0.3502 A, theta_pitch = -13.02093mrad, theta_roll_comp = -34.8724 mrad, theta_setpoint = -34.3098 mrad, 
msg = 1449, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    28982 ms, ax = -0.0911, ay = -0.2961, az =  9.9638, gx = -0.0030 rad/s, gy =  0.0196 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.6083, I_w_pitch = -0.4264 A, I_w_roll = -1.2947 A, theta_pitch = -12.38674mrad, theta_roll_comp = -34.9067 mrad, theta_setpoint = -34.3098 mrad, 
msg = 1450, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29002 ms, ax = -0.0503, ay = -0.3165, az = 10.0214, gx = -0.0043 rad/s, gy =  0.0324 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.4746, I_w_pitch = -1.0703 A, I_w_roll = -1.7953 A, theta_pitch = -11.50277mrad, theta_roll_comp = -35.0017 mrad, theta_setpoint = -34.3182 mrad, 
msg = 1451, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29022 ms, ax = -0.0468, ay = -0.3632, az =  9.9818, gx =  0.0022 rad/s, gy =  0.0416 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.2406, I_w_pitch = -1.5985 A, I_w_roll =  0.4936 A, theta_pitch = -10.43141mrad, theta_roll_comp = -35.0029 mrad, theta_setpoint = -34.3329 mrad, 
msg = 1452, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29042 ms, ax = -0.0444, ay = -0.4543, az =  9.9087, gx = -0.0045 rad/s, gy =  0.0486 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.2406, I_w_pitch = -2.0578 A, I_w_roll = -1.8566 A, theta_pitch = -9.25143mrad, theta_roll_comp = -35.0531 mrad, theta_setpoint = -34.3329 mrad, 
msg = 1453, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29062 ms, ax = -0.0096, ay = -0.3704, az =  9.9686, gx = -0.0043 rad/s, gy =  0.0488 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.2767, I_w_pitch = -2.2390 A, I_w_roll = -1.8583 A, theta_pitch = -8.07839mrad, theta_roll_comp = -35.1086 mrad, theta_setpoint = -34.2678 mrad, 
msg = 1454, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29082 ms, ax =  0.0491, ay = -0.4160, az =  9.9375, gx =  0.0044 rad/s, gy =  0.0448 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.2767, I_w_pitch = -2.2381 A, I_w_roll =  1.2252 A, theta_pitch = -7.01961mrad, theta_roll_comp = -35.0896 mrad, theta_setpoint = -34.2678 mrad, 
msg = 1455, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29102 ms, ax =  0.0563, ay = -0.4663, az =  9.9075, gx =  0.0000 rad/s, gy =  0.0377 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.9786, I_w_pitch = -2.0841 A, I_w_roll = -0.3520 A, theta_pitch = -6.16449mrad, theta_roll_comp = -35.1438 mrad, theta_setpoint = -34.2237 mrad, 
msg = 1456, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29122 ms, ax =  0.0671, ay = -0.3584, az =  9.9662, gx =  0.0002 rad/s, gy =  0.0253 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.4465, I_w_pitch = -1.6797 A, I_w_roll = -0.3105 A, theta_pitch = -5.55794mrad, theta_roll_comp = -35.1271 mrad, theta_setpoint = -34.1944 mrad, 
msg = 1457, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29142 ms, ax =  0.0875, ay = -0.3548, az =  9.9519, gx =  0.0075 rad/s, gy =  0.0111 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.4465, I_w_pitch = -1.1584 A, I_w_roll =  2.3090 A, theta_pitch = -5.23401mrad, theta_roll_comp = -34.9863 mrad, theta_setpoint = -34.1944 mrad, 
msg = 1458, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29162 ms, ax =  0.0527, ay = -0.4016, az =  9.9075, gx =  0.0007 rad/s, gy = -0.0010 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.8810, I_w_pitch = -0.6801 A, I_w_roll = -0.0572 A, theta_pitch = -5.19163mrad, theta_roll_comp = -34.9327 mrad, theta_setpoint = -34.1671 mrad, 
msg = 1459, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29182 ms, ax =  0.0971, ay = -0.2757, az =  9.9483, gx =  0.0035 rad/s, gy = -0.0121 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.8810, I_w_pitch = -0.2068 A, I_w_roll =  0.9662 A, theta_pitch = -5.39985mrad, theta_roll_comp = -34.8209 mrad, theta_setpoint = -34.1671 mrad, 
msg = 1460, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29202 ms, ax =  0.0132, ay = -0.3069, az =  9.9411, gx =  0.0062 rad/s, gy = -0.0178 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.5802, I_w_pitch =  0.0663 A, I_w_roll =  1.9910 A, theta_pitch = -5.69327mrad, theta_roll_comp = -34.6078 mrad, theta_setpoint = -34.1860 mrad, 
msg = 1461, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29222 ms, ax = -0.0156, ay = -0.3344, az =  9.9339, gx =  0.0003 rad/s, gy = -0.0190 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.5134, I_w_pitch =  0.1501 A, I_w_roll = -0.0383 A, theta_pitch = -5.93282mrad, theta_roll_comp = -34.5590 mrad, theta_setpoint = -34.1902 mrad, 
msg = 1462, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29242 ms, ax = -0.0563, ay = -0.2002, az =  9.9914, gx = -0.0026 rad/s, gy = -0.0177 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.5134, I_w_pitch =  0.1199 A, I_w_roll = -1.0307 A, theta_pitch = -6.08606mrad, theta_roll_comp = -34.4768 mrad, theta_setpoint = -34.1902 mrad, 
msg = 1463, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29262 ms, ax = -0.0635, ay = -0.2505, az =  9.9650, gx = -0.0016 rad/s, gy = -0.0133 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.8088, I_w_pitch = -0.0471 A, I_w_roll = -0.5766 A, theta_pitch = -6.14503mrad, theta_roll_comp = -34.3806 mrad, theta_setpoint = -34.2972 mrad, 
msg = 1464, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29282 ms, ax = -0.0408, ay = -0.3045, az =  9.9626, gx = -0.0049 rad/s, gy = -0.0085 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.8088, I_w_pitch = -0.2365 A, I_w_roll = -1.7419 A, theta_pitch = -6.16063mrad, theta_roll_comp = -34.3811 mrad, theta_setpoint = -34.2972 mrad, 
msg = 1465, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29302 ms, ax = -0.0168, ay = -0.3009, az =  9.9938, gx = -0.0039 rad/s, gy = -0.0044 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -89.6056, I_w_pitch = -0.4097 A, I_w_roll = -1.4089 A, theta_pitch = -6.10668mrad, theta_roll_comp = -34.4397 mrad, theta_setpoint = -34.3728 mrad, 
msg = 1466, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29322 ms, ax = -0.0144, ay = -0.4004, az =  9.9459, gx = -0.0008 rad/s, gy = -0.0024 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = -89.2380, I_w_pitch = -0.5035 A, I_w_roll = -0.3043 A, theta_pitch = -6.01338mrad, theta_roll_comp = -34.4975 mrad, theta_setpoint = -34.3959 mrad, 
msg = 1467, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29342 ms, ax = -0.0024, ay = -0.4375, az =  9.9339, gx = -0.0047 rad/s, gy = -0.0028 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -89.2380, I_w_pitch = -0.5007 A, I_w_roll = -1.7519 A, theta_pitch = -5.92583mrad, theta_roll_comp = -34.6213 mrad, theta_setpoint = -34.3959 mrad, 
msg = 1468, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29362 ms, ax = -0.0048, ay = -0.3944, az =  9.9435, gx = -0.0035 rad/s, gy = -0.0058 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -89.1377, I_w_pitch = -0.3803 A, I_w_roll = -1.3664 A, theta_pitch = -5.91186mrad, theta_roll_comp = -34.7124 mrad, theta_setpoint = -34.4021 mrad, 
msg = 1469, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29382 ms, ax =  0.0048, ay = -0.4244, az =  9.9351, gx =  0.0007 rad/s, gy = -0.0105 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -89.1377, I_w_pitch = -0.1845 A, I_w_roll =  0.0990 A, theta_pitch = -5.97419mrad, theta_roll_comp = -34.7771 mrad, theta_setpoint = -34.4021 mrad, 
msg = 1470, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29402 ms, ax =  0.0120, ay = -0.4447, az =  9.9471, gx = -0.0009 rad/s, gy = -0.0162 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.0067, I_w_pitch =  0.0695 A, I_w_roll = -0.5161 A, theta_pitch = -6.14070mrad, theta_roll_comp = -34.8622 mrad, theta_setpoint = -34.3476 mrad, 
msg = 1471, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29422 ms, ax =  0.0072, ay = -0.3716, az =  9.9662, gx =  0.0011 rad/s, gy = -0.0211 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.5080, I_w_pitch =  0.3109 A, I_w_roll =  0.1723 A, theta_pitch = -6.43625mrad, theta_roll_comp = -34.8575 mrad, theta_setpoint = -34.3161 mrad, 
msg = 1472, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29442 ms, ax =  0.0623, ay = -0.3476, az =  9.9638, gx =  0.0047 rad/s, gy = -0.0246 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.5080, I_w_pitch =  0.5084 A, I_w_roll =  1.4615 A, theta_pitch = -6.83014mrad, theta_roll_comp = -34.7802 mrad, theta_setpoint = -34.3161 mrad, 
msg = 1473, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29462 ms, ax = -0.0575, ay = -0.2985, az =  9.9842, gx =  0.0043 rad/s, gy = -0.0222 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.0762, I_w_pitch =  0.4610 A, I_w_roll =  1.3359 A, theta_pitch = -7.15300mrad, theta_roll_comp = -34.7091 mrad, theta_setpoint = -34.2804 mrad, 
msg = 1474, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29482 ms, ax =  0.0036, ay = -0.2266, az =  9.9591, gx =  0.0022 rad/s, gy = -0.0169 rad/s, gz = -0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.2099, I_w_pitch =  0.2795 A, I_w_roll =  0.6475 A, theta_pitch = -7.36338mrad, theta_roll_comp = -34.5573 mrad, theta_setpoint = -34.2720 mrad, 
msg = 1475, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29502 ms, ax = -0.0336, ay = -0.2541, az =  9.9363, gx =  0.0010 rad/s, gy = -0.0105 rad/s, gz = -0.0208 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.2099, I_w_pitch =  0.0362 A, I_w_roll =  0.2806 A, theta_pitch = -7.44564mrad, theta_roll_comp = -34.4260 mrad, theta_setpoint = -34.2720 mrad, 
msg = 1476, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29522 ms, ax = -0.0096, ay = -0.2613, az =  9.9638, gx =  0.0023 rad/s, gy = -0.0062 rad/s, gz = -0.0261 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.3409, I_w_pitch = -0.1316 A, I_w_roll =  0.7980 A, theta_pitch = -7.46351mrad, theta_roll_comp = -34.3523 mrad, theta_setpoint = -34.3266 mrad, 
msg = 1477, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29542 ms, ax = -0.0204, ay = -0.3045, az =  9.9722, gx =  0.0004 rad/s, gy = -0.0040 rad/s, gz = -0.0228 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.3409, I_w_pitch = -0.2349 A, I_w_roll =  0.1764 A, theta_pitch = -7.37836mrad, theta_roll_comp = -34.2751 mrad, theta_setpoint = -34.3266 mrad, 
msg = 1478, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29562 ms, ax =  0.0264, ay = -0.3716, az =  9.9339, gx = -0.0039 rad/s, gy = -0.0042 rad/s, gz = -0.0196 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.3409, I_w_pitch = -0.2338 A, I_w_roll = -1.3721 A, theta_pitch = -7.31486mrad, theta_roll_comp = -34.3014 mrad, theta_setpoint = -34.3266 mrad, 
msg = 1479, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29582 ms, ax =  0.0479, ay = -0.3632, az =  9.9399, gx = -0.0026 rad/s, gy = -0.0069 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.3409, I_w_pitch = -0.1193 A, I_w_roll = -0.9077 A, theta_pitch = -7.36805mrad, theta_roll_comp = -34.3057 mrad, theta_setpoint = -34.3266 mrad, 
msg = 1480, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29602 ms, ax =  0.0360, ay = -0.3297, az =  9.9591, gx = -0.0008 rad/s, gy = -0.0092 rad/s, gz = -0.0093 rad/s, rpm_pitch =  4.8472, rpm_roll = -87.1324, I_w_pitch =  6.3789 A, I_w_roll = -0.1614 A, theta_pitch = -7.46897mrad, theta_roll_comp = -34.2725 mrad, theta_setpoint = -34.5281 mrad, 
msg = 1481, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29622 ms, ax =  0.0731, ay = -0.3500, az =  9.9722, gx = -0.0017 rad/s, gy = -0.0121 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.6550, rpm_roll = -86.7313, I_w_pitch =  0.9946 A, I_w_roll = -0.4899 A, theta_pitch = -7.65008mrad, theta_roll_comp = -34.3035 mrad, theta_setpoint = -34.5533 mrad, 
msg = 1482, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29642 ms, ax = -0.0767, ay = -0.3225, az =  9.9734, gx = -0.0045 rad/s, gy = -0.0065 rad/s, gz = -0.0040 rad/s, rpm_pitch =  0.6550, rpm_roll = -86.7313, I_w_pitch =  0.7764 A, I_w_roll = -1.4950 A, theta_pitch = -7.68655mrad, theta_roll_comp = -34.3694 mrad, theta_setpoint = -34.5533 mrad, 
msg = 1483, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29662 ms, ax =  0.0396, ay = -0.3057, az =  9.9806, gx =  0.0010 rad/s, gy =  0.0080 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.7620, I_w_pitch = -0.6929 A, I_w_roll =  0.4347 A, theta_pitch = -7.52090mrad, theta_roll_comp = -34.3828 mrad, theta_setpoint = -34.6141 mrad, 
msg = 1484, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29682 ms, ax = -0.0024, ay = -0.3548, az =  9.9603, gx =  0.0002 rad/s, gy =  0.0157 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.5615, I_w_pitch = -1.0561 A, I_w_roll =  0.1477 A, theta_pitch = -7.15846mrad, theta_roll_comp = -34.4140 mrad, theta_setpoint = -34.6267 mrad, 
msg = 1485, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29702 ms, ax =  0.0444, ay = -0.3704, az =  9.9650, gx = -0.0028 rad/s, gy =  0.0195 rad/s, gz = -0.0180 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.5615, I_w_pitch = -1.2748 A, I_w_roll = -0.9176 A, theta_pitch = -6.69481mrad, theta_roll_comp = -34.5140 mrad, theta_setpoint = -34.6267 mrad, 
msg = 1486, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29722 ms, ax =  0.0551, ay = -0.3800, az =  9.9591, gx =  0.0014 rad/s, gy =  0.0167 rad/s, gz = -0.0197 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.1270, I_w_pitch = -1.2238 A, I_w_roll =  0.5255 A, theta_pitch = -6.28952mrad, theta_roll_comp = -34.5454 mrad, theta_setpoint = -34.6540 mrad, 
msg = 1487, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29742 ms, ax =  0.0755, ay = -0.4255, az =  9.9303, gx =  0.0020 rad/s, gy =  0.0108 rad/s, gz = -0.0184 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.1270, I_w_pitch = -1.0298 A, I_w_roll =  0.7509 A, theta_pitch = -6.02042mrad, theta_roll_comp = -34.5644 mrad, theta_setpoint = -34.6540 mrad, 
msg = 1488, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29762 ms, ax =  0.1031, ay = -0.4244, az =  9.9291, gx =  0.0007 rad/s, gy =  0.0018 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.1270, I_w_pitch = -0.6771 A, I_w_roll =  0.2659 A, theta_pitch = -5.95731mrad, theta_roll_comp = -34.6117 mrad, theta_setpoint = -34.6540 mrad, 
msg = 1489, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29782 ms, ax =  0.1223, ay = -0.4244, az =  9.9363, gx =  0.0044 rad/s, gy = -0.0086 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.2273, I_w_pitch = -0.2369 A, I_w_roll =  1.5447 A, theta_pitch = -6.12186mrad, theta_roll_comp = -34.6709 mrad, theta_setpoint = -34.6477 mrad, 
msg = 1490, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29802 ms, ax =  0.0971, ay = -0.3584, az =  9.9243, gx =  0.0043 rad/s, gy = -0.0195 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.2607, I_w_pitch =  0.2539 A, I_w_roll =  1.5024 A, theta_pitch = -6.48233mrad, theta_roll_comp = -34.6580 mrad, theta_setpoint = -34.6456 mrad, 
msg = 1491, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29822 ms, ax =  0.1019, ay = -0.3009, az =  9.9111, gx =  0.0014 rad/s, gy = -0.0293 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -85.3944, I_w_pitch =  0.7279 A, I_w_roll =  0.5128 A, theta_pitch = -7.05017mrad, theta_roll_comp = -34.5603 mrad, theta_setpoint = -34.6372 mrad, 
msg = 1492, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29842 ms, ax =  0.0815, ay = -0.2805, az =  9.9375, gx =  0.0020 rad/s, gy = -0.0384 rad/s, gz = -0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -84.0241, I_w_pitch =  1.2024 A, I_w_roll =  0.8253 A, theta_pitch = -7.76403mrad, theta_roll_comp = -34.4477 mrad, theta_setpoint = -34.7233 mrad, 
msg = 1493, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29862 ms, ax =  0.1367, ay = -0.2865, az =  9.9159, gx =  0.0028 rad/s, gy = -0.0455 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -84.0241, I_w_pitch =  1.6198 A, I_w_roll =  1.1642 A, theta_pitch = -8.66477mrad, theta_roll_comp = -34.2995 mrad, theta_setpoint = -34.7233 mrad, 
msg = 1494, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29882 ms, ax =  0.0863, ay = -0.3320, az =  9.9447, gx =  0.0016 rad/s, gy = -0.0487 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -83.3556, I_w_pitch =  1.8871 A, I_w_roll =  0.8162 A, theta_pitch = -9.59413mrad, theta_roll_comp = -34.1628 mrad, theta_setpoint = -34.7653 mrad, 
msg = 1495, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29902 ms, ax =  0.0527, ay = -0.3213, az =  9.9519, gx =  0.0002 rad/s, gy = -0.0478 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = -83.3556, I_w_pitch =  1.9784 A, I_w_roll =  0.3518 A, theta_pitch = -10.45123mrad, theta_roll_comp = -34.0423 mrad, theta_setpoint = -34.7653 mrad, 
msg = 1496, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29922 ms, ax =  0.0503, ay = -0.2805, az =  9.9615, gx =  0.0014 rad/s, gy = -0.0455 rad/s, gz = -0.0196 rad/s, rpm_pitch =  0.0000, rpm_roll = -81.8850, I_w_pitch =  2.0113 A, I_w_roll =  0.8452 A, theta_pitch = -11.27420mrad, theta_roll_comp = -33.9498 mrad, theta_setpoint = -34.8576 mrad, 
msg = 1497, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29942 ms, ax =  0.0240, ay = -0.2841, az =  9.9746, gx = -0.0013 rad/s, gy = -0.0416 rad/s, gz = -0.0197 rad/s, rpm_pitch =  0.0000, rpm_roll = -80.9492, I_w_pitch =  1.9633 A, I_w_roll = -0.0441 A, theta_pitch = -11.98443mrad, theta_roll_comp = -33.9015 mrad, theta_setpoint = -34.9164 mrad, 
msg = 1498, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29962 ms, ax =  0.0635, ay = -0.3165, az =  9.9782, gx = -0.0012 rad/s, gy = -0.0380 rad/s, gz = -0.0180 rad/s, rpm_pitch =  0.0000, rpm_roll = -80.9492, I_w_pitch =  1.9148 A, I_w_roll =  0.0155 A, theta_pitch = -12.61991mrad, theta_roll_comp = -33.8691 mrad, theta_setpoint = -34.9164 mrad, 
msg = 1499, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    29982 ms, ax =  0.0491, ay = -0.3225, az =  9.9686, gx = -0.0005 rad/s, gy = -0.0360 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -78.6765, I_w_pitch =  1.9232 A, I_w_roll =  0.3060 A, theta_pitch = -13.20852mrad, theta_roll_comp = -33.8682 mrad, theta_setpoint = -35.0591 mrad, 
msg = 1500, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    30002 ms, ax =  0.0683, ay = -0.3009, az =  9.9650, gx = -0.0016 rad/s, gy = -0.0350 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -78.6765, I_w_pitch =  1.9633 A, I_w_roll = -0.0716 A, theta_pitch = -13.75936mrad, theta_roll_comp = -33.8799 mrad, theta_setpoint = -35.0591 mrad, 
msg = 1501, nerr =    4p/   9r, time steps =   10, qsz =    2, switch = on, t =    30022 ms, ax =  0.0707, ay = -0.2733, az =  9.9638, gx = -0.0008 rad/s, gy = -0.0333 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -77.7741, I_w_pitch =  1.9764 A, I_w_roll =  0.2183 A, theta_pitch = -14.30854mrad, theta_roll_comp = -33.9110 mrad, theta_setpoint = -35.1158 mrad, 
