picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1226, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24522 ms, ax =  0.0995, ay = -0.2517, az =  9.9567, gx = -0.0115 rad/s, gy =  0.0629 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8062, I_w_pitch = -1.7833 A, I_w_roll =  0.6926 A, theta_pitch = -14.88018mrad, theta_roll_comp = -33.8120 mrad, theta_setpoint = -45.6398 mrad, 
msg = 3666, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73322 ms, ax =  0.5250, ay = -6.5271, az =  7.5029, gx = -0.0012 rad/s, gy = -0.0025 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6273 A, I_w_roll = -271.4255 A, theta_pitch = -73.51691mrad, theta_roll_comp = -717.5553 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3667, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73342 ms, ax =  0.5226, ay = -6.5163, az =  7.4945, gx = -0.0013 rad/s, gy = -0.0021 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6072 A, I_w_roll = -271.4698 A, theta_pitch = -73.48946mrad, theta_roll_comp = -717.5493 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3668, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73362 ms, ax =  0.5250, ay = -6.5199, az =  7.4897, gx = -0.0010 rad/s, gy = -0.0024 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6128 A, I_w_roll = -271.3755 A, theta_pitch = -73.45553mrad, theta_roll_comp = -717.5466 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3669, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73382 ms, ax =  0.5274, ay = -6.5247, az =  7.4921, gx = -0.0009 rad/s, gy = -0.0032 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6425 A, I_w_roll = -271.3292 A, theta_pitch = -73.44076mrad, theta_roll_comp = -717.5474 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3670, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73402 ms, ax =  0.5286, ay = -6.5271, az =  7.5029, gx = -0.0010 rad/s, gy = -0.0029 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6311 A, I_w_roll = -271.3734 A, theta_pitch = -73.43579mrad, theta_roll_comp = -717.5414 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3671, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73422 ms, ax =  0.5262, ay = -6.5235, az =  7.4981, gx = -0.0014 rad/s, gy = -0.0032 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6416 A, I_w_roll = -271.5112 A, theta_pitch = -73.43475mrad, theta_roll_comp = -717.5363 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3672, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73442 ms, ax =  0.5310, ay = -6.5259, az =  7.4957, gx = -0.0014 rad/s, gy = -0.0028 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6253 A, I_w_roll = -271.5115 A, theta_pitch = -73.43276mrad, theta_roll_comp = -717.5371 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3673, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73462 ms, ax =  0.5286, ay = -6.5271, az =  7.5017, gx = -0.0016 rad/s, gy = -0.0030 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6358 A, I_w_roll = -271.5620 A, theta_pitch = -73.43176mrad, theta_roll_comp = -717.5469 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3674, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73482 ms, ax =  0.5298, ay = -6.5307, az =  7.4993, gx = -0.0016 rad/s, gy = -0.0033 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6477 A, I_w_roll = -271.5633 A, theta_pitch = -73.43995mrad, theta_roll_comp = -717.5501 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3675, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73502 ms, ax =  0.5322, ay = -6.5259, az =  7.5005, gx = -0.0016 rad/s, gy = -0.0029 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6333 A, I_w_roll = -271.5655 A, theta_pitch = -73.45043mrad, theta_roll_comp = -717.5557 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3676, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73522 ms, ax =  0.5298, ay = -6.5211, az =  7.5005, gx = -0.0013 rad/s, gy = -0.0028 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6280 A, I_w_roll = -271.4702 A, theta_pitch = -73.45048mrad, theta_roll_comp = -717.5504 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3677, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73542 ms, ax =  0.5262, ay = -6.5259, az =  7.5041, gx = -0.0014 rad/s, gy = -0.0033 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6493 A, I_w_roll = -271.5125 A, theta_pitch = -73.45042mrad, theta_roll_comp = -717.5397 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3678, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73562 ms, ax =  0.5274, ay = -6.5211, az =  7.5065, gx = -0.0016 rad/s, gy = -0.0033 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6489 A, I_w_roll = -271.5550 A, theta_pitch = -73.44784mrad, theta_roll_comp = -717.5293 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3679, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73582 ms, ax =  0.5238, ay = -6.5199, az =  7.5065, gx = -0.0013 rad/s, gy = -0.0036 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6604 A, I_w_roll = -271.4560 A, theta_pitch = -73.45348mrad, theta_roll_comp = -717.5149 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3680, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73602 ms, ax =  0.5179, ay = -6.5295, az =  7.5065, gx = -0.0014 rad/s, gy = -0.0036 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6588 A, I_w_roll = -271.4992 A, theta_pitch = -73.44276mrad, theta_roll_comp = -717.5065 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3681, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73622 ms, ax =  0.5226, ay = -6.5295, az =  7.4921, gx = -0.0014 rad/s, gy = -0.0038 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6690 A, I_w_roll = -271.5017 A, theta_pitch = -73.43950mrad, theta_roll_comp = -717.5127 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3682, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73642 ms, ax =  0.5310, ay = -6.5247, az =  7.5005, gx = -0.0016 rad/s, gy = -0.0042 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6880 A, I_w_roll = -271.5500 A, theta_pitch = -73.46012mrad, theta_roll_comp = -717.5169 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3683, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73662 ms, ax =  0.5298, ay = -6.5247, az =  7.4933, gx = -0.0016 rad/s, gy = -0.0044 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6976 A, I_w_roll = -271.5526 A, theta_pitch = -73.48818mrad, theta_roll_comp = -717.5233 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3684, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73682 ms, ax =  0.5358, ay = -6.5235, az =  7.4873, gx = -0.0010 rad/s, gy = -0.0042 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6988 A, I_w_roll = -271.3675 A, theta_pitch = -73.53184mrad, theta_roll_comp = -717.5266 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3685, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73702 ms, ax =  0.5430, ay = -6.5259, az =  7.4957, gx = -0.0014 rad/s, gy = -0.0041 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7001 A, I_w_roll = -271.5083 A, theta_pitch = -73.57603mrad, theta_roll_comp = -717.5292 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3686, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73722 ms, ax =  0.5358, ay = -6.5295, az =  7.4981, gx = -0.0012 rad/s, gy = -0.0045 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7232 A, I_w_roll = -271.4173 A, theta_pitch = -73.62387mrad, theta_roll_comp = -717.5345 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3687, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73742 ms, ax =  0.5454, ay = -6.5247, az =  7.5029, gx = -0.0012 rad/s, gy = -0.0042 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7205 A, I_w_roll = -271.4144 A, theta_pitch = -73.67659mrad, theta_roll_comp = -717.5274 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3688, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73762 ms, ax =  0.5430, ay = -6.5283, az =  7.5005, gx = -0.0008 rad/s, gy = -0.0045 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7396 A, I_w_roll = -271.2711 A, theta_pitch = -73.73296mrad, theta_roll_comp = -717.5187 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3689, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73782 ms, ax =  0.5298, ay = -6.5211, az =  7.4981, gx = -0.0010 rad/s, gy = -0.0042 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7337 A, I_w_roll = -271.3584 A, theta_pitch = -73.76469mrad, theta_roll_comp = -717.5038 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3690, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73802 ms, ax =  0.5298, ay = -6.5199, az =  7.4909, gx = -0.0008 rad/s, gy = -0.0042 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7366 A, I_w_roll = -271.2591 A, theta_pitch = -73.78413mrad, theta_roll_comp = -717.4886 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3691, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73822 ms, ax =  0.5334, ay = -6.5223, az =  7.4873, gx = -0.0010 rad/s, gy = -0.0040 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7292 A, I_w_roll = -271.3514 A, theta_pitch = -73.80543mrad, theta_roll_comp = -717.4864 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3692, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73842 ms, ax =  0.5382, ay = -6.5235, az =  7.4873, gx = -0.0010 rad/s, gy = -0.0041 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7394 A, I_w_roll = -271.3538 A, theta_pitch = -73.83826mrad, theta_roll_comp = -717.4924 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3693, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73862 ms, ax =  0.5418, ay = -6.5199, az =  7.4981, gx = -0.0009 rad/s, gy = -0.0038 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7351 A, I_w_roll = -271.3053 A, theta_pitch = -73.88047mrad, theta_roll_comp = -717.4877 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3694, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73882 ms, ax =  0.5430, ay = -6.5331, az =  7.4981, gx = -0.0017 rad/s, gy = -0.0042 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7587 A, I_w_roll = -271.5889 A, theta_pitch = -73.93156mrad, theta_roll_comp = -717.4976 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3695, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73902 ms, ax =  0.5406, ay = -6.5271, az =  7.5148, gx = -0.0013 rad/s, gy = -0.0041 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7600 A, I_w_roll = -271.4467 A, theta_pitch = -73.97565mrad, theta_roll_comp = -717.4918 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3696, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73922 ms, ax =  0.5418, ay = -6.5247, az =  7.5124, gx = -0.0017 rad/s, gy = -0.0037 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7495 A, I_w_roll = -271.5808 A, theta_pitch = -74.01179mrad, theta_roll_comp = -717.4774 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3697, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73942 ms, ax =  0.5394, ay = -6.5307, az =  7.5088, gx = -0.0014 rad/s, gy = -0.0037 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7554 A, I_w_roll = -271.4824 A, theta_pitch = -74.05114mrad, theta_roll_comp = -717.4644 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3698, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73962 ms, ax =  0.5466, ay = -6.5343, az =  7.5065, gx = -0.0016 rad/s, gy = -0.0038 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7670 A, I_w_roll = -271.5291 A, theta_pitch = -74.09338mrad, theta_roll_comp = -717.4645 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3699, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    73982 ms, ax =  0.5442, ay = -6.5295, az =  7.4981, gx = -0.0010 rad/s, gy = -0.0033 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7513 A, I_w_roll = -271.3434 A, theta_pitch = -74.13050mrad, theta_roll_comp = -717.4664 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3700, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74002 ms, ax =  0.5394, ay = -6.5271, az =  7.5041, gx = -0.0010 rad/s, gy = -0.0034 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7598 A, I_w_roll = -271.3374 A, theta_pitch = -74.15138mrad, theta_roll_comp = -717.4514 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3701, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74022 ms, ax =  0.5382, ay = -6.5283, az =  7.5076, gx = -0.0014 rad/s, gy = -0.0030 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7459 A, I_w_roll = -271.4739 A, theta_pitch = -74.16563mrad, theta_roll_comp = -717.4431 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3702, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74042 ms, ax =  0.5466, ay = -6.5283, az =  7.4945, gx = -0.0016 rad/s, gy = -0.0028 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7375 A, I_w_roll = -271.5211 A, theta_pitch = -74.18031mrad, theta_roll_comp = -717.4448 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3703, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74062 ms, ax =  0.5550, ay = -6.5247, az =  7.4921, gx = -0.0014 rad/s, gy = -0.0025 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7322 A, I_w_roll = -271.4756 A, theta_pitch = -74.21587mrad, theta_roll_comp = -717.4475 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3704, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74082 ms, ax =  0.5442, ay = -6.5259, az =  7.4945, gx = -0.0016 rad/s, gy = -0.0021 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7201 A, I_w_roll = -271.5272 A, theta_pitch = -74.24186mrad, theta_roll_comp = -717.4598 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3705, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74102 ms, ax =  0.5394, ay = -6.5199, az =  7.5005, gx = -0.0014 rad/s, gy = -0.0022 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7248 A, I_w_roll = -271.4808 A, theta_pitch = -74.23787mrad, theta_roll_comp = -717.4604 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3706, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74122 ms, ax =  0.5358, ay = -6.5247, az =  7.5005, gx = -0.0014 rad/s, gy = -0.0026 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7400 A, I_w_roll = -271.4773 A, theta_pitch = -74.23284mrad, theta_roll_comp = -717.4517 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3707, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74142 ms, ax =  0.5346, ay = -6.5235, az =  7.5041, gx = -0.0014 rad/s, gy = -0.0024 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7269 A, I_w_roll = -271.4767 A, theta_pitch = -74.21644mrad, theta_roll_comp = -717.4501 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3708, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74162 ms, ax =  0.5394, ay = -6.5199, az =  7.5088, gx = -0.0013 rad/s, gy = -0.0026 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7362 A, I_w_roll = -271.4240 A, theta_pitch = -74.20728mrad, theta_roll_comp = -717.4349 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3709, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74182 ms, ax =  0.5382, ay = -6.5127, az =  7.5005, gx = -0.0014 rad/s, gy = -0.0022 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7197 A, I_w_roll = -271.4649 A, theta_pitch = -74.20355mrad, theta_roll_comp = -717.4208 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3710, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74202 ms, ax =  0.5442, ay = -6.5211, az =  7.5112, gx = -0.0014 rad/s, gy = -0.0021 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7147 A, I_w_roll = -271.4586 A, theta_pitch = -74.20604mrad, theta_roll_comp = -717.4048 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3711, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74222 ms, ax =  0.5382, ay = -6.5271, az =  7.4993, gx = -0.0010 rad/s, gy = -0.0024 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.7255 A, I_w_roll = -271.3141 A, theta_pitch = -74.20673mrad, theta_roll_comp = -717.3931 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3712, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74242 ms, ax =  0.5466, ay = -6.5295, az =  7.4993, gx = -0.0008 rad/s, gy = -0.0017 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6998 A, I_w_roll = -271.2194 A, theta_pitch = -74.21308mrad, theta_roll_comp = -717.3893 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3713, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74262 ms, ax =  0.5418, ay = -6.5271, az =  7.4957, gx = -0.0010 rad/s, gy = -0.0010 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6722 A, I_w_roll = -271.3110 A, theta_pitch = -74.20712mrad, theta_roll_comp = -717.3853 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3714, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74282 ms, ax =  0.5442, ay = -6.5259, az =  7.4969, gx = -0.0008 rad/s, gy = -0.0009 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6638 A, I_w_roll = -271.2144 A, theta_pitch = -74.18654mrad, theta_roll_comp = -717.3770 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3715, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74302 ms, ax =  0.5490, ay = -6.5247, az =  7.5029, gx = -0.0009 rad/s, gy = -0.0013 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6795 A, I_w_roll = -271.2567 A, theta_pitch = -74.18411mrad, theta_roll_comp = -717.3661 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3716, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74322 ms, ax =  0.5490, ay = -6.5247, az =  7.5076, gx = -0.0012 rad/s, gy = -0.0012 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6748 A, I_w_roll = -271.3445 A, theta_pitch = -74.18878mrad, theta_roll_comp = -717.3527 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3717, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74342 ms, ax =  0.5406, ay = -6.5259, az =  7.5053, gx = -0.0013 rad/s, gy = -0.0010 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6669 A, I_w_roll = -271.3865 A, theta_pitch = -74.17159mrad, theta_roll_comp = -717.3413 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3718, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74362 ms, ax =  0.5358, ay = -6.5247, az =  7.4933, gx = -0.0012 rad/s, gy = -0.0013 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6738 A, I_w_roll = -271.3397 A, theta_pitch = -74.14671mrad, theta_roll_comp = -717.3405 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3719, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74382 ms, ax =  0.5442, ay = -6.5199, az =  7.5005, gx = -0.0014 rad/s, gy = -0.0012 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6662 A, I_w_roll = -271.4321 A, theta_pitch = -74.13095mrad, theta_roll_comp = -717.3387 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3720, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74402 ms, ax =  0.5442, ay = -6.5247, az =  7.4993, gx = -0.0014 rad/s, gy = -0.0010 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6589 A, I_w_roll = -271.4330 A, theta_pitch = -74.11826mrad, theta_roll_comp = -717.3408 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3721, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74422 ms, ax =  0.5382, ay = -6.5247, az =  7.5041, gx = -0.0013 rad/s, gy = -0.0008 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6444 A, I_w_roll = -271.3860 A, theta_pitch = -74.09263mrad, theta_roll_comp = -717.3400 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3722, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74442 ms, ax =  0.5442, ay = -6.5127, az =  7.5136, gx = -0.0014 rad/s, gy = -0.0012 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6576 A, I_w_roll = -271.4210 A, theta_pitch = -74.07373mrad, theta_roll_comp = -717.3109 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3723, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74462 ms, ax =  0.5382, ay = -6.5091, az =  7.5208, gx = -0.0021 rad/s, gy = -0.0006 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6328 A, I_w_roll = -271.6375 A, theta_pitch = -74.05078mrad, theta_roll_comp = -717.2694 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3724, nerr =    8p/  30r, time steps =   10, qsz =    2, switch = off, t =    74482 ms, ax =  0.5490, ay = -6.5295, az =  7.5100, gx = -0.0022 rad/s, gy =  0.0000 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6019 A, I_w_roll = -271.6794 A, theta_pitch = -74.02216mrad, theta_roll_comp = -717.2580 mrad, theta_setpoint = -40.0000 mrad, 
