picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   82, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      822 ms, ax =  0.0611, ay = -6.4156, az =  7.6563, gx = -0.0010 rad/s, gy = -0.0162 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1531 A, I_w_roll = -137.3825 A, theta_pitch = -13.36477mrad, theta_roll_comp = -382.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1802, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18022 ms, ax = -0.0036, ay = -6.3964, az =  7.6467, gx = -0.0013 rad/s, gy = -0.0013 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1036 A, I_w_roll = -263.5478 A, theta_pitch = -2.29738mrad, theta_roll_comp = -697.7444 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1803, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18032 ms, ax =  0.0012, ay = -6.3940, az =  7.6527, gx = -0.0013 rad/s, gy = -0.0013 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1053 A, I_w_roll = -263.5471 A, theta_pitch = -2.28604mrad, theta_roll_comp = -697.7427 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1804, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18042 ms, ax = -0.0024, ay = -6.3952, az =  7.6575, gx = -0.0010 rad/s, gy = -0.0014 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1014 A, I_w_roll = -263.4512 A, theta_pitch = -2.27594mrad, theta_roll_comp = -697.7359 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1805, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18052 ms, ax = -0.0012, ay = -6.4036, az =  7.6515, gx = -0.0012 rad/s, gy = -0.0014 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1031 A, I_w_roll = -263.4966 A, theta_pitch = -2.26521mrad, theta_roll_comp = -697.7330 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1806, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18062 ms, ax = -0.0036, ay = -6.4000, az =  7.6479, gx = -0.0012 rad/s, gy = -0.0010 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1211 A, I_w_roll = -263.4976 A, theta_pitch = -2.25150mrad, theta_roll_comp = -697.7355 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1807, nerr =  104p/ 104r, time steps =    5, qsz =    3, switch = off, t =    18072 ms, ax = -0.0024, ay = -6.4012, az =  7.6527, gx = -0.0012 rad/s, gy = -0.0010 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1235 A, I_w_roll = -263.4981 A, theta_pitch = -2.23547mrad, theta_roll_comp = -697.7367 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1808, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18082 ms, ax =  0.0012, ay = -6.4048, az =  7.6479, gx = -0.0010 rad/s, gy = -0.0010 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1254 A, I_w_roll = -263.4525 A, theta_pitch = -2.22282mrad, theta_roll_comp = -697.7391 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1809, nerr =  104p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18092 ms, ax =  0.0036, ay = -6.4036, az =  7.6551, gx = -0.0010 rad/s, gy = -0.0012 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1213 A, I_w_roll = -263.4531 A, theta_pitch = -2.21485mrad, theta_roll_comp = -697.7405 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1810, nerr =  105p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18102 ms, ax =  0.0024, ay = -6.4000, az =  7.6467, gx = -0.0010 rad/s, gy = -0.0008 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1386 A, I_w_roll = -263.4532 A, theta_pitch = -2.20609mrad, theta_roll_comp = -697.7408 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1811, nerr =  105p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18112 ms, ax = -0.0012, ay = -6.4000, az =  7.6515, gx = -0.0010 rad/s, gy = -0.0009 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1352 A, I_w_roll = -263.4532 A, theta_pitch = -2.19303mrad, theta_roll_comp = -697.7408 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1812, nerr =  105p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18122 ms, ax = -0.0024, ay = -6.3940, az =  7.6479, gx = -0.0013 rad/s, gy = -0.0005 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1538 A, I_w_roll = -263.5458 A, theta_pitch = -2.17555mrad, theta_roll_comp = -697.7394 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1813, nerr =  105p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18132 ms, ax =  0.0012, ay = -6.3940, az =  7.6455, gx = -0.0014 rad/s, gy = -0.0005 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1564 A, I_w_roll = -263.5926 A, theta_pitch = -2.15821mrad, theta_roll_comp = -697.7399 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1814, nerr =  105p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18142 ms, ax =  0.0024, ay = -6.3940, az =  7.6503, gx = -0.0014 rad/s, gy = -0.0006 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1531 A, I_w_roll = -263.5926 A, theta_pitch = -2.14478mrad, theta_roll_comp = -697.7399 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1815, nerr =  105p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18152 ms, ax =  0.0000, ay = -6.3952, az =  7.6599, gx = -0.0014 rad/s, gy = -0.0006 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1551 A, I_w_roll = -263.5910 A, theta_pitch = -2.13113mrad, theta_roll_comp = -697.7360 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1816, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18162 ms, ax = -0.0036, ay = -6.3928, az =  7.6647, gx = -0.0016 rad/s, gy = -0.0010 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1414 A, I_w_roll = -263.6343 A, theta_pitch = -2.11580mrad, theta_roll_comp = -697.7275 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1817, nerr =  106p/ 104r, time steps =    5, qsz =    3, switch = off, t =    18172 ms, ax = -0.0108, ay = -6.3928, az =  7.6575, gx = -0.0017 rad/s, gy = -0.0010 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1445 A, I_w_roll = -263.6782 A, theta_pitch = -2.09529mrad, theta_roll_comp = -697.7208 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1818, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18182 ms, ax = -0.0096, ay = -6.3904, az =  7.6515, gx = -0.0013 rad/s, gy = -0.0006 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1644 A, I_w_roll = -263.5363 A, theta_pitch = -2.06933mrad, theta_roll_comp = -697.7157 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1819, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18192 ms, ax = -0.0024, ay = -6.3964, az =  7.6539, gx = -0.0013 rad/s, gy = -0.0006 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1677 A, I_w_roll = -263.5346 A, theta_pitch = -2.04753mrad, theta_roll_comp = -697.7114 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1820, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18202 ms, ax = -0.0036, ay = -6.3952, az =  7.6515, gx = -0.0012 rad/s, gy = -0.0006 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1704 A, I_w_roll = -263.4867 A, theta_pitch = -2.02944mrad, theta_roll_comp = -697.7081 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1821, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18212 ms, ax = -0.0012, ay = -6.3928, az =  7.6491, gx = -0.0010 rad/s, gy = -0.0004 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1838 A, I_w_roll = -263.4384 A, theta_pitch = -2.01106mrad, theta_roll_comp = -697.7038 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1822, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18222 ms, ax =  0.0012, ay = -6.3916, az =  7.6455, gx = -0.0013 rad/s, gy = -0.0002 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1917 A, I_w_roll = -263.5303 A, theta_pitch = -1.99406mrad, theta_roll_comp = -697.7008 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1823, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18232 ms, ax =  0.0012, ay = -6.3940, az =  7.6503, gx = -0.0012 rad/s, gy = -0.0001 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1995 A, I_w_roll = -263.4828 A, theta_pitch = -1.97733mrad, theta_roll_comp = -697.6985 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1824, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18242 ms, ax = -0.0024, ay = -6.3988, az =  7.6515, gx = -0.0017 rad/s, gy = -0.0001 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2025 A, I_w_roll = -263.6696 A, theta_pitch = -1.95763mrad, theta_roll_comp = -697.6993 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1825, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18252 ms, ax =  0.0012, ay = -6.4012, az =  7.6515, gx = -0.0014 rad/s, gy = -0.0001 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2053 A, I_w_roll = -263.5780 A, theta_pitch = -1.93846mrad, theta_roll_comp = -697.7035 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1826, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18262 ms, ax =  0.0036, ay = -6.4060, az =  7.6539, gx = -0.0014 rad/s, gy = -0.0004 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1967 A, I_w_roll = -263.5800 A, theta_pitch = -1.92479mrad, theta_roll_comp = -697.7083 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1827, nerr =  106p/ 104r, time steps =    5, qsz =    3, switch = off, t =    18272 ms, ax =  0.0012, ay = -6.4060, az =  7.6539, gx = -0.0014 rad/s, gy = -0.0004 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1986 A, I_w_roll = -263.5823 A, theta_pitch = -1.91224mrad, theta_roll_comp = -697.7142 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1828, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18282 ms, ax = -0.0036, ay = -6.4096, az =  7.6551, gx = -0.0013 rad/s, gy = -0.0004 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2012 A, I_w_roll = -263.5382 A, theta_pitch = -1.89507mrad, theta_roll_comp = -697.7203 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1829, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18292 ms, ax = -0.0084, ay = -6.4024, az =  7.6515, gx = -0.0014 rad/s, gy = -0.0004 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2047 A, I_w_roll = -263.5870 A, theta_pitch = -1.87179mrad, theta_roll_comp = -697.7258 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1830, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18302 ms, ax = -0.0120, ay = -6.4048, az =  7.6491, gx = -0.0016 rad/s, gy = -0.0004 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2090 A, I_w_roll = -263.6364 A, theta_pitch = -1.84331mrad, theta_roll_comp = -697.7327 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1831, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18312 ms, ax = -0.0120, ay = -6.4072, az =  7.6467, gx = -0.0013 rad/s, gy = -0.0006 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2026 A, I_w_roll = -263.5469 A, theta_pitch = -1.81436mrad, theta_roll_comp = -697.7423 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1832, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18322 ms, ax = -0.0084, ay = -6.4096, az =  7.6431, gx = -0.0014 rad/s, gy = -0.0006 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2064 A, I_w_roll = -263.5986 A, theta_pitch = -1.78941mrad, theta_roll_comp = -697.7549 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1833, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18332 ms, ax = -0.0048, ay = -6.4060, az =  7.6371, gx = -0.0014 rad/s, gy = -0.0005 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2148 A, I_w_roll = -263.6049 A, theta_pitch = -1.76870mrad, theta_roll_comp = -697.7706 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1834, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18342 ms, ax =  0.0036, ay = -6.4012, az =  7.6431, gx = -0.0016 rad/s, gy = -0.0005 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2168 A, I_w_roll = -263.6566 A, theta_pitch = -1.75565mrad, theta_roll_comp = -697.7833 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1835, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18352 ms, ax = -0.0012, ay = -6.3976, az =  7.6395, gx = -0.0016 rad/s, gy = -0.0004 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2239 A, I_w_roll = -263.6604 A, theta_pitch = -1.74375mrad, theta_roll_comp = -697.7928 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1836, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18362 ms, ax = -0.0024, ay = -6.3952, az =  7.6431, gx = -0.0014 rad/s, gy = -0.0006 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2154 A, I_w_roll = -263.6163 A, theta_pitch = -1.72903mrad, theta_roll_comp = -697.7992 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1837, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18372 ms, ax = -0.0024, ay = -6.3976, az =  7.6515, gx = -0.0013 rad/s, gy = -0.0008 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2121 A, I_w_roll = -263.5701 A, theta_pitch = -1.71566mrad, theta_roll_comp = -697.8002 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1838, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18382 ms, ax = -0.0084, ay = -6.3940, az =  7.6599, gx = -0.0010 rad/s, gy = -0.0005 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2255 A, I_w_roll = -263.4741 A, theta_pitch = -1.69743mrad, theta_roll_comp = -697.7932 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1839, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18392 ms, ax = -0.0108, ay = -6.3964, az =  7.6623, gx = -0.0012 rad/s, gy = -0.0004 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2346 A, I_w_roll = -263.5163 A, theta_pitch = -1.67219mrad, theta_roll_comp = -697.7821 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1840, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18402 ms, ax = -0.0024, ay = -6.4012, az =  7.6623, gx = -0.0013 rad/s, gy = -0.0001 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2487 A, I_w_roll = -263.5598 A, theta_pitch = -1.64955mrad, theta_roll_comp = -697.7746 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1841, nerr =  106p/ 104r, time steps =    5, qsz =    3, switch = off, t =    18412 ms, ax =  0.0012, ay = -6.4072, az =  7.6587, gx = -0.0013 rad/s, gy =  0.0000 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2565 A, I_w_roll = -263.5593 A, theta_pitch = -1.63275mrad, theta_roll_comp = -697.7731 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1842, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18422 ms, ax =  0.0024, ay = -6.4132, az =  7.6443, gx = -0.0014 rad/s, gy =  0.0003 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2695 A, I_w_roll = -263.6098 A, theta_pitch = -1.61710mrad, theta_roll_comp = -697.7830 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1843, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18432 ms, ax = -0.0012, ay = -6.4024, az =  7.6431, gx = -0.0013 rad/s, gy =  0.0002 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2669 A, I_w_roll = -263.5680 A, theta_pitch = -1.59930mrad, theta_roll_comp = -697.7949 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1844, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18442 ms, ax = -0.0048, ay = -6.4048, az =  7.6383, gx = -0.0010 rad/s, gy = -0.0001 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2592 A, I_w_roll = -263.4784 A, theta_pitch = -1.57905mrad, theta_roll_comp = -697.8038 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1845, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18452 ms, ax = -0.0060, ay = -6.4000, az =  7.6371, gx = -0.0010 rad/s, gy = -0.0001 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2625 A, I_w_roll = -263.4817 A, theta_pitch = -1.55718mrad, theta_roll_comp = -697.8122 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1846, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18462 ms, ax = -0.0060, ay = -6.4072, az =  7.6407, gx = -0.0010 rad/s, gy = -0.0001 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2659 A, I_w_roll = -263.4852 A, theta_pitch = -1.53482mrad, theta_roll_comp = -697.8209 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1847, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18472 ms, ax = -0.0120, ay = -6.4060, az =  7.6407, gx = -0.0010 rad/s, gy =  0.0002 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2807 A, I_w_roll = -263.4891 A, theta_pitch = -1.50709mrad, theta_roll_comp = -697.8306 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1848, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18482 ms, ax = -0.0108, ay = -6.4048, az =  7.6407, gx = -0.0016 rad/s, gy =  0.0000 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2800 A, I_w_roll = -263.6801 A, theta_pitch = -1.47630mrad, theta_roll_comp = -697.8422 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1849, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18492 ms, ax = -0.0168, ay = -6.4000, az =  7.6419, gx = -0.0014 rad/s, gy =  0.0000 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2850 A, I_w_roll = -263.6377 A, theta_pitch = -1.44300mrad, theta_roll_comp = -697.8525 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1850, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18502 ms, ax = -0.0144, ay = -6.4024, az =  7.6431, gx = -0.0013 rad/s, gy =  0.0002 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2957 A, I_w_roll = -263.5940 A, theta_pitch = -1.40735mrad, theta_roll_comp = -697.8598 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1851, nerr =  106p/ 104r, time steps =    5, qsz =    2, switch = off, t =    18512 ms, ax = -0.0144, ay = -6.3952, az =  7.6383, gx = -0.0012 rad/s, gy =  0.0002 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3008 A, I_w_roll = -263.5494 A, theta_pitch = -1.37286mrad, theta_roll_comp = -697.8650 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1852, nerr =  107p/ 105r, time steps =    5, qsz =    2, switch = off, t =    18522 ms, ax = -0.0156, ay = -6.3976, az =  7.6407, gx = -0.0008 rad/s, gy =  0.0000 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3006 A, I_w_roll = -263.4102 A, theta_pitch = -1.33862mrad, theta_roll_comp = -697.8665 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1853, nerr =  107p/ 105r, time steps =    5, qsz =    2, switch = off, t =    18532 ms, ax = -0.0156, ay = -6.4012, az =  7.6431, gx = -0.0009 rad/s, gy = -0.0002 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2949 A, I_w_roll = -263.4572 A, theta_pitch = -1.30604mrad, theta_roll_comp = -697.8675 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1854, nerr =  107p/ 105r, time steps =    5, qsz =    2, switch = off, t =    18542 ms, ax = -0.0096, ay = -6.4096, az =  7.6443, gx = -0.0010 rad/s, gy = -0.0006 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2826 A, I_w_roll = -263.5062 A, theta_pitch = -1.28142mrad, theta_roll_comp = -697.8735 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1855, nerr =  107p/ 105r, time steps =    5, qsz =    2, switch = off, t =    18552 ms, ax = -0.0132, ay = -6.4096, az =  7.6539, gx = -0.0012 rad/s, gy = -0.0006 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2858 A, I_w_roll = -263.5555 A, theta_pitch = -1.25991mrad, theta_roll_comp = -697.8801 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1856, nerr =  107p/ 105r, time steps =    5, qsz =    2, switch = off, t =    18562 ms, ax = -0.0144, ay = -6.4096, az =  7.6587, gx = -0.0014 rad/s, gy = -0.0005 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2949 A, I_w_roll = -263.6503 A, theta_pitch = -1.23490mrad, theta_roll_comp = -697.8842 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1857, nerr =  107p/ 105r, time steps =    5, qsz =    2, switch = off, t =    18572 ms, ax = -0.0144, ay = -6.4060, az =  7.6575, gx = -0.0016 rad/s, gy = -0.0006 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2934 A, I_w_roll = -263.6982 A, theta_pitch = -1.20955mrad, theta_roll_comp = -697.8875 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1858, nerr =  108p/ 106r, time steps =    5, qsz =    2, switch = off, t =    18582 ms, ax = -0.0144, ay = -6.4012, az =  7.6575, gx = -0.0017 rad/s, gy = -0.0006 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2970 A, I_w_roll = -263.7456 A, theta_pitch = -1.18505mrad, theta_roll_comp = -697.8894 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1859, nerr =  108p/ 106r, time steps =    5, qsz =    2, switch = off, t =    18592 ms, ax = -0.0156, ay = -6.4072, az =  7.6599, gx = -0.0014 rad/s, gy = -0.0006 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3008 A, I_w_roll = -263.6527 A, theta_pitch = -1.15996mrad, theta_roll_comp = -697.8902 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1860, nerr =  108p/ 106r, time steps =    5, qsz =    2, switch = off, t =    18602 ms, ax = -0.0168, ay = -6.4048, az =  7.6623, gx = -0.0014 rad/s, gy = -0.0005 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3102 A, I_w_roll = -263.6524 A, theta_pitch = -1.13285mrad, theta_roll_comp = -697.8895 mrad, theta_setpoint = -40.0000 mrad, 
