picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.4447, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7289 A, I_w_roll = 44.1117 A, theta_pitch = -27.38550mrad, theta_roll_comp = 74.3172 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4076, nerr =  303p/ 337r, time steps =    5, qsz =    2, switch = off, t =    40762 ms, ax =  0.4351, ay =  1.3222, az =  9.7481, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8607 A, I_w_roll = 66.6287 A, theta_pitch = -48.19320mrad, theta_roll_comp = 130.3767 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4077, nerr =  303p/ 337r, time steps =    5, qsz =    2, switch = off, t =    40772 ms, ax =  0.4375, ay =  1.3126, az =  9.7529, gx = -0.0046 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8605 A, I_w_roll = 66.5331 A, theta_pitch = -48.19150mrad, theta_roll_comp = 130.3706 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4078, nerr =  303p/ 337r, time steps =    5, qsz =    2, switch = off, t =    40782 ms, ax =  0.4363, ay =  1.3150, az =  9.7517, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8603 A, I_w_roll = 66.5757 A, theta_pitch = -48.19020mrad, theta_roll_comp = 130.3607 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4079, nerr =  303p/ 337r, time steps =    5, qsz =    2, switch = off, t =    40792 ms, ax =  0.4423, ay =  1.3150, az =  9.7565, gx = -0.0046 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8659 A, I_w_roll = 66.5255 A, theta_pitch = -48.19229mrad, theta_roll_comp = 130.3517 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4080, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40802 ms, ax =  0.4399, ay =  1.3138, az =  9.7625, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8610 A, I_w_roll = 66.5680 A, theta_pitch = -48.19548mrad, theta_roll_comp = 130.3414 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4081, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40812 ms, ax =  0.4447, ay =  1.3198, az =  9.7553, gx = -0.0046 rad/s, gy = -0.0037 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8780 A, I_w_roll = 66.5185 A, theta_pitch = -48.20172mrad, theta_roll_comp = 130.3340 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4082, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40822 ms, ax =  0.4459, ay =  1.3282, az =  9.7529, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8796 A, I_w_roll = 66.5654 A, theta_pitch = -48.21288mrad, theta_roll_comp = 130.3347 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4083, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40832 ms, ax =  0.4303, ay =  1.3246, az =  9.7505, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8747 A, I_w_roll = 66.5668 A, theta_pitch = -48.21533mrad, theta_roll_comp = 130.3383 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4084, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40842 ms, ax =  0.4363, ay =  1.3270, az =  9.7565, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8689 A, I_w_roll = 66.6148 A, theta_pitch = -48.21231mrad, theta_roll_comp = 130.3419 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4085, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40852 ms, ax =  0.4387, ay =  1.3234, az =  9.7625, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8798 A, I_w_roll = 66.5690 A, theta_pitch = -48.21397mrad, theta_roll_comp = 130.3438 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4086, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40862 ms, ax =  0.4327, ay =  1.3258, az =  9.7625, gx = -0.0046 rad/s, gy = -0.0038 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8853 A, I_w_roll = 66.5223 A, theta_pitch = -48.21528mrad, theta_roll_comp = 130.3435 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4087, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40872 ms, ax =  0.4363, ay =  1.3270, az =  9.7661, gx = -0.0046 rad/s, gy = -0.0036 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8746 A, I_w_roll = 66.5225 A, theta_pitch = -48.21483mrad, theta_roll_comp = 130.3441 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4088, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40882 ms, ax =  0.4399, ay =  1.3222, az =  9.7685, gx = -0.0046 rad/s, gy = -0.0036 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8749 A, I_w_roll = 66.5218 A, theta_pitch = -48.21671mrad, theta_roll_comp = 130.3423 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4089, nerr =  304p/ 338r, time steps =    5, qsz =    2, switch = off, t =    40892 ms, ax =  0.4363, ay =  1.3222, az =  9.7541, gx = -0.0046 rad/s, gy = -0.0036 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8752 A, I_w_roll = 66.5205 A, theta_pitch = -48.21857mrad, theta_roll_comp = 130.3391 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4090, nerr =  304p/ 339r, time steps =    5, qsz =    2, switch = off, t =    40902 ms, ax =  0.4387, ay =  1.3258, az =  9.7505, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8754 A, I_w_roll = 66.6143 A, theta_pitch = -48.22042mrad, theta_roll_comp = 130.3405 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4091, nerr =  304p/ 339r, time steps =    5, qsz =    2, switch = off, t =    40912 ms, ax =  0.4339, ay =  1.3198, az =  9.7541, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8701 A, I_w_roll = 66.6147 A, theta_pitch = -48.22005mrad, theta_roll_comp = 130.3416 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4092, nerr =  304p/ 339r, time steps =    5, qsz =    2, switch = off, t =    40922 ms, ax =  0.4399, ay =  1.3198, az =  9.7565, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8755 A, I_w_roll = 66.6607 A, theta_pitch = -48.22065mrad, theta_roll_comp = 130.3402 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4093, nerr =  304p/ 339r, time steps =    5, qsz =    2, switch = off, t =    40932 ms, ax =  0.4327, ay =  1.3162, az =  9.7517, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8592 A, I_w_roll = 66.6128 A, theta_pitch = -48.21870mrad, theta_roll_comp = 130.3369 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4094, nerr =  304p/ 339r, time steps =    5, qsz =    2, switch = off, t =    40942 ms, ax =  0.4339, ay =  1.3114, az =  9.7493, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8637 A, I_w_roll = 66.6098 A, theta_pitch = -48.21303mrad, theta_roll_comp = 130.3293 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4095, nerr =  304p/ 339r, time steps =    5, qsz =    2, switch = off, t =    40952 ms, ax =  0.4351, ay =  1.3114, az =  9.7445, gx = -0.0042 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8577 A, I_w_roll = 66.6529 A, theta_pitch = -48.20872mrad, theta_roll_comp = 130.3207 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4096, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    40962 ms, ax =  0.4411, ay =  1.3114, az =  9.7493, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8738 A, I_w_roll = 66.6498 A, theta_pitch = -48.20975mrad, theta_roll_comp = 130.3127 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4097, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    40972 ms, ax =  0.4399, ay =  1.3126, az =  9.7469, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8692 A, I_w_roll = 66.6000 A, theta_pitch = -48.21411mrad, theta_roll_comp = 130.3047 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4098, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    40982 ms, ax =  0.4375, ay =  1.3126, az =  9.7529, gx = -0.0041 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8586 A, I_w_roll = 66.6904 A, theta_pitch = -48.21438mrad, theta_roll_comp = 130.2979 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4099, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    40992 ms, ax =  0.4363, ay =  1.3162, az =  9.7601, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8690 A, I_w_roll = 66.5948 A, theta_pitch = -48.21277mrad, theta_roll_comp = 130.2919 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4100, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41002 ms, ax =  0.4303, ay =  1.3198, az =  9.7625, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8629 A, I_w_roll = 66.5932 A, theta_pitch = -48.20761mrad, theta_roll_comp = 130.2878 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4101, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41012 ms, ax =  0.4327, ay =  1.3186, az =  9.7589, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8727 A, I_w_roll = 66.5920 A, theta_pitch = -48.20184mrad, theta_roll_comp = 130.2848 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4102, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41022 ms, ax =  0.4315, ay =  1.3162, az =  9.7709, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8775 A, I_w_roll = 66.5429 A, theta_pitch = -48.19833mrad, theta_roll_comp = 130.2786 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4103, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41032 ms, ax =  0.4387, ay =  1.3246, az =  9.7721, gx = -0.0045 rad/s, gy = -0.0040 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8884 A, I_w_roll = 66.5413 A, theta_pitch = -48.19999mrad, theta_roll_comp = 130.2745 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4104, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41042 ms, ax =  0.4375, ay =  1.3246, az =  9.7673, gx = -0.0043 rad/s, gy = -0.0038 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8838 A, I_w_roll = 66.5882 A, theta_pitch = -48.20497mrad, theta_roll_comp = 130.2753 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4105, nerr =  304p/ 340r, time steps =    5, qsz =    3, switch = off, t =    41052 ms, ax =  0.4447, ay =  1.3270, az =  9.7661, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8795 A, I_w_roll = 66.5894 A, theta_pitch = -48.21204mrad, theta_roll_comp = 130.2784 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4106, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41062 ms, ax =  0.4435, ay =  1.3246, az =  9.7649, gx = -0.0046 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8809 A, I_w_roll = 66.4969 A, theta_pitch = -48.22126mrad, theta_roll_comp = 130.2800 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4107, nerr =  304p/ 340r, time steps =    5, qsz =    2, switch = off, t =    41072 ms, ax =  0.4399, ay =  1.3258, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8710 A, I_w_roll = 66.5906 A, theta_pitch = -48.22649mrad, theta_roll_comp = 130.2814 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4108, nerr =  304p/ 341r, time steps =    5, qsz =    2, switch = off, t =    41082 ms, ax =  0.4363, ay =  1.3282, az =  9.7529, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8820 A, I_w_roll = 66.5458 A, theta_pitch = -48.22845mrad, theta_roll_comp = 130.2860 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4109, nerr =  304p/ 341r, time steps =    5, qsz =    2, switch = off, t =    41092 ms, ax =  0.4375, ay =  1.3318, az =  9.7529, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8660 A, I_w_roll = 66.5489 A, theta_pitch = -48.22870mrad, theta_roll_comp = 130.2937 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4110, nerr =  304p/ 341r, time steps =    5, qsz =    2, switch = off, t =    41102 ms, ax =  0.4303, ay =  1.3354, az =  9.7493, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8653 A, I_w_roll = 66.6005 A, theta_pitch = -48.22382mrad, theta_roll_comp = 130.3060 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4111, nerr =  304p/ 341r, time steps =    5, qsz =    2, switch = off, t =    41112 ms, ax =  0.4351, ay =  1.3282, az =  9.7481, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8645 A, I_w_roll = 66.6986 A, theta_pitch = -48.21832mrad, theta_roll_comp = 130.3183 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4112, nerr =  304p/ 341r, time steps =    5, qsz =    2, switch = off, t =    41122 ms, ax =  0.4339, ay =  1.3282, az =  9.7517, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8748 A, I_w_roll = 66.6556 A, theta_pitch = -48.21585mrad, theta_roll_comp = 130.3275 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4113, nerr =  304p/ 341r, time steps =    5, qsz =    2, switch = off, t =    41132 ms, ax =  0.4327, ay =  1.3246, az =  9.7469, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8581 A, I_w_roll = 66.6114 A, theta_pitch = -48.21132mrad, theta_roll_comp = 130.3334 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4114, nerr =  305p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41142 ms, ax =  0.4315, ay =  1.3222, az =  9.7481, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8570 A, I_w_roll = 66.6124 A, theta_pitch = -48.20384mrad, theta_roll_comp = 130.3359 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4115, nerr =  305p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41152 ms, ax =  0.4363, ay =  1.3210, az =  9.7469, gx = -0.0045 rad/s, gy = -0.0029 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8453 A, I_w_roll = 66.5658 A, theta_pitch = -48.19707mrad, theta_roll_comp = 130.3359 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4116, nerr =  305p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41162 ms, ax =  0.4399, ay =  1.3174, az =  9.7505, gx = -0.0046 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8611 A, I_w_roll = 66.5176 A, theta_pitch = -48.19549mrad, theta_roll_comp = 130.3319 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4117, nerr =  305p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41172 ms, ax =  0.4447, ay =  1.3222, az =  9.7541, gx = -0.0046 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8617 A, I_w_roll = 66.5160 A, theta_pitch = -48.19990mrad, theta_roll_comp = 130.3278 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4118, nerr =  305p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41182 ms, ax =  0.4411, ay =  1.3258, az =  9.7517, gx = -0.0047 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8624 A, I_w_roll = 66.4691 A, theta_pitch = -48.20451mrad, theta_roll_comp = 130.3271 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4119, nerr =  305p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41192 ms, ax =  0.4411, ay =  1.3246, az =  9.7553, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8683 A, I_w_roll = 66.5627 A, theta_pitch = -48.20807mrad, theta_roll_comp = 130.3282 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4120, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41202 ms, ax =  0.4399, ay =  1.3282, az =  9.7589, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8579 A, I_w_roll = 66.6109 A, theta_pitch = -48.20994mrad, theta_roll_comp = 130.3320 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4121, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41212 ms, ax =  0.4399, ay =  1.3294, az =  9.7613, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8688 A, I_w_roll = 66.6603 A, theta_pitch = -48.21132mrad, theta_roll_comp = 130.3391 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4122, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41222 ms, ax =  0.4411, ay =  1.3294, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0040 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8910 A, I_w_roll = 66.6166 A, theta_pitch = -48.21733mrad, theta_roll_comp = 130.3462 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4123, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41232 ms, ax =  0.4423, ay =  1.3330, az =  9.7505, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8816 A, I_w_roll = 66.6202 A, theta_pitch = -48.22579mrad, theta_roll_comp = 130.3555 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4124, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41242 ms, ax =  0.4339, ay =  1.3258, az =  9.7445, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8821 A, I_w_roll = 66.7173 A, theta_pitch = -48.22930mrad, theta_roll_comp = 130.3650 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4125, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41252 ms, ax =  0.4339, ay =  1.3210, az =  9.7577, gx = -0.0041 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8766 A, I_w_roll = 66.7190 A, theta_pitch = -48.22793mrad, theta_roll_comp = 130.3693 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4126, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41262 ms, ax =  0.4351, ay =  1.3198, az =  9.7553, gx = -0.0038 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8709 A, I_w_roll = 66.8130 A, theta_pitch = -48.22570mrad, theta_roll_comp = 130.3713 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4127, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41272 ms, ax =  0.4387, ay =  1.3150, az =  9.7529, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8763 A, I_w_roll = 66.6725 A, theta_pitch = -48.22620mrad, theta_roll_comp = 130.3696 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4128, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41282 ms, ax =  0.4375, ay =  1.3126, az =  9.7577, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8658 A, I_w_roll = 66.6696 A, theta_pitch = -48.22687mrad, theta_roll_comp = 130.3624 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4129, nerr =  306p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41292 ms, ax =  0.4435, ay =  1.3174, az =  9.7541, gx = -0.0041 rad/s, gy = -0.0030 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8552 A, I_w_roll = 66.7142 A, theta_pitch = -48.22756mrad, theta_roll_comp = 130.3574 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4130, nerr =  307p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41302 ms, ax =  0.4387, ay =  1.3150, az =  9.7589, gx = -0.0041 rad/s, gy = -0.0032 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8606 A, I_w_roll = 66.7128 A, theta_pitch = -48.22793mrad, theta_roll_comp = 130.3539 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4131, nerr =  307p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41312 ms, ax =  0.4363, ay =  1.3210, az =  9.7565, gx = -0.0041 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8602 A, I_w_roll = 66.7122 A, theta_pitch = -48.22528mrad, theta_roll_comp = 130.3523 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4132, nerr =  307p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41322 ms, ax =  0.4363, ay =  1.3234, az =  9.7709, gx = -0.0045 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8596 A, I_w_roll = 66.5722 A, theta_pitch = -48.22121mrad, theta_roll_comp = 130.3519 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4133, nerr =  307p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41332 ms, ax =  0.4375, ay =  1.3258, az =  9.7637, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8645 A, I_w_roll = 66.5721 A, theta_pitch = -48.21843mrad, theta_roll_comp = 130.3516 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4134, nerr =  307p/ 342r, time steps =    5, qsz =    2, switch = off, t =    41342 ms, ax =  0.4423, ay =  1.3282, az =  9.7673, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8701 A, I_w_roll = 66.5730 A, theta_pitch = -48.22027mrad, theta_roll_comp = 130.3539 mrad, theta_setpoint = -40.0000 mrad, 
