picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 12565, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251302 ms, ax =  0.4100, ay = -6.9790, az =  7.0677, gx = -0.0022 rad/s, gy =  0.0044 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.4467 A, I_w_roll = -296.3320 A, theta_pitch = -74.15951mrad, theta_roll_comp = -778.8894 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12566, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251322 ms, ax =  0.4112, ay = -6.9778, az =  7.0737, gx = -0.0024 rad/s, gy =  0.0046 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.3807 A, I_w_roll = -296.3953 A, theta_pitch = -73.75463mrad, theta_roll_comp = -778.9312 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12567, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251342 ms, ax =  0.4136, ay = -6.9838, az =  7.0749, gx = -0.0020 rad/s, gy =  0.0042 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.3364 A, I_w_roll = -296.2706 A, theta_pitch = -73.35288mrad, theta_roll_comp = -778.9689 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12568, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251362 ms, ax =  0.4016, ay = -6.9778, az =  7.0761, gx = -0.0029 rad/s, gy =  0.0046 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.2592 A, I_w_roll = -296.6147 A, theta_pitch = -72.94472mrad, theta_roll_comp = -779.0134 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12569, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251382 ms, ax =  0.4004, ay = -6.9826, az =  7.0857, gx = -0.0028 rad/s, gy =  0.0052 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.1703 A, I_w_roll = -296.5816 A, theta_pitch = -72.52948mrad, theta_roll_comp = -779.0473 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12570, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251402 ms, ax =  0.3956, ay = -6.9790, az =  7.0821, gx = -0.0017 rad/s, gy =  0.0055 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.0946 A, I_w_roll = -296.2172 A, theta_pitch = -72.09608mrad, theta_roll_comp = -779.0685 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12571, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251422 ms, ax =  0.3932, ay = -6.9706, az =  7.0653, gx = -0.0020 rad/s, gy =  0.0056 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.0221 A, I_w_roll = -296.3219 A, theta_pitch = -71.64825mrad, theta_roll_comp = -779.0970 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12572, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251442 ms, ax =  0.3980, ay = -6.9730, az =  7.0713, gx = -0.0021 rad/s, gy =  0.0054 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.9699 A, I_w_roll = -296.3781 A, theta_pitch = -71.22913mrad, theta_roll_comp = -779.1209 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12573, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251462 ms, ax =  0.3920, ay = -6.9742, az =  7.0701, gx = -0.0018 rad/s, gy =  0.0050 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.9241 A, I_w_roll = -296.2942 A, theta_pitch = -70.81732mrad, theta_roll_comp = -779.1442 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12574, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251482 ms, ax =  0.3872, ay = -6.9742, az =  7.0653, gx = -0.0022 rad/s, gy =  0.0048 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.8676 A, I_w_roll = -296.4471 A, theta_pitch = -70.40511mrad, theta_roll_comp = -779.1772 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12575, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251502 ms, ax =  0.3896, ay = -6.9826, az =  7.0605, gx = -0.0024 rad/s, gy =  0.0047 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.8135 A, I_w_roll = -296.5101 A, theta_pitch = -70.00869mrad, theta_roll_comp = -779.2182 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12576, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251522 ms, ax =  0.3896, ay = -6.9910, az =  7.0689, gx = -0.0021 rad/s, gy =  0.0042 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.7777 A, I_w_roll = -296.4376 A, theta_pitch = -69.62823mrad, theta_roll_comp = -779.2697 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12577, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251542 ms, ax =  0.3824, ay = -6.9778, az =  7.0629, gx = -0.0029 rad/s, gy =  0.0038 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.7369 A, I_w_roll = -296.7376 A, theta_pitch = -69.24940mrad, theta_roll_comp = -779.3208 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12578, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251562 ms, ax =  0.3824, ay = -6.9790, az =  7.0773, gx = -0.0028 rad/s, gy =  0.0040 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.6693 A, I_w_roll = -296.7073 A, theta_pitch = -68.86977mrad, theta_roll_comp = -779.3615 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12579, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251582 ms, ax =  0.3824, ay = -6.9814, az =  7.0833, gx = -0.0025 rad/s, gy =  0.0035 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.6349 A, I_w_roll = -296.6262 A, theta_pitch = -68.49876mrad, theta_roll_comp = -779.3918 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12580, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251602 ms, ax =  0.3752, ay = -6.9754, az =  7.0749, gx = -0.0025 rad/s, gy =  0.0028 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.6071 A, I_w_roll = -296.6377 A, theta_pitch = -68.13589mrad, theta_roll_comp = -779.4206 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12581, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251622 ms, ax =  0.3680, ay = -6.9706, az =  7.0809, gx = -0.0025 rad/s, gy =  0.0022 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.5794 A, I_w_roll = -296.6463 A, theta_pitch = -67.77362mrad, theta_roll_comp = -779.4421 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12582, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251642 ms, ax =  0.3704, ay = -6.9754, az =  7.0809, gx = -0.0016 rad/s, gy =  0.0016 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.5490 A, I_w_roll = -296.3230 A, theta_pitch = -67.42876mrad, theta_roll_comp = -779.4494 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12583, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251662 ms, ax =  0.3776, ay = -6.9730, az =  7.0761, gx = -0.0016 rad/s, gy =  0.0012 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.5178 A, I_w_roll = -296.3222 A, theta_pitch = -67.11468mrad, theta_roll_comp = -779.4474 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12584, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251682 ms, ax =  0.3812, ay = -6.9790, az =  7.0761, gx = -0.0016 rad/s, gy =  0.0010 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.4842 A, I_w_roll = -296.3212 A, theta_pitch = -66.81934mrad, theta_roll_comp = -779.4449 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12585, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251702 ms, ax =  0.3872, ay = -6.9790, az =  7.0749, gx = -0.0016 rad/s, gy =  0.0004 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.4660 A, I_w_roll = -296.3269 A, theta_pitch = -66.55578mrad, theta_roll_comp = -779.4591 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12586, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251722 ms, ax =  0.3704, ay = -6.9766, az =  7.0629, gx = -0.0017 rad/s, gy = -0.0002 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.4527 A, I_w_roll = -296.3824 A, theta_pitch = -66.28966mrad, theta_roll_comp = -779.4813 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12587, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251742 ms, ax =  0.3668, ay = -6.9778, az =  7.0689, gx = -0.0026 rad/s, gy = -0.0008 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.4345 A, I_w_roll = -296.7229 A, theta_pitch = -66.02637mrad, theta_roll_comp = -779.5171 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12588, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251762 ms, ax =  0.3680, ay = -6.9838, az =  7.0689, gx = -0.0025 rad/s, gy = -0.0009 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3995 A, I_w_roll = -296.6952 A, theta_pitch = -65.75734mrad, theta_roll_comp = -779.5642 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12589, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251782 ms, ax =  0.3632, ay = -6.9778, az =  7.0581, gx = -0.0024 rad/s, gy = -0.0009 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3611 A, I_w_roll = -296.6670 A, theta_pitch = -65.50153mrad, theta_roll_comp = -779.6104 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12590, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251802 ms, ax =  0.3692, ay = -6.9778, az =  7.0665, gx = -0.0020 rad/s, gy = -0.0016 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3508 A, I_w_roll = -296.5402 A, theta_pitch = -65.25521mrad, theta_roll_comp = -779.6429 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12591, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251822 ms, ax =  0.3680, ay = -6.9742, az =  7.0713, gx = -0.0018 rad/s, gy = -0.0022 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3439 A, I_w_roll = -296.5022 A, theta_pitch = -65.03219mrad, theta_roll_comp = -779.6644 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12592, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251842 ms, ax =  0.3656, ay = -6.9742, az =  7.0653, gx = -0.0020 rad/s, gy = -0.0029 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3383 A, I_w_roll = -296.5546 A, theta_pitch = -64.81683mrad, theta_roll_comp = -779.6790 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12593, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251862 ms, ax =  0.3692, ay = -6.9826, az =  7.0665, gx = -0.0017 rad/s, gy = -0.0030 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3145 A, I_w_roll = -296.4689 A, theta_pitch = -64.62304mrad, theta_roll_comp = -779.6976 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12594, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251882 ms, ax =  0.3692, ay = -6.9826, az =  7.0653, gx = -0.0012 rad/s, gy = -0.0034 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3030 A, I_w_roll = -296.2909 A, theta_pitch = -64.43948mrad, theta_roll_comp = -779.7186 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12595, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251902 ms, ax =  0.3764, ay = -6.9718, az =  7.0653, gx = -0.0012 rad/s, gy = -0.0044 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3169 A, I_w_roll = -296.2943 A, theta_pitch = -64.28365mrad, theta_roll_comp = -779.7272 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12596, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251922 ms, ax =  0.3752, ay = -6.9718, az =  7.0725, gx = -0.0010 rad/s, gy = -0.0044 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2973 A, I_w_roll = -296.2451 A, theta_pitch = -64.15342mrad, theta_roll_comp = -779.7206 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12597, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251942 ms, ax =  0.3704, ay = -6.9778, az =  7.0737, gx = -0.0018 rad/s, gy = -0.0046 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2870 A, I_w_roll = -296.5242 A, theta_pitch = -64.01321mrad, theta_roll_comp = -779.7193 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12598, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251962 ms, ax =  0.3752, ay = -6.9742, az =  7.0557, gx = -0.0017 rad/s, gy = -0.0045 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2615 A, I_w_roll = -296.4874 A, theta_pitch = -63.87865mrad, theta_roll_comp = -779.7438 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12599, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   251982 ms, ax =  0.3680, ay = -6.9754, az =  7.0641, gx = -0.0020 rad/s, gy = -0.0049 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2577 A, I_w_roll = -296.5907 A, theta_pitch = -63.74730mrad, theta_roll_comp = -779.7691 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12600, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252002 ms, ax =  0.3740, ay = -6.9730, az =  7.0641, gx = -0.0021 rad/s, gy = -0.0052 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2510 A, I_w_roll = -296.6459 A, theta_pitch = -63.63142mrad, theta_roll_comp = -779.7905 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12601, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252022 ms, ax =  0.3764, ay = -6.9670, az =  7.0689, gx = -0.0017 rad/s, gy = -0.0054 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2454 A, I_w_roll = -296.5112 A, theta_pitch = -63.52288mrad, theta_roll_comp = -779.8034 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12602, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252042 ms, ax =  0.3752, ay = -6.9694, az =  7.0713, gx = -0.0014 rad/s, gy = -0.0061 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2577 A, I_w_roll = -296.4169 A, theta_pitch = -63.42720mrad, theta_roll_comp = -779.8007 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12603, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252062 ms, ax =  0.3740, ay = -6.9670, az =  7.0773, gx = -0.0013 rad/s, gy = -0.0064 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2553 A, I_w_roll = -296.3655 A, theta_pitch = -63.34022mrad, theta_roll_comp = -779.7888 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12604, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252082 ms, ax =  0.3776, ay = -6.9682, az =  7.0821, gx = -0.0010 rad/s, gy = -0.0068 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2598 A, I_w_roll = -296.2652 A, theta_pitch = -63.26408mrad, theta_roll_comp = -779.7708 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12605, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252102 ms, ax =  0.3776, ay = -6.9766, az =  7.0785, gx = -0.0013 rad/s, gy = -0.0073 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2723 A, I_w_roll = -296.3499 A, theta_pitch = -63.20553mrad, theta_roll_comp = -779.7496 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12606, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252122 ms, ax =  0.3776, ay = -6.9766, az =  7.0821, gx = -0.0010 rad/s, gy = -0.0074 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2689 A, I_w_roll = -296.2547 A, theta_pitch = -63.14693mrad, theta_roll_comp = -779.7448 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12607, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252142 ms, ax =  0.3800, ay = -6.9730, az =  7.0689, gx = -0.0018 rad/s, gy = -0.0074 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2623 A, I_w_roll = -296.5339 A, theta_pitch = -63.10307mrad, theta_roll_comp = -779.7435 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12608, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252162 ms, ax =  0.3824, ay = -6.9670, az =  7.0641, gx = -0.0025 rad/s, gy = -0.0077 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2687 A, I_w_roll = -296.7747 A, theta_pitch = -63.07471mrad, theta_roll_comp = -779.7632 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12609, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252182 ms, ax =  0.3896, ay = -6.9658, az =  7.0737, gx = -0.0020 rad/s, gy = -0.0078 rad/s, gz = -0.0149 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2725 A, I_w_roll = -296.5943 A, theta_pitch = -63.06462mrad, theta_roll_comp = -779.7781 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12610, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252202 ms, ax =  0.3872, ay = -6.9658, az =  7.0773, gx = -0.0005 rad/s, gy = -0.0085 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2985 A, I_w_roll = -296.0712 A, theta_pitch = -63.06040mrad, theta_roll_comp = -779.7520 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12611, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252222 ms, ax =  0.3860, ay = -6.9694, az =  7.0809, gx = -0.0004 rad/s, gy = -0.0088 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3091 A, I_w_roll = -296.0091 A, theta_pitch = -63.06013mrad, theta_roll_comp = -779.7132 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12612, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252242 ms, ax =  0.3908, ay = -6.9718, az =  7.0725, gx = -0.0004 rad/s, gy = -0.0089 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3164 A, I_w_roll = -295.9974 A, theta_pitch = -63.07322mrad, theta_roll_comp = -779.6839 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12613, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252262 ms, ax =  0.3896, ay = -6.9670, az =  7.0653, gx = -0.0002 rad/s, gy = -0.0084 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.2968 A, I_w_roll = -295.9448 A, theta_pitch = -63.08464mrad, theta_roll_comp = -779.6689 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12614, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252282 ms, ax =  0.3920, ay = -6.9670, az =  7.0665, gx = -0.0009 rad/s, gy = -0.0085 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3034 A, I_w_roll = -296.1707 A, theta_pitch = -63.09307mrad, theta_roll_comp = -779.6514 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12615, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252302 ms, ax =  0.3980, ay = -6.9718, az =  7.0761, gx = -0.0017 rad/s, gy = -0.0084 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3022 A, I_w_roll = -296.4493 A, theta_pitch = -63.12059mrad, theta_roll_comp = -779.6488 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12616, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252322 ms, ax =  0.3980, ay = -6.9682, az =  7.0749, gx = -0.0022 rad/s, gy = -0.0085 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3121 A, I_w_roll = -296.6375 A, theta_pitch = -63.15084mrad, theta_roll_comp = -779.6531 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12617, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252342 ms, ax =  0.3992, ay = -6.9706, az =  7.0761, gx = -0.0034 rad/s, gy = -0.0089 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3327 A, I_w_roll = -297.0661 A, theta_pitch = -63.18176mrad, theta_roll_comp = -779.6760 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12618, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252362 ms, ax =  0.3980, ay = -6.9682, az =  7.0773, gx = -0.0037 rad/s, gy = -0.0084 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3169 A, I_w_roll = -297.1725 A, theta_pitch = -63.21884mrad, theta_roll_comp = -779.7091 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12619, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252382 ms, ax =  0.3992, ay = -6.9754, az =  7.0737, gx = -0.0031 rad/s, gy = -0.0081 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3101 A, I_w_roll = -297.0019 A, theta_pitch = -63.24444mrad, theta_roll_comp = -779.7485 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12620, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252402 ms, ax =  0.4088, ay = -6.9730, az =  7.0665, gx = -0.0025 rad/s, gy = -0.0082 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3221 A, I_w_roll = -296.7811 A, theta_pitch = -63.28873mrad, theta_roll_comp = -779.7789 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12621, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252422 ms, ax =  0.4172, ay = -6.9754, az =  7.0605, gx = -0.0010 rad/s, gy = -0.0081 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3264 A, I_w_roll = -296.2765 A, theta_pitch = -63.35270mrad, theta_roll_comp = -779.7991 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12622, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252442 ms, ax =  0.4076, ay = -6.9790, az =  7.0605, gx = -0.0009 rad/s, gy = -0.0085 rad/s, gz = -0.0161 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3515 A, I_w_roll = -296.2361 A, theta_pitch = -63.41391mrad, theta_roll_comp = -779.8147 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12623, nerr =   51p/ 123r, time steps =   10, qsz =    2, switch = off, t =   252462 ms, ax =  0.4064, ay = -6.9766, az =  7.0641, gx = -0.0014 rad/s, gy = -0.0082 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.3488 A, I_w_roll = -296.4278 A, theta_pitch = -63.46687mrad, theta_roll_comp = -779.8279 mrad, theta_setpoint = -40.0000 mrad, 
