picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -0.0000, rpm_roll =  0.0000, I_w_pitch =  0.0000 A, I_w_roll = 8893892.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = 47223.9258 mrad, 
msg = 4756, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95122 ms, ax =  3.6142, ay = -5.4998, az =  8.5721, gx =  0.3035 rad/s, gy = -0.1993 rad/s, gz =  4.2651 rad/s, rpm_pitch = -15.8079, rpm_roll = -174.5321, I_w_pitch = -34.2275 A, I_w_roll = 50.7864 A, theta_pitch = 132.34636mrad, theta_roll_comp = -167.6393 mrad, theta_setpoint = -29.0394 mrad, 
msg = 4757, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95142 ms, ax =  3.2174, ay = -5.8150, az =  9.0264, gx =  0.2564 rad/s, gy = -0.1957 rad/s, gz =  4.3611 rad/s, rpm_pitch = -17.5546, rpm_roll = -173.9305, I_w_pitch = -34.5972 A, I_w_roll = 33.3239 A, theta_pitch = 118.49483mrad, theta_roll_comp = -170.0889 mrad, theta_setpoint = -29.0772 mrad, 
msg = 4758, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95162 ms, ax =  2.8458, ay = -5.9661, az =  9.3081, gx =  0.1879 rad/s, gy = -0.1812 rad/s, gz =  4.3611 rad/s, rpm_pitch = -18.4279, rpm_roll = -173.9305, I_w_pitch = -34.4626 A, I_w_roll =  7.9316 A, theta_pitch = 106.04835mrad, theta_roll_comp = -173.6835 mrad, theta_setpoint = -29.0772 mrad, 
msg = 4759, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95182 ms, ax =  2.3351, ay = -6.0332, az =  9.3789, gx =  0.1010 rad/s, gy = -0.1498 rad/s, gz =  4.3611 rad/s, rpm_pitch = -18.4279, rpm_roll = -172.5936, I_w_pitch = -34.1165 A, I_w_roll = -24.4824 A, theta_pitch = 95.36155mrad, theta_roll_comp = -178.7215 mrad, theta_setpoint = -29.1611 mrad, 
msg = 4760, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95202 ms, ax =  1.7382, ay = -6.1507, az =  9.5311, gx =  0.0152 rad/s, gy = -0.1026 rad/s, gz =  4.3611 rad/s, rpm_pitch = -10.9607, rpm_roll = -171.7914, I_w_pitch = -24.8762 A, I_w_roll = -57.1670 A, theta_pitch = 86.84192mrad, theta_roll_comp = -185.4512 mrad, theta_setpoint = -29.2115 mrad, 
msg = 4761, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95222 ms, ax =  0.9961, ay = -6.2166, az =  9.6306, gx = -0.0751 rad/s, gy = -0.0382 rad/s, gz =  4.3611 rad/s, rpm_pitch = -13.1004, rpm_roll = -171.7914, I_w_pitch = -29.4002 A, I_w_roll = -92.1294 A, theta_pitch = 81.00375mrad, theta_roll_comp = -193.8635 mrad, theta_setpoint = -29.2115 mrad, 
msg = 4762, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95242 ms, ax =  0.3201, ay = -6.0056, az =  9.7589, gx = -0.1724 rad/s, gy =  0.0356 rad/s, gz =  4.3611 rad/s, rpm_pitch = -13.1004, rpm_roll = -170.0535, I_w_pitch = -31.9124 A, I_w_roll = -130.1247 A, theta_pitch = 78.08028mrad, theta_roll_comp = -203.7921 mrad, theta_setpoint = -29.3206 mrad, 
msg = 4763, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95262 ms, ax = -0.6521, ay = -5.7935, az =  8.9845, gx = -0.2296 rad/s, gy =  0.1119 rad/s, gz =  3.9535 rad/s, rpm_pitch = -2.2271, rpm_roll = -170.0535, I_w_pitch = -20.6962 A, I_w_roll = -154.6191 A, theta_pitch = 78.55846mrad, theta_roll_comp = -214.9289 mrad, theta_setpoint = -29.3206 mrad, 
msg = 4764, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95282 ms, ax = -1.8532, ay = -5.4950, az =  8.3336, gx = -0.2141 rad/s, gy =  0.1606 rad/s, gz =  3.3323 rad/s, rpm_pitch = -2.2271, rpm_roll = -168.3824, I_w_pitch = -23.2851 A, I_w_roll = -153.8837 A, theta_pitch = 82.82182mrad, theta_roll_comp = -226.8270 mrad, theta_setpoint = -29.4256 mrad, 
msg = 4765, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95302 ms, ax = -2.4071, ay = -5.3871, az =  8.0351, gx = -0.1170 rad/s, gy =  0.1681 rad/s, gz =  2.8840 rad/s, rpm_pitch = -2.4454, rpm_roll = -167.8142, I_w_pitch = -24.8979 A, I_w_roll = -124.0820 A, theta_pitch = 89.66533mrad, theta_roll_comp = -237.2940 mrad, theta_setpoint = -29.4613 mrad, 
msg = 4766, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95322 ms, ax = -2.6084, ay = -4.8632, az =  7.5736, gx = -0.0179 rad/s, gy =  0.1462 rad/s, gz =  2.3835 rad/s, rpm_pitch = -0.3057, rpm_roll = -167.8142, I_w_pitch = -22.3454 A, I_w_roll = -92.6143 A, theta_pitch = 97.28465mrad, theta_roll_comp = -245.3082 mrad, theta_setpoint = -29.4613 mrad, 
msg = 4767, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95342 ms, ax = -2.7175, ay = -4.2075, az =  7.3566, gx =  0.0349 rad/s, gy =  0.1215 rad/s, gz =  1.8592 rad/s, rpm_pitch = -0.3057, rpm_roll = -167.2460, I_w_pitch = -22.4958 A, I_w_roll = -76.4382 A, theta_pitch = 104.89158mrad, theta_roll_comp = -251.1580 mrad, theta_setpoint = -29.4970 mrad, 
msg = 4768, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95362 ms, ax = -2.7715, ay = -3.7736, az =  7.2343, gx =  0.0734 rad/s, gy =  0.1002 rad/s, gz =  1.4362 rad/s, rpm_pitch = -0.9607, rpm_roll = -167.2460, I_w_pitch = -23.6137 A, I_w_roll = -64.5290 A, theta_pitch = 112.26686mrad, theta_roll_comp = -255.0564 mrad, theta_setpoint = -29.4970 mrad, 
msg = 4769, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95382 ms, ax = -2.9225, ay = -3.4416, az =  7.3578, gx =  0.1047 rad/s, gy =  0.0823 rad/s, gz =  1.0599 rad/s, rpm_pitch = -1.5721, rpm_roll = -166.5441, I_w_pitch = -24.7442 A, I_w_roll = -54.4339 A, theta_pitch = 119.18645mrad, theta_roll_comp = -257.2426 mrad, theta_setpoint = -29.5410 mrad, 
msg = 4770, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95402 ms, ax = -2.9597, ay = -3.1718, az =  8.0195, gx =  0.1055 rad/s, gy =  0.0762 rad/s, gz =  0.6952 rad/s, rpm_pitch = -1.5721, rpm_roll = -166.2099, I_w_pitch = -25.4489 A, I_w_roll = -54.4672 A, theta_pitch = 125.51768mrad, theta_roll_comp = -258.0459 mrad, theta_setpoint = -29.5620 mrad, 
msg = 4771, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95422 ms, ax = -3.2785, ay = -3.2018, az =  8.4846, gx =  0.0950 rad/s, gy =  0.0834 rad/s, gz =  0.3497 rad/s, rpm_pitch = -5.7642, rpm_roll = -166.2099, I_w_pitch = -32.2067 A, I_w_roll = -58.2225 A, theta_pitch = 131.79512mrad, theta_roll_comp = -258.2297 mrad, theta_setpoint = -29.5620 mrad, 
msg = 4772, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95442 ms, ax = -3.3624, ay = -3.2474, az =  7.9056, gx =  0.0910 rad/s, gy =  0.0871 rad/s, gz =  0.0477 rad/s, rpm_pitch = -5.7642, rpm_roll = -165.2741, I_w_pitch = -33.3701 A, I_w_roll = -59.7652 A, theta_pitch = 138.55713mrad, theta_roll_comp = -258.6500 mrad, theta_setpoint = -29.6208 mrad, 
msg = 4773, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95462 ms, ax = -3.3768, ay = -3.3660, az =  7.4058, gx =  0.0806 rad/s, gy =  0.0765 rad/s, gz = -0.2401 rad/s, rpm_pitch = -1.3974, rpm_roll = -165.2741, I_w_pitch = -28.2542 A, I_w_roll = -63.9137 A, theta_pitch = 145.68486mrad, theta_roll_comp = -259.9336 mrad, theta_setpoint = -29.6208 mrad, 
msg = 4774, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95482 ms, ax = -3.5830, ay = -3.7125, az =  7.5136, gx =  0.0657 rad/s, gy =  0.0572 rad/s, gz = -0.5116 rad/s, rpm_pitch = -5.0655, rpm_roll = -164.2714, I_w_pitch = -33.3921 A, I_w_roll = -70.0139 A, theta_pitch = 152.83553mrad, theta_roll_comp = -262.1979 mrad, theta_setpoint = -29.6838 mrad, 
msg = 4775, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95502 ms, ax = -3.8335, ay = -4.0697, az =  7.7882, gx =  0.0596 rad/s, gy =  0.0304 rad/s, gz = -0.7808 rad/s, rpm_pitch = -5.0655, rpm_roll = -163.7366, I_w_pitch = -33.3397 A, I_w_roll = -73.2920 A, theta_pitch = 159.62317mrad, theta_roll_comp = -265.0672 mrad, theta_setpoint = -29.7173 mrad, 
msg = 4776, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95522 ms, ax = -3.8587, ay = -4.3478, az =  7.7522, gx =  0.0637 rad/s, gy = -0.0056 rad/s, gz = -1.0346 rad/s, rpm_pitch = -5.9825, rpm_roll = -163.7366, I_w_pitch = -34.0352 A, I_w_roll = -73.1871 A, theta_pitch = 165.78503mrad, theta_roll_comp = -268.4167 mrad, theta_setpoint = -29.7173 mrad, 
msg = 4777, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95542 ms, ax = -3.6393, ay = -4.6858, az =  7.3722, gx =  0.0672 rad/s, gy = -0.0548 rad/s, gz = -1.3084 rad/s, rpm_pitch = -5.9825, rpm_roll = -162.7005, I_w_pitch = -32.8482 A, I_w_roll = -73.5990 A, theta_pitch = 171.00932mrad, theta_roll_comp = -272.5408 mrad, theta_setpoint = -29.7824 mrad, 
msg = 4778, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95562 ms, ax = -3.4308, ay = -5.0562, az =  7.0977, gx =  0.0658 rad/s, gy = -0.1203 rad/s, gz = -1.6116 rad/s, rpm_pitch = -6.2445, rpm_roll = -161.6979, I_w_pitch = -31.1443 A, I_w_roll = -76.0563 A, theta_pitch = 174.81642mrad, theta_roll_comp = -277.5820 mrad, theta_setpoint = -29.8454 mrad, 
msg = 4779, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95582 ms, ax = -3.1407, ay = -5.3667, az =  7.0246, gx =  0.0541 rad/s, gy = -0.1885 rad/s, gz = -1.8580 rad/s, rpm_pitch = -5.2838, rpm_roll = -161.6979, I_w_pitch = -27.4480 A, I_w_roll = -82.5462 A, theta_pitch = 176.80086mrad, theta_roll_comp = -283.5538 mrad, theta_setpoint = -29.8454 mrad, 
msg = 4780, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95602 ms, ax = -2.8746, ay = -5.8558, az =  6.9922, gx =  0.0289 rad/s, gy = -0.2623 rad/s, gz = -2.0526 rad/s, rpm_pitch = -5.2838, rpm_roll = -161.1297, I_w_pitch = -24.4986 A, I_w_roll = -94.1345 A, theta_pitch = 176.80931mrad, theta_roll_comp = -290.5398 mrad, theta_setpoint = -29.8811 mrad, 
msg = 4781, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95622 ms, ax = -2.6540, ay = -6.3521, az =  6.9311, gx = -0.0020 rad/s, gy = -0.3375 rad/s, gz = -2.1543 rad/s, rpm_pitch = -9.8690, rpm_roll = -161.1297, I_w_pitch = -27.2416 A, I_w_roll = -108.2496 A, theta_pitch = 174.84529mrad, theta_roll_comp = -298.7973 mrad, theta_setpoint = -29.8811 mrad, 
msg = 4782, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95642 ms, ax = -2.4994, ay = -6.8028, az =  6.9263, gx = -0.0334 rad/s, gy = -0.4122 rad/s, gz = -2.1318 rad/s, rpm_pitch = -11.1354, rpm_roll = -159.9265, I_w_pitch = -25.3310 A, I_w_roll = -123.0361 A, theta_pitch = 170.89372mrad, theta_roll_comp = -308.3429 mrad, theta_setpoint = -29.9566 mrad, 
msg = 4783, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95662 ms, ax = -2.1697, ay = -7.3039, az =  6.8795, gx = -0.0629 rad/s, gy = -0.4897 rad/s, gz = -1.9952 rad/s, rpm_pitch = -11.1354, rpm_roll = -159.3249, I_w_pitch = -21.3228 A, I_w_roll = -137.6447 A, theta_pitch = 164.83810mrad, theta_roll_comp = -319.0370 mrad, theta_setpoint = -29.9944 mrad, 
msg = 4784, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95682 ms, ax = -1.9000, ay = -7.6299, az =  7.0605, gx = -0.0784 rad/s, gy = -0.5625 rad/s, gz = -1.7608 rad/s, rpm_pitch = -13.2314, rpm_roll = -159.3249, I_w_pitch = -19.9467 A, I_w_roll = -147.5843 A, theta_pitch = 156.65796mrad, theta_roll_comp = -330.3709 mrad, theta_setpoint = -29.9944 mrad, 
msg = 4785, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95702 ms, ax = -1.6099, ay = -7.7750, az =  7.5076, gx = -0.0716 rad/s, gy = -0.6242 rad/s, gz = -1.4546 rad/s, rpm_pitch = -13.2314, rpm_roll = -158.1217, I_w_pitch = -15.9365 A, I_w_roll = -149.6055 A, theta_pitch = 146.36345mrad, theta_roll_comp = -341.4415 mrad, theta_setpoint = -30.0700 mrad, 
msg = 4786, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95722 ms, ax = -1.3174, ay = -7.8025, az =  7.6875, gx = -0.0495 rad/s, gy = -0.6733 rad/s, gz = -1.0987 rad/s, rpm_pitch = -15.5895, rpm_roll = -158.1217, I_w_pitch = -15.2608 A, I_w_roll = -145.9403 A, theta_pitch = 134.22916mrad, theta_roll_comp = -351.6189 mrad, theta_setpoint = -30.0700 mrad, 
msg = 4787, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95742 ms, ax = -0.9746, ay = -7.7090, az =  7.3530, gx = -0.0312 rad/s, gy = -0.7041 rad/s, gz = -0.7876 rad/s, rpm_pitch = -16.8559, rpm_roll = -157.1524, I_w_pitch = -13.6811 A, I_w_roll = -143.3974 A, theta_pitch = 120.76615mrad, theta_roll_comp = -361.2846 mrad, theta_setpoint = -30.1308 mrad, 
msg = 4788, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95762 ms, ax = -0.6209, ay = -7.6012, az =  7.1600, gx = -0.0206 rad/s, gy = -0.7191 rad/s, gz = -0.4967 rad/s, rpm_pitch = -16.8559, rpm_roll = -156.7179, I_w_pitch = -10.9050 A, I_w_roll = -143.4491 A, theta_pitch = 106.27074mrad, theta_roll_comp = -370.7619 mrad, theta_setpoint = -30.1581 mrad, 
msg = 4789, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95782 ms, ax = -0.3560, ay = -7.5220, az =  7.4369, gx = -0.0071 rad/s, gy = -0.7219 rad/s, gz = -0.2197 rad/s, rpm_pitch = -12.6638, rpm_roll = -156.7179, I_w_pitch = -2.9977 A, I_w_roll = -142.2756 A, theta_pitch = 91.15862mrad, theta_roll_comp = -379.5956 mrad, theta_setpoint = -30.1581 mrad, 
msg = 4790, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95802 ms, ax = -0.1618, ay = -7.3123, az =  7.6263, gx =  0.0110 rad/s, gy = -0.7145 rad/s, gz =  0.0349 rad/s, rpm_pitch = -12.6638, rpm_roll = -155.7821, I_w_pitch = -0.9885 A, I_w_roll = -139.0314 A, theta_pitch = 75.77551mrad, theta_roll_comp = -387.3893 mrad, theta_setpoint = -30.2169 mrad, 
msg = 4791, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95822 ms, ax =  0.0024, ay = -7.0246, az =  7.6539, gx =  0.0211 rad/s, gy = -0.7008 rad/s, gz =  0.3029 rad/s, rpm_pitch = -17.8603, rpm_roll = -155.7821, I_w_pitch = -6.0894 A, I_w_roll = -138.2563 A, theta_pitch = 60.43672mrad, theta_roll_comp = -394.3061 mrad, theta_setpoint = -30.2169 mrad, 
msg = 4792, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95842 ms, ax =  0.1426, ay = -6.7249, az =  7.6647, gx =  0.0236 rad/s, gy = -0.6817 rad/s, gz =  0.5470 rad/s, rpm_pitch = -4.4541, rpm_roll = -154.9131, I_w_pitch = 13.0908 A, I_w_roll = -139.8351 A, theta_pitch = 45.35757mrad, theta_roll_comp = -400.5216 mrad, theta_setpoint = -30.2715 mrad, 
msg = 4793, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95862 ms, ax =  0.2397, ay = -6.4552, az =  7.6551, gx =  0.0225 rad/s, gy = -0.6600 rad/s, gz =  0.7451 rad/s, rpm_pitch = -4.4541, rpm_roll = -154.4452, I_w_pitch = 14.4212 A, I_w_roll = -142.4516 A, theta_pitch = 30.70055mrad, theta_roll_comp = -406.1601 mrad, theta_setpoint = -30.3008 mrad, 
msg = 4794, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95882 ms, ax =  0.2326, ay = -6.3461, az =  7.7006, gx =  0.0154 rad/s, gy = -0.6328 rad/s, gz =  0.9283 rad/s, rpm_pitch = -9.1703, rpm_roll = -154.4452, I_w_pitch =  9.2197 A, I_w_roll = -147.1146 A, theta_pitch = 16.66921mrad, theta_roll_comp = -411.5260 mrad, theta_setpoint = -30.3008 mrad, 
msg = 4795, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95902 ms, ax =  0.3057, ay = -6.2742, az =  7.8505, gx =  0.0028 rad/s, gy = -0.6054 rad/s, gz =  1.0901 rad/s, rpm_pitch = -10.7424, rpm_roll = -153.4425, I_w_pitch =  8.0525 A, I_w_roll = -153.5313 A, theta_pitch = 3.31431mrad, theta_roll_comp = -416.6787 mrad, theta_setpoint = -30.3638 mrad, 
msg = 4796, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95922 ms, ax =  0.2889, ay = -6.2778, az =  7.8205, gx = -0.0077 rad/s, gy = -0.5777 rad/s, gz =  1.2216 rad/s, rpm_pitch = -10.7424, rpm_roll = -153.4425, I_w_pitch =  8.8336 A, I_w_roll = -159.2912 A, theta_pitch = -9.27851mrad, theta_roll_comp = -421.8744 mrad, theta_setpoint = -30.3638 mrad, 
msg = 4797, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95942 ms, ax =  0.2290, ay = -6.3677, az =  7.9596, gx = -0.0211 rad/s, gy = -0.5467 rad/s, gz =  1.3353 rad/s, rpm_pitch = -6.0699, rpm_roll = -152.4398, I_w_pitch = 15.5000 A, I_w_roll = -166.1028 A, theta_pitch = -20.91421mrad, theta_roll_comp = -427.1988 mrad, theta_setpoint = -30.4268 mrad, 
msg = 4798, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95962 ms, ax =  0.1654, ay = -6.3521, az =  7.9284, gx = -0.0375 rad/s, gy = -0.5170 rad/s, gz =  1.4048 rad/s, rpm_pitch = -6.0699, rpm_roll = -151.9051, I_w_pitch = 15.9065 A, I_w_roll = -174.0173 A, theta_pitch = -31.54239mrad, theta_roll_comp = -432.6877 mrad, theta_setpoint = -30.4604 mrad, 
msg = 4799, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    95982 ms, ax =  0.0995, ay = -6.3173, az =  7.7270, gx = -0.0471 rad/s, gy = -0.4846 rad/s, gz =  1.4442 rad/s, rpm_pitch = -12.0961, rpm_roll = -151.9051, I_w_pitch =  8.1008 A, I_w_roll = -179.6915 A, theta_pitch = -41.11538mrad, theta_roll_comp = -438.4847 mrad, theta_setpoint = -30.4604 mrad, 
msg = 4800, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96002 ms, ax = -0.0312, ay = -6.3808, az =  7.8469, gx = -0.0508 rad/s, gy = -0.4542 rad/s, gz =  1.4495 rad/s, rpm_pitch = -2.7948, rpm_roll = -150.8690, I_w_pitch = 20.4306 A, I_w_roll = -183.3033 A, theta_pitch = -49.66813mrad, theta_roll_comp = -444.3169 mrad, theta_setpoint = -30.5254 mrad, 
msg = 4801, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96022 ms, ax = -0.1606, ay = -6.4588, az =  7.9716, gx = -0.0557 rad/s, gy = -0.4267 rad/s, gz =  1.4246 rad/s, rpm_pitch = -2.7948, rpm_roll = -150.3342, I_w_pitch = 20.4520 A, I_w_roll = -187.3254 A, theta_pitch = -57.12517mrad, theta_roll_comp = -450.0949 mrad, theta_setpoint = -30.5590 mrad, 
msg = 4802, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96042 ms, ax = -0.2853, ay = -6.4648, az =  8.0087, gx = -0.0587 rad/s, gy = -0.3997 rad/s, gz =  1.3628 rad/s, rpm_pitch = -1.9214, rpm_roll = -150.3342, I_w_pitch = 21.4893 A, I_w_roll = -190.6276 A, theta_pitch = -63.56997mrad, theta_roll_comp = -455.7872 mrad, theta_setpoint = -30.5590 mrad, 
msg = 4803, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96062 ms, ax = -0.3848, ay = -6.3233, az =  7.7905, gx = -0.0569 rad/s, gy = -0.3763 rad/s, gz =  1.2636 rad/s, rpm_pitch = -1.9214, rpm_roll = -149.2647, I_w_pitch = 21.3849 A, I_w_roll = -192.2363 A, theta_pitch = -69.12376mrad, theta_roll_comp = -461.3907 mrad, theta_setpoint = -30.6262 mrad, 
msg = 4804, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96082 ms, ax = -0.4435, ay = -6.1675, az =  7.6023, gx = -0.0544 rad/s, gy = -0.3552 rad/s, gz =  1.1359 rad/s, rpm_pitch = -1.7031, rpm_roll = -149.2647, I_w_pitch = 21.5423 A, I_w_roll = -193.5325 A, theta_pitch = -73.86371mrad, theta_roll_comp = -466.8448 mrad, theta_setpoint = -30.6262 mrad, 
msg = 4805, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96102 ms, ax = -0.5670, ay = -5.9577, az =  7.7186, gx = -0.0507 rad/s, gy = -0.3347 rad/s, gz =  0.9828 rad/s, rpm_pitch = -6.5066, rpm_roll = -148.2955, I_w_pitch = 14.9751 A, I_w_roll = -194.2102 A, theta_pitch = -77.78229mrad, theta_roll_comp = -471.8622 mrad, theta_setpoint = -30.6870 mrad, 
msg = 4806, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96122 ms, ax = -0.6893, ay = -5.8486, az =  7.9392, gx = -0.0491 rad/s, gy = -0.3153 rad/s, gz =  0.8196 rad/s, rpm_pitch = -6.5066, rpm_roll = -147.7941, I_w_pitch = 14.6760 A, I_w_roll = -195.4036 A, theta_pitch = -80.97253mrad, theta_roll_comp = -476.2755 mrad, theta_setpoint = -30.7185 mrad, 
msg = 4807, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96142 ms, ax = -0.7156, ay = -5.7599, az =  7.8337, gx = -0.0503 rad/s, gy = -0.2984 rad/s, gz =  0.6522 rad/s, rpm_pitch = -4.8035, rpm_roll = -147.7941, I_w_pitch = 16.6308 A, I_w_roll = -197.4526 A, theta_pitch = -83.54107mrad, theta_roll_comp = -480.3493 mrad, theta_setpoint = -30.7185 mrad, 
msg = 4808, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96162 ms, ax = -0.7600, ay = -5.7299, az =  7.5868, gx = -0.0499 rad/s, gy = -0.2817 rad/s, gz =  0.4698 rad/s, rpm_pitch = -4.8035, rpm_roll = -146.8917, I_w_pitch = 16.2782 A, I_w_roll = -198.9453 A, theta_pitch = -85.62866mrad, theta_roll_comp = -484.4872 mrad, theta_setpoint = -30.7752 mrad, 
msg = 4809, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96182 ms, ax = -0.8199, ay = -5.8067, az =  7.6167, gx = -0.0470 rad/s, gy = -0.2708 rad/s, gz =  0.2995 rad/s, rpm_pitch = -4.8035, rpm_roll = -146.8917, I_w_pitch = 16.0882 A, I_w_roll = -199.6140 A, theta_pitch = -87.27384mrad, theta_roll_comp = -488.7222 mrad, theta_setpoint = -30.7752 mrad, 
msg = 4810, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96202 ms, ax = -0.8775, ay = -5.9805, az =  7.8025, gx = -0.0463 rad/s, gy = -0.2617 rad/s, gz =  0.1459 rad/s, rpm_pitch = -5.5459, rpm_roll = -145.9559, I_w_pitch = 14.9505 A, I_w_roll = -201.0205 A, theta_pitch = -88.63024mrad, theta_roll_comp = -492.8798 mrad, theta_setpoint = -30.8340 mrad, 
msg = 4811, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96222 ms, ax = -0.9146, ay = -6.0632, az =  7.7462, gx = -0.0443 rad/s, gy = -0.2532 rad/s, gz =  0.0067 rad/s, rpm_pitch = -5.5459, rpm_roll = -145.4880, I_w_pitch = 14.7654 A, I_w_roll = -201.9824 A, theta_pitch = -89.66871mrad, theta_roll_comp = -497.0615 mrad, theta_setpoint = -30.8634 mrad, 
msg = 4812, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96242 ms, ax = -0.9242, ay = -6.1123, az =  7.5628, gx = -0.0404 rad/s, gy = -0.2462 rad/s, gz = -0.0924 rad/s, rpm_pitch = -3.8865, rpm_roll = -145.4880, I_w_pitch = 16.7882 A, I_w_roll = -202.3635 A, theta_pitch = -90.44706mrad, theta_roll_comp = -501.3931 mrad, theta_setpoint = -30.8634 mrad, 
msg = 4813, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96262 ms, ax = -0.9506, ay = -6.2574, az =  7.5496, gx = -0.0386 rad/s, gy = -0.2398 rad/s, gz = -0.1727 rad/s, rpm_pitch = -4.8472, rpm_roll = -144.5187, I_w_pitch = 15.3502 A, I_w_roll = -203.4722 A, theta_pitch = -91.01089mrad, theta_roll_comp = -505.8569 mrad, theta_setpoint = -30.9242 mrad, 
msg = 4814, nerr =    8p/  51r, time steps =   10, qsz =    2, switch = off, t =    96282 ms, ax = -0.9230, ay = -6.3593, az =  7.6371, gx = -0.0370 rad/s, gy = -0.2335 rad/s, gz = -0.2308 rad/s, rpm_pitch = -4.8472, rpm_roll = -144.5187, I_w_pitch = 15.1697 A, I_w_roll = -204.6909 A, theta_pitch = -91.47643mrad, theta_roll_comp = -510.3018 mrad, theta_setpoint = -30.9242 mrad, 
