picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1004 A, I_w_roll = -12.4082 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1187, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23742 ms, ax =  0.0000, ay = -0.3836, az =  9.9219, gx =  0.0114 rad/s, gy =  0.0004 rad/s, gz = -0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.9020 A, I_w_roll = -5.2772 A, theta_pitch = -4.10274mrad, theta_roll_comp = -63.1362 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1188, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23762 ms, ax =  0.0575, ay = -0.4423, az =  9.9231, gx =  0.0035 rad/s, gy =  0.0067 rad/s, gz =  0.0110 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1653 A, I_w_roll = -7.8024 A, theta_pitch = -4.01622mrad, theta_roll_comp = -62.5752 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1189, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23782 ms, ax =  0.1103, ay = -0.5059, az =  9.9399, gx = -0.0029 rad/s, gy =  0.0155 rad/s, gz =  0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5371 A, I_w_roll = -9.9246 A, theta_pitch = -3.88113mrad, theta_roll_comp = -62.2883 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1190, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23802 ms, ax =  0.1426, ay = -0.5466, az =  9.9495, gx = -0.0062 rad/s, gy =  0.0244 rad/s, gz =  0.0286 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.9277 A, I_w_roll = -11.0557 A, theta_pitch = -3.65615mrad, theta_roll_comp = -62.2034 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1191, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23822 ms, ax =  0.1822, ay = -0.5934, az =  9.9698, gx = -0.0073 rad/s, gy =  0.0331 rad/s, gz =  0.0201 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.3222 A, I_w_roll = -11.4435 A, theta_pitch = -3.33443mrad, theta_roll_comp = -62.2408 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1192, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23842 ms, ax =  0.2146, ay = -0.6773, az =  9.9938, gx = -0.0075 rad/s, gy =  0.0413 rad/s, gz =  0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.7139 A, I_w_roll = -11.6126 A, theta_pitch = -2.92405mrad, theta_roll_comp = -62.4303 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1193, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23862 ms, ax =  0.2014, ay = -0.7540, az =  9.9507, gx = -0.0045 rad/s, gy =  0.0488 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.0934 A, I_w_roll = -10.6651 A, theta_pitch = -2.38253mrad, theta_roll_comp = -62.7414 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1194, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23882 ms, ax =  0.1678, ay = -0.8451, az =  9.9183, gx =  0.0002 rad/s, gy =  0.0550 rad/s, gz = -0.0284 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.4509 A, I_w_roll = -9.1945 A, theta_pitch = -1.66795mrad, theta_roll_comp = -63.1428 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1195, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23902 ms, ax =  0.1307, ay = -0.9218, az =  9.9339, gx =  0.0071 rad/s, gy =  0.0605 rad/s, gz = -0.0282 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.8024 A, I_w_roll = -6.9449 A, theta_pitch = -0.78100mrad, theta_roll_comp = -63.5773 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1196, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23922 ms, ax =  0.0899, ay = -0.9806, az =  9.9615, gx =  0.0146 rad/s, gy =  0.0647 rad/s, gz = -0.0180 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.1291 A, I_w_roll = -4.5028 A, theta_pitch = 0.26121mrad, theta_roll_comp = -63.9966 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1197, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23942 ms, ax =  0.0432, ay = -1.0021, az =  9.9459, gx =  0.0231 rad/s, gy =  0.0683 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.4514 A, I_w_roll = -1.6522 A, theta_pitch = 1.45130mrad, theta_roll_comp = -64.3266 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1198, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23962 ms, ax = -0.0036, ay = -0.9758, az =  9.9327, gx =  0.0335 rad/s, gy =  0.0710 rad/s, gz =  0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7558 A, I_w_roll =  1.9319 A, theta_pitch = 2.77044mrad, theta_roll_comp = -64.4542 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1199, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    23982 ms, ax = -0.0432, ay = -0.9230, az =  9.9411, gx =  0.0428 rad/s, gy =  0.0727 rad/s, gz =  0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0384 A, I_w_roll =  5.2580 A, theta_pitch = 4.19234mrad, theta_roll_comp = -64.2946 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1200, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24002 ms, ax = -0.1151, ay = -0.8547, az =  9.9507, gx =  0.0505 rad/s, gy =  0.0721 rad/s, gz =  0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.2392 A, I_w_roll =  8.1410 A, theta_pitch = 5.70906mrad, theta_roll_comp = -63.8447 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1201, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24022 ms, ax = -0.1774, ay = -0.7876, az =  9.9447, gx =  0.0570 rad/s, gy =  0.0699 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.3936 A, I_w_roll = 10.7084 A, theta_pitch = 7.30652mrad, theta_roll_comp = -63.1351 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1202, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24042 ms, ax = -0.2086, ay = -0.7384, az =  9.9363, gx =  0.0637 rad/s, gy =  0.0661 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.4788 A, I_w_roll = 13.4168 A, theta_pitch = 8.90409mrad, theta_roll_comp = -62.1898 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1203, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24062 ms, ax = -0.2206, ay = -0.7049, az =  9.9411, gx =  0.0685 rad/s, gy =  0.0628 rad/s, gz = -0.0221 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.5746 A, I_w_roll = 15.5424 A, theta_pitch = 10.43029mrad, theta_roll_comp = -61.0700 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1204, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24082 ms, ax = -0.2373, ay = -0.6761, az =  9.9207, gx =  0.0708 rad/s, gy =  0.0613 rad/s, gz = -0.0226 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.7367 A, I_w_roll = 16.8241 A, theta_pitch = 11.90126mrad, theta_roll_comp = -59.8465 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1205, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24102 ms, ax = -0.2757, ay = -0.6401, az =  9.9123, gx =  0.0729 rad/s, gy =  0.0601 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.9112 A, I_w_roll = 18.0872 A, theta_pitch = 13.38437mrad, theta_roll_comp = -58.5530 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1206, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24122 ms, ax = -0.3273, ay = -0.5886, az =  9.9159, gx =  0.0718 rad/s, gy =  0.0590 rad/s, gz =  0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.0963 A, I_w_roll = 18.2625 A, theta_pitch = 14.90244mrad, theta_roll_comp = -57.1825 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1207, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24142 ms, ax = -0.3716, ay = -0.5454, az =  9.9375, gx =  0.0715 rad/s, gy =  0.0565 rad/s, gz =  0.0345 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2269 A, I_w_roll = 18.7419 A, theta_pitch = 16.44818mrad, theta_roll_comp = -55.7510 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1208, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24162 ms, ax = -0.4279, ay = -0.5167, az =  9.9219, gx =  0.0734 rad/s, gy =  0.0521 rad/s, gz =  0.0521 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2836 A, I_w_roll = 19.9893 A, theta_pitch = 17.99773mrad, theta_roll_comp = -54.2636 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1209, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24182 ms, ax = -0.4819, ay = -0.5167, az =  9.9279, gx =  0.0723 rad/s, gy =  0.0461 rad/s, gz =  0.0553 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.2733 A, I_w_roll = 20.2138 A, theta_pitch = 19.52667mrad, theta_roll_comp = -52.7703 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1210, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24202 ms, ax = -0.4999, ay = -0.5406, az =  9.9746, gx =  0.0765 rad/s, gy =  0.0367 rad/s, gz =  0.0398 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1071 A, I_w_roll = 22.2526 A, theta_pitch = 20.93973mrad, theta_roll_comp = -51.2851 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1211, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24222 ms, ax = -0.4411, ay = -0.6078, az =  9.9411, gx =  0.0822 rad/s, gy =  0.0276 rad/s, gz =  0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.9163 A, I_w_roll = 24.8371 A, theta_pitch = 22.08264mrad, theta_roll_comp = -49.8339 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1212, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24242 ms, ax = -0.3860, ay = -0.6617, az =  9.8656, gx =  0.0941 rad/s, gy =  0.0197 rad/s, gz = -0.0439 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.7297 A, I_w_roll = 29.5682 A, theta_pitch = 22.93323mrad, theta_roll_comp = -48.3754 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1213, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24262 ms, ax = -0.4076, ay = -0.7336, az =  9.8212, gx =  0.1015 rad/s, gy =  0.0144 rad/s, gz = -0.0915 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.6168 A, I_w_roll = 32.7634 A, theta_pitch = 23.60128mrad, theta_roll_comp = -46.9120 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1214, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24282 ms, ax = -0.3932, ay = -0.8187, az =  9.9746, gx =  0.1164 rad/s, gy =  0.0092 rad/s, gz = -0.1236 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.4922 A, I_w_roll = 38.6207 A, theta_pitch = 24.15508mrad, theta_roll_comp = -45.3179 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1215, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24302 ms, ax = -0.4136, ay = -0.7996, az =  9.9315, gx =  0.1309 rad/s, gy =  0.0024 rad/s, gz = -0.1402 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.2871 A, I_w_roll = 44.3875 A, theta_pitch = 24.59890mrad, theta_roll_comp = -43.6003 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1216, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24322 ms, ax = -0.4220, ay = -0.6665, az =  9.8536, gx =  0.1368 rad/s, gy = -0.0032 rad/s, gz = -0.1390 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.1149 A, I_w_roll = 47.2806 A, theta_pitch = 24.94233mrad, theta_roll_comp = -41.4941 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1217, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24342 ms, ax = -0.3896, ay = -0.5958, az =  9.9171, gx =  0.1514 rad/s, gy = -0.0090 rad/s, gz = -0.1245 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9103 A, I_w_roll = 53.3731 A, theta_pitch = 25.14013mrad, theta_roll_comp = -39.0790 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1218, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24362 ms, ax = -0.3380, ay = -0.5023, az =  9.9770, gx =  0.1493 rad/s, gy = -0.0102 rad/s, gz = -0.0987 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.8645 A, I_w_roll = 53.6924 A, theta_pitch = 25.15436mrad, theta_roll_comp = -36.4165 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1219, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24382 ms, ax = -0.2829, ay = -0.3572, az =  9.9974, gx =  0.1492 rad/s, gy = -0.0098 rad/s, gz = -0.0640 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.8662 A, I_w_roll = 54.7971 A, theta_pitch = 25.05954mrad, theta_roll_comp = -33.5384 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1220, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24402 ms, ax = -0.2421, ay = -0.1954, az =  9.9375, gx =  0.1508 rad/s, gy = -0.0084 rad/s, gz = -0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.9029 A, I_w_roll = 56.5989 A, theta_pitch = 24.91333mrad, theta_roll_comp = -30.4320 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1221, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24422 ms, ax = -0.2014, ay = -0.0983, az =  9.8919, gx =  0.1417 rad/s, gy = -0.0040 rad/s, gz =  0.0221 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0514 A, I_w_roll = 54.7091 A, theta_pitch = 24.73169mrad, theta_roll_comp = -27.2336 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1222, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24442 ms, ax = -0.1786, ay = -0.0228, az =  9.9195, gx =  0.1368 rad/s, gy = -0.0004 rad/s, gz =  0.0461 rad/s, rpm_pitch =  2.3581, rpm_roll = -0.0000, I_w_pitch = -2.0609 A, I_w_roll = 54.2659 A, theta_pitch = 24.56844mrad, theta_roll_comp = -24.0308 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1223, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24462 ms, ax = -0.2146, ay =  0.0468, az =  9.9339, gx =  0.1344 rad/s, gy =  0.0014 rad/s, gz =  0.0474 rad/s, rpm_pitch =  4.8908, rpm_roll = -0.0000, I_w_pitch =  1.2221 A, I_w_roll = 54.7030 A, theta_pitch = 24.48832mrad, theta_roll_comp = -20.8410 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1224, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24482 ms, ax = -0.2745, ay =  0.0695, az =  9.9303, gx =  0.1281 rad/s, gy =  0.0006 rad/s, gz =  0.0306 rad/s, rpm_pitch =  4.8908, rpm_roll = -0.0000, I_w_pitch =  1.2507 A, I_w_roll = 53.7579 A, theta_pitch = 24.51035mrad, theta_roll_comp = -17.7278 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1225, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24502 ms, ax = -0.3452, ay =  0.0707, az =  9.9459, gx =  0.1253 rad/s, gy = -0.0045 rad/s, gz =  0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -5.0119 A, I_w_roll = 53.9837 A, theta_pitch = 24.61026mrad, theta_roll_comp = -14.7166 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1226, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24522 ms, ax = -0.3944, ay =  0.0360, az =  9.9411, gx =  0.1249 rad/s, gy = -0.0122 rad/s, gz = -0.0261 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.7159 A, I_w_roll = 54.9938 A, theta_pitch = 24.69683mrad, theta_roll_comp = -11.8419 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1227, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24542 ms, ax = -0.4351, ay = -0.0096, az =  9.9447, gx =  0.1223 rad/s, gy = -0.0219 rad/s, gz = -0.0429 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -4.3260 A, I_w_roll = 55.1364 A, theta_pitch = 24.68907mrad, theta_roll_comp = -9.1550 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1228, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24562 ms, ax = -0.4471, ay = -0.0120, az =  9.9303, gx =  0.1200 rad/s, gy = -0.0333 rad/s, gz = -0.0422 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.8498 A, I_w_roll = 55.3618 A, theta_pitch = 24.53287mrad, theta_roll_comp = -6.6109 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1229, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24582 ms, ax = -0.4220, ay =  0.0264, az =  9.8943, gx =  0.1199 rad/s, gy = -0.0443 rad/s, gz = -0.0313 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -3.3466 A, I_w_roll = 56.3274 A, theta_pitch = 24.12554mrad, theta_roll_comp = -4.0804 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1230, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24602 ms, ax = -0.4052, ay =  0.0851, az =  9.9015, gx =  0.1166 rad/s, gy = -0.0538 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.8734 A, I_w_roll = 56.1776 A, theta_pitch = 23.49164mrad, theta_roll_comp = -1.5422 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1231, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24622 ms, ax = -0.4016, ay =  0.1211, az =  9.9363, gx =  0.1146 rad/s, gy = -0.0616 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.4372 A, I_w_roll = 56.4842 A, theta_pitch = 22.67832mrad, theta_roll_comp =  0.9721 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1232, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24642 ms, ax = -0.4088, ay =  0.1474, az =  9.9531, gx =  0.1096 rad/s, gy = -0.0684 rad/s, gz =  0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -2.0252 A, I_w_roll = 55.7475 A, theta_pitch = 21.74294mrad, theta_roll_comp =  3.4411 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1233, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24662 ms, ax = -0.4220, ay =  0.1954, az =  9.9638, gx =  0.1043 rad/s, gy = -0.0756 rad/s, gz =  0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5819 A, I_w_roll = 54.8433 A, theta_pitch = 20.70500mrad, theta_roll_comp =  5.8410 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1234, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24682 ms, ax = -0.4220, ay =  0.2841, az =  9.9231, gx =  0.1000 rad/s, gy = -0.0825 rad/s, gz =  0.0383 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1338 A, I_w_roll = 54.3076 A, theta_pitch = 19.56416mrad, theta_roll_comp =  8.2301 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1235, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24702 ms, ax = -0.3956, ay =  0.3680, az =  9.8955, gx =  0.0939 rad/s, gy = -0.0902 rad/s, gz =  0.0493 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6317 A, I_w_roll = 53.1329 A, theta_pitch = 18.27640mrad, theta_roll_comp = 10.6527 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1236, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24722 ms, ax = -0.3297, ay =  0.4495, az =  9.9543, gx =  0.0841 rad/s, gy = -0.0968 rad/s, gz =  0.0514 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1442 A, I_w_roll = 50.6349 A, theta_pitch = 16.76594mrad, theta_roll_comp = 13.0296 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1237, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24742 ms, ax = -0.2529, ay =  0.4975, az =  9.9710, gx =  0.0753 rad/s, gy = -0.1005 rad/s, gz =  0.0490 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2624 A, I_w_roll = 48.4601 A, theta_pitch = 15.04960mrad, theta_roll_comp = 15.2823 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1238, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24762 ms, ax = -0.1594, ay =  0.5598, az =  9.9351, gx =  0.0642 rad/s, gy = -0.1016 rad/s, gz =  0.0427 rad/s, rpm_pitch = -5.4148, rpm_roll = -0.0000, I_w_pitch = -6.5501 A, I_w_roll = 45.4440 A, theta_pitch = 13.14304mrad, theta_roll_comp = 17.4122 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1239, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24782 ms, ax = -0.0863, ay =  0.6018, az =  9.9171, gx =  0.0526 rad/s, gy = -0.1005 rad/s, gz =  0.0321 rad/s, rpm_pitch = -1.6594, rpm_roll = -0.0000, I_w_pitch = -1.3367 A, I_w_roll = 42.1811 A, theta_pitch = 11.12078mrad, theta_roll_comp = 19.3913 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1240, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24802 ms, ax = -0.0264, ay =  0.5982, az =  9.9315, gx =  0.0443 rad/s, gy = -0.0984 rad/s, gz =  0.0188 rad/s, rpm_pitch = -1.6594, rpm_roll = -0.0000, I_w_pitch = -1.1082 A, I_w_roll = 39.9542 A, theta_pitch = 9.02906mrad, theta_roll_comp = 21.1643 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1241, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24822 ms, ax =  0.0491, ay =  0.5970, az =  9.9519, gx =  0.0329 rad/s, gy = -0.0944 rad/s, gz =  0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2382 A, I_w_roll = 36.6097 A, theta_pitch = 6.91076mrad, theta_roll_comp = 22.7064 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1242, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24842 ms, ax =  0.1247, ay =  0.5478, az =  9.9267, gx =  0.0236 rad/s, gy = -0.0885 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.3232 A, I_w_roll = 33.8431 A, theta_pitch = 4.78153mrad, theta_roll_comp = 23.9454 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1243, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24862 ms, ax =  0.1894, ay =  0.5071, az =  9.9411, gx =  0.0144 rad/s, gy = -0.0824 rad/s, gz = -0.0189 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.3935 A, I_w_roll = 31.0022 A, theta_pitch = 2.67956mrad, theta_roll_comp = 24.8824 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1244, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24882 ms, ax =  0.2493, ay =  0.4699, az =  9.9674, gx =  0.0075 rad/s, gy = -0.0756 rad/s, gz = -0.0330 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4300 A, I_w_roll = 28.8508 A, theta_pitch = 0.62575mrad, theta_roll_comp = 25.5624 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1245, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =    24902 ms, ax =  0.2769, ay =  0.4447, az =  9.9686, gx =  0.0006 rad/s, gy = -0.0688 rad/s, gz = -0.0479 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4531 A, I_w_roll = 26.6150 A, theta_pitch = -1.33926mrad, theta_roll_comp = 26.0315 mrad, theta_setpoint = -40.0000 mrad, 
