picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =    6, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      122 ms, ax =  0.1558, ay =  0.0060, az =  9.9483, gx = -0.0138 rad/s, gy = -0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1111 A, I_w_roll = 10.6286 A, theta_pitch = -1.25275mrad, theta_roll_comp = -1.3514 mrad, theta_setpoint = -40.0000 mrad, 
msg = 2668, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53362 ms, ax =  0.2457, ay = -0.2649, az =  9.9303, gx =  0.0043 rad/s, gy =  0.0425 rad/s, gz =  0.0320 rad/s, rpm_pitch =  0.0000, rpm_roll = -98.8636, I_w_pitch = -3.4267 A, I_w_roll =  1.0452 A, theta_pitch = 1.50793mrad, theta_roll_comp = -34.9465 mrad, theta_setpoint = -33.7914 mrad, 
msg = 2669, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53382 ms, ax =  0.2098, ay = -0.2445, az =  9.8979, gx =  0.0032 rad/s, gy =  0.0207 rad/s, gz =  0.0254 rad/s, rpm_pitch =  0.0000, rpm_roll = -98.4291, I_w_pitch = -2.5762 A, I_w_roll =  0.7447 A, theta_pitch = 1.66133mrad, theta_roll_comp = -34.7932 mrad, theta_setpoint = -33.8186 mrad, 
msg = 2670, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53402 ms, ax =  0.2433, ay = -0.2469, az =  9.9495, gx = -0.0004 rad/s, gy =  0.0040 rad/s, gz =  0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -98.4291, I_w_pitch = -1.8666 A, I_w_roll = -0.4668 A, theta_pitch = 1.36904mrad, theta_roll_comp = -34.6761 mrad, theta_setpoint = -33.8186 mrad, 
msg = 2671, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53422 ms, ax =  0.2182, ay = -0.1666, az =  9.9734, gx =  0.0092 rad/s, gy = -0.0171 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -97.9947, I_w_pitch = -0.9446 A, I_w_roll =  2.9717 A, theta_pitch = 0.86842mrad, theta_roll_comp = -34.4959 mrad, theta_setpoint = -33.8459 mrad, 
msg = 2672, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53442 ms, ax =  0.1726, ay = -0.2649, az =  9.9003, gx =  0.0027 rad/s, gy = -0.0364 rad/s, gz = -0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -97.9947, I_w_pitch = -0.0325 A, I_w_roll =  0.7793 A, theta_pitch = -0.06380mrad, theta_roll_comp = -34.2679 mrad, theta_setpoint = -33.8459 mrad, 
msg = 2673, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53462 ms, ax =  0.2086, ay = -0.2218, az =  9.9543, gx = -0.0009 rad/s, gy = -0.0550 rad/s, gz = -0.0208 rad/s, rpm_pitch =  0.0000, rpm_roll = -96.8917, I_w_pitch =  0.8983 A, I_w_roll = -0.3953 A, theta_pitch = -1.33376mrad, theta_roll_comp = -34.1278 mrad, theta_setpoint = -33.9152 mrad, 
msg = 2674, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53482 ms, ax =  0.1510, ay = -0.2649, az =  9.9291, gx =  0.0060 rad/s, gy = -0.0716 rad/s, gz = -0.0226 rad/s, rpm_pitch =  0.0000, rpm_roll = -96.1564, I_w_pitch =  1.7987 A, I_w_roll =  2.0812 A, theta_pitch = -2.89755mrad, theta_roll_comp = -34.0414 mrad, theta_setpoint = -33.9614 mrad, 
msg = 2675, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53502 ms, ax =  0.0923, ay = -0.3237, az =  9.8907, gx = -0.0004 rad/s, gy = -0.0808 rad/s, gz = -0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -96.1564, I_w_pitch =  2.4238 A, I_w_roll = -0.1284 A, theta_pitch = -4.61485mrad, theta_roll_comp = -33.9729 mrad, theta_setpoint = -33.9614 mrad, 
msg = 2676, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53522 ms, ax =  0.0839, ay = -0.3129, az =  9.9686, gx = -0.0020 rad/s, gy = -0.0861 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -94.3182, I_w_pitch =  2.8992 A, I_w_roll = -0.6368 A, theta_pitch = -6.36412mrad, theta_roll_comp = -33.9612 mrad, theta_setpoint = -34.0768 mrad, 
msg = 2677, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53542 ms, ax =  0.0491, ay = -0.3392, az =  9.9686, gx =  0.0048 rad/s, gy = -0.0866 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -94.3182, I_w_pitch =  3.1740 A, I_w_roll =  1.7437 A, theta_pitch = -8.05411mrad, theta_roll_comp = -33.9518 mrad, theta_setpoint = -34.0768 mrad, 
msg = 2678, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53562 ms, ax =  0.0396, ay = -0.4100, az =  9.9183, gx = -0.0020 rad/s, gy = -0.0807 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -92.1791, I_w_pitch =  3.1723 A, I_w_roll = -0.5786 A, theta_pitch = -9.64076mrad, theta_roll_comp = -33.9499 mrad, theta_setpoint = -34.2111 mrad, 
msg = 2679, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53582 ms, ax =  0.0240, ay = -0.3704, az =  9.9710, gx = -0.0031 rad/s, gy = -0.0723 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.8115, I_w_pitch =  3.0440 A, I_w_roll = -1.0070 A, theta_pitch = -11.02223mrad, theta_roll_comp = -33.9954 mrad, theta_setpoint = -34.2342 mrad, 
msg = 2680, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53602 ms, ax =  0.0276, ay = -0.3656, az =  9.9782, gx =  0.0054 rad/s, gy = -0.0617 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.8115, I_w_pitch =  2.7962 A, I_w_roll =  1.9868 A, theta_pitch = -12.17507mrad, theta_roll_comp = -33.9677 mrad, theta_setpoint = -34.2342 mrad, 
msg = 2681, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53622 ms, ax =  0.0587, ay = -0.3908, az =  9.9375, gx =  0.0014 rad/s, gy = -0.0508 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.3075, I_w_pitch =  2.5016 A, I_w_roll =  0.6461 A, theta_pitch = -13.12265mrad, theta_roll_comp = -33.9186 mrad, theta_setpoint = -34.3287 mrad, 
msg = 2682, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53642 ms, ax =  0.0683, ay = -0.2949, az =  9.9950, gx =  0.0000 rad/s, gy = -0.0418 rad/s, gz = -0.0186 rad/s, rpm_pitch =  0.0000, rpm_roll = -90.3075, I_w_pitch =  2.2571 A, I_w_roll =  0.1845 A, theta_pitch = -13.90719mrad, theta_roll_comp = -33.9075 mrad, theta_setpoint = -34.3287 mrad, 
msg = 2683, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53662 ms, ax =  0.0899, ay = -0.2637, az =  9.9770, gx =  0.0068 rad/s, gy = -0.0360 rad/s, gz = -0.0232 rad/s, rpm_pitch =  0.0000, rpm_roll = -89.2045, I_w_pitch =  2.1232 A, I_w_roll =  2.6457 A, theta_pitch = -14.54130mrad, theta_roll_comp = -33.7657 mrad, theta_setpoint = -34.3980 mrad, 
msg = 2684, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53682 ms, ax =  0.0899, ay = -0.3153, az =  9.9339, gx =  0.0012 rad/s, gy = -0.0317 rad/s, gz = -0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = -88.3356, I_w_pitch =  2.0302 A, I_w_roll =  0.7574 A, theta_pitch = -15.09324mrad, theta_roll_comp = -33.6476 mrad, theta_setpoint = -34.4525 mrad, 
msg = 2685, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53702 ms, ax =  0.1450, ay = -0.2122, az =  9.9890, gx = -0.0012 rad/s, gy = -0.0307 rad/s, gz = -0.0230 rad/s, rpm_pitch =  0.0000, rpm_roll = -88.3356, I_w_pitch =  2.0754 A, I_w_roll = -0.0459 A, theta_pitch = -15.64351mrad, theta_roll_comp = -33.5587 mrad, theta_setpoint = -34.4525 mrad, 
msg = 2686, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53722 ms, ax =  0.1534, ay = -0.2565, az =  9.9698, gx =  0.0046 rad/s, gy = -0.0303 rad/s, gz = -0.0236 rad/s, rpm_pitch =  0.0000, rpm_roll = -88.3356, I_w_pitch =  2.1452 A, I_w_roll =  2.0150 A, theta_pitch = -16.21519mrad, theta_roll_comp = -33.4165 mrad, theta_setpoint = -34.4525 mrad, 
msg = 2687, nerr =    8p/  12r, time steps =   10, qsz =    3, switch = on, t =    53742 ms, ax =  0.1415, ay = -0.3249, az =  9.9387, gx =  0.0007 rad/s, gy = -0.0309 rad/s, gz = -0.0194 rad/s, rpm_pitch =  0.0000, rpm_roll = -86.0294, I_w_pitch =  2.2455 A, I_w_roll =  0.7497 A, theta_pitch = -16.74183mrad, theta_roll_comp = -33.3456 mrad, theta_setpoint = -34.5974 mrad, 
msg = 2688, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53762 ms, ax =  0.1343, ay = -0.2134, az =  9.9854, gx = -0.0053 rad/s, gy = -0.0302 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -84.3917, I_w_pitch =  2.2999 A, I_w_roll = -1.2931 A, theta_pitch = -17.28212mrad, theta_roll_comp = -33.3126 mrad, theta_setpoint = -34.7002 mrad, 
msg = 2689, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53782 ms, ax =  0.1151, ay = -0.2757, az =  9.9902, gx =  0.0022 rad/s, gy = -0.0293 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -83.1885, I_w_pitch =  2.3353 A, I_w_roll =  1.3798 A, theta_pitch = -17.76646mrad, theta_roll_comp = -33.2304 mrad, theta_setpoint = -34.7758 mrad, 
msg = 2690, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53802 ms, ax =  0.0791, ay = -0.3404, az =  9.9662, gx = -0.0031 rad/s, gy = -0.0229 rad/s, gz = -0.0116 rad/s, rpm_pitch =  5.0655, rpm_roll = -83.1885, I_w_pitch =  8.8168 A, I_w_roll = -0.5008 A, theta_pitch = -18.14478mrad, theta_roll_comp = -33.2714 mrad, theta_setpoint = -34.7758 mrad, 
msg = 2691, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53822 ms, ax =  0.0695, ay = -0.3380, az =  9.9962, gx = -0.0069 rad/s, gy = -0.0139 rad/s, gz = -0.0143 rad/s, rpm_pitch =  4.4541, rpm_roll = -80.9492, I_w_pitch =  7.6811 A, I_w_roll = -1.7775 A, theta_pitch = -18.32735mrad, theta_roll_comp = -33.3415 mrad, theta_setpoint = -34.9164 mrad, 
msg = 2692, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53842 ms, ax = -0.1834, ay = -0.3021, az = 10.0609, gx = -0.0094 rad/s, gy =  0.0179 rad/s, gz = -0.0148 rad/s, rpm_pitch =  4.4541, rpm_roll = -79.6123, I_w_pitch =  6.3310 A, I_w_roll = -2.6363 A, theta_pitch = -17.81327mrad, theta_roll_comp = -33.3588 mrad, theta_setpoint = -35.0003 mrad, 
msg = 2693, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53862 ms, ax = -0.1978, ay = -0.3320, az = 10.1508, gx = -0.0021 rad/s, gy =  0.0807 rad/s, gz = -0.0354 rad/s, rpm_pitch =  0.0000, rpm_roll = -79.6123, I_w_pitch = -2.3067 A, I_w_roll = -0.0634 A, theta_pitch = -16.14933mrad, theta_roll_comp = -33.3346 mrad, theta_setpoint = -35.0003 mrad, 
msg = 2694, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53882 ms, ax = -0.2661, ay = -0.2973, az = 10.1257, gx =  0.0034 rad/s, gy =  0.1454 rad/s, gz = -0.0561 rad/s, rpm_pitch =  0.0000, rpm_roll = -79.6123, I_w_pitch = -5.3531 A, I_w_roll =  1.8459 A, theta_pitch = -13.09641mrad, theta_roll_comp = -33.3382 mrad, theta_setpoint = -35.0003 mrad, 
msg = 2695, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53902 ms, ax =  0.0348, ay = -0.3848, az =  9.9830, gx =  0.0038 rad/s, gy =  0.1940 rad/s, gz = -0.0775 rad/s, rpm_pitch =  0.0000, rpm_roll = -79.6123, I_w_pitch = -7.8641 A, I_w_roll =  2.0166 A, theta_pitch = -9.31707mrad, theta_roll_comp = -33.2612 mrad, theta_setpoint = -35.0003 mrad, 
msg = 2696, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53922 ms, ax =  0.0444, ay = -0.3728, az =  9.8931, gx =  0.0035 rad/s, gy =  0.2100 rad/s, gz = -0.0868 rad/s, rpm_pitch =  4.3668, rpm_roll = -79.4452, I_w_pitch = -3.3618 A, I_w_roll =  1.9400 A, theta_pitch = -5.19993mrad, theta_roll_comp = -33.2302 mrad, theta_setpoint = -35.0108 mrad, 
msg = 2697, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53942 ms, ax =  0.1295, ay = -0.3992, az =  9.8644, gx =  0.0026 rad/s, gy =  0.2012 rad/s, gz = -0.0864 rad/s, rpm_pitch =  4.3668, rpm_roll = -78.8436, I_w_pitch = -3.6113 A, I_w_roll =  1.6534 A, theta_pitch = -1.19311mrad, theta_roll_comp = -33.1689 mrad, theta_setpoint = -35.0486 mrad, 
msg = 2698, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53962 ms, ax =  0.0084, ay = -0.3404, az =  9.8979, gx = -0.0018 rad/s, gy =  0.1789 rad/s, gz = -0.0707 rad/s, rpm_pitch =  6.2882, rpm_roll = -78.8436, I_w_pitch = -0.7484 A, I_w_roll =  0.1184 A, theta_pitch = 2.57870mrad, theta_roll_comp = -33.1615 mrad, theta_setpoint = -35.0486 mrad, 
msg = 2699, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    53982 ms, ax =  0.0456, ay = -0.2937, az =  9.9531, gx = -0.0026 rad/s, gy =  0.1614 rad/s, gz = -0.0533 rad/s, rpm_pitch =  2.8384, rpm_roll = -77.6738, I_w_pitch = -5.0860 A, I_w_roll = -0.1362 A, theta_pitch = 5.81704mrad, theta_roll_comp = -33.1724 mrad, theta_setpoint = -35.1221 mrad, 
msg = 2700, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54002 ms, ax = -0.0264, ay = -0.3021, az = 10.0154, gx = -0.0020 rad/s, gy =  0.1501 rad/s, gz = -0.0328 rad/s, rpm_pitch =  2.8384, rpm_roll = -77.6738, I_w_pitch = -5.0723 A, I_w_roll =  0.0670 A, theta_pitch = 8.74427mrad, theta_roll_comp = -33.2468 mrad, theta_setpoint = -35.1221 mrad, 
msg = 2701, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54022 ms, ax =  0.0264, ay = -0.3560, az =  9.9603, gx = -0.0025 rad/s, gy =  0.1410 rad/s, gz = -0.0125 rad/s, rpm_pitch =  1.0917, rpm_roll = -75.2340, I_w_pitch = -7.4062 A, I_w_roll = -0.0957 A, theta_pitch = 11.36073mrad, theta_roll_comp = -33.3408 mrad, theta_setpoint = -35.2753 mrad, 
msg = 2702, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54042 ms, ax =  0.0527, ay = -0.3560, az =  9.9063, gx = -0.0037 rad/s, gy =  0.1231 rad/s, gz =  0.0055 rad/s, rpm_pitch =  1.0917, rpm_roll = -74.3650, I_w_pitch = -7.0378 A, I_w_roll = -0.5572 A, theta_pitch = 13.69832mrad, theta_roll_comp = -33.5005 mrad, theta_setpoint = -35.3299 mrad, 
msg = 2703, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54062 ms, ax =  0.1522, ay = -0.3956, az =  9.8608, gx = -0.0016 rad/s, gy =  0.0902 rad/s, gz =  0.0217 rad/s, rpm_pitch =  0.8734, rpm_roll = -74.3650, I_w_pitch = -6.2461 A, I_w_roll =  0.1314 A, theta_pitch = 15.27113mrad, theta_roll_comp = -33.6432 mrad, theta_setpoint = -35.3299 mrad, 
msg = 2704, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54082 ms, ax =  0.1882, ay = -0.4016, az =  9.9015, gx = -0.0054 rad/s, gy =  0.0450 rad/s, gz =  0.0386 rad/s, rpm_pitch =  0.0000, rpm_roll = -72.6270, I_w_pitch = -5.6885 A, I_w_roll = -1.2428 A, theta_pitch = 15.91228mrad, theta_roll_comp = -33.8090 mrad, theta_setpoint = -35.4390 mrad, 
msg = 2705, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54102 ms, ax =  0.2350, ay = -0.3716, az =  9.9255, gx = -0.0050 rad/s, gy = -0.0065 rad/s, gz =  0.0467 rad/s, rpm_pitch =  0.0000, rpm_roll = -72.6270, I_w_pitch = -3.5620 A, I_w_roll = -1.1563 A, theta_pitch = 15.47673mrad, theta_roll_comp = -33.9423 mrad, theta_setpoint = -35.4390 mrad, 
msg = 2706, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54122 ms, ax =  0.1307, ay = -0.2985, az =  9.9099, gx = -0.0043 rad/s, gy = -0.0516 rad/s, gz =  0.0427 rad/s, rpm_pitch =  0.0000, rpm_roll = -72.1257, I_w_pitch = -1.5501 A, I_w_roll = -0.9614 A, theta_pitch = 14.10180mrad, theta_roll_comp = -34.0692 mrad, theta_setpoint = -35.4705 mrad, 
msg = 2707, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54142 ms, ax =  0.1403, ay = -0.3356, az =  9.9267, gx = -0.0034 rad/s, gy = -0.0829 rad/s, gz =  0.0322 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.7246, I_w_pitch = -0.0122 A, I_w_roll = -0.6373 A, theta_pitch = 12.19338mrad, theta_roll_comp = -34.0996 mrad, theta_setpoint = -35.4957 mrad, 
msg = 2708, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54162 ms, ax =  0.0228, ay = -0.3524, az =  9.9327, gx =  0.0006 rad/s, gy = -0.0981 rad/s, gz =  0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.7246, I_w_pitch =  0.9219 A, I_w_roll =  0.7247 A, theta_pitch = 10.01385mrad, theta_roll_comp = -34.1901 mrad, theta_setpoint = -35.4957 mrad, 
msg = 2709, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54182 ms, ax = -0.0863, ay = -0.3380, az =  9.9387, gx = -0.0031 rad/s, gy = -0.0922 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.5241, I_w_pitch =  0.9896 A, I_w_roll = -0.5632 A, theta_pitch = 8.00027mrad, theta_roll_comp = -34.1601 mrad, theta_setpoint = -35.5083 mrad, 
msg = 2710, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54202 ms, ax = -0.2014, ay = -0.3117, az =  9.9818, gx =  0.0015 rad/s, gy = -0.0747 rad/s, gz = -0.0388 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.9920, I_w_pitch =  0.5111 A, I_w_roll =  1.0846 A, theta_pitch = 6.50321mrad, theta_roll_comp = -34.0889 mrad, theta_setpoint = -35.4789 mrad, 
msg = 2711, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54222 ms, ax = -0.2350, ay = -0.3308, az =  9.9567, gx =  0.0040 rad/s, gy = -0.0475 rad/s, gz = -0.0555 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.9920, I_w_pitch = -0.4451 A, I_w_roll =  1.9957 A, theta_pitch = 5.63409mrad, theta_roll_comp = -34.0248 mrad, theta_setpoint = -35.4789 mrad, 
msg = 2712, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54242 ms, ax = -0.2409, ay = -0.3632, az =  9.9411, gx = -0.0014 rad/s, gy = -0.0181 rad/s, gz = -0.0611 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.3569, I_w_pitch = -1.5850 A, I_w_roll =  0.1336 A, theta_pitch = 5.38594mrad, theta_roll_comp = -33.9430 mrad, theta_setpoint = -35.5188 mrad, 
msg = 2713, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54262 ms, ax = -0.2086, ay = -0.3261, az =  9.9842, gx =  0.0003 rad/s, gy =  0.0088 rad/s, gz = -0.0553 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.3569, I_w_pitch = -2.7020 A, I_w_roll =  0.7578 A, theta_pitch = 5.66057mrad, theta_roll_comp = -33.8973 mrad, theta_setpoint = -35.5188 mrad, 
msg = 2714, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54282 ms, ax = -0.1798, ay = -0.3512, az =  9.9603, gx =  0.0027 rad/s, gy =  0.0289 rad/s, gz = -0.0411 rad/s, rpm_pitch =  0.0000, rpm_roll = -70.7553, I_w_pitch = -3.6079 A, I_w_roll =  1.6018 A, theta_pitch = 6.33795mrad, theta_roll_comp = -33.9222 mrad, theta_setpoint = -35.5566 mrad, 
msg = 2715, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54302 ms, ax = -0.1391, ay = -0.3500, az =  9.9411, gx = -0.0033 rad/s, gy =  0.0418 rad/s, gz = -0.0197 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.8864, I_w_pitch = -4.2589 A, I_w_roll = -0.4837 A, theta_pitch = 7.23343mrad, theta_roll_comp = -33.9477 mrad, theta_setpoint = -35.6111 mrad, 
msg = 2716, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54322 ms, ax = -0.0755, ay = -0.3404, az =  9.9615, gx = -0.0024 rad/s, gy =  0.0464 rad/s, gz = -0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.8864, I_w_pitch = -4.5833 A, I_w_roll = -0.1712 A, theta_pitch = 8.18895mrad, theta_roll_comp = -33.9820 mrad, theta_setpoint = -35.6111 mrad, 
msg = 2717, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54342 ms, ax = -0.0276, ay = -0.3608, az =  9.9495, gx =  0.0000 rad/s, gy =  0.0437 rad/s, gz =  0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.2152, I_w_pitch = -4.6039 A, I_w_roll =  0.6814 A, theta_pitch = 9.03692mrad, theta_roll_comp = -34.0527 mrad, theta_setpoint = -35.7161 mrad, 
msg = 2718, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54362 ms, ax =  0.0036, ay = -0.3440, az =  9.9303, gx = -0.0042 rad/s, gy =  0.0356 rad/s, gz =  0.0265 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.2152, I_w_pitch = -4.3729 A, I_w_roll = -0.8369 A, theta_pitch = 9.66290mrad, theta_roll_comp = -34.1201 mrad, theta_setpoint = -35.7161 mrad, 
msg = 2719, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54382 ms, ax =  0.0551, ay = -0.2949, az =  9.9495, gx = -0.0037 rad/s, gy =  0.0207 rad/s, gz =  0.0265 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.5441, I_w_pitch = -3.8219 A, I_w_roll = -0.6316 A, theta_pitch = 9.96598mrad, theta_roll_comp = -34.1777 mrad, theta_setpoint = -35.8210 mrad, 
msg = 2720, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54402 ms, ax =  0.0623, ay = -0.3081, az =  9.9411, gx =  0.0007 rad/s, gy =  0.0024 rad/s, gz =  0.0190 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.1431, I_w_pitch = -3.0778 A, I_w_roll =  0.9127 A, theta_pitch = 9.87023mrad, theta_roll_comp = -34.1871 mrad, theta_setpoint = -35.8462 mrad, 
msg = 2721, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54422 ms, ax =  0.0444, ay = -0.3476, az =  9.9291, gx = -0.0013 rad/s, gy = -0.0117 rad/s, gz =  0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.1431, I_w_pitch = -2.4543 A, I_w_roll =  0.2205 A, theta_pitch = 9.47702mrad, theta_roll_comp = -34.1697 mrad, theta_setpoint = -35.8462 mrad, 
msg = 2722, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54442 ms, ax =  0.0180, ay = -0.2901, az =  9.9471, gx = -0.0009 rad/s, gy = -0.0218 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.0401, I_w_pitch = -1.9617 A, I_w_roll =  0.4080 A, theta_pitch = 8.89155mrad, theta_roll_comp = -34.1198 mrad, theta_setpoint = -35.9155 mrad, 
msg = 2723, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54462 ms, ax = -0.0503, ay = -0.3213, az =  9.9423, gx =  0.0039 rad/s, gy = -0.0251 rad/s, gz = -0.0268 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.0401, I_w_pitch = -1.7381 A, I_w_roll =  2.1307 A, theta_pitch = 8.28891mrad, theta_roll_comp = -34.0075 mrad, theta_setpoint = -35.9155 mrad, 
msg = 2724, nerr =    8p/  12r, time steps =   10, qsz =    2, switch = on, t =    54482 ms, ax = -0.0995, ay = -0.3273, az =  9.9519, gx =  0.0016 rad/s, gy = -0.0223 rad/s, gz = -0.0384 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.0040, I_w_pitch = 12966.2715 A, I_w_roll = 4549.2686 A, theta_pitch = -86445.85156mrad, theta_roll_comp = 11335.7529 mrad, theta_setpoint = -35.9805 mrad, 
msg = 2725, nerr =    8p/  13r, time steps =   10, qsz =    2, switch = on, t =    54502 ms, ax = -0.0743, ay = -0.2973, az =  9.9950, gx =  0.0019 rad/s, gy = -0.0150 rad/s, gz = -0.0435 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.0040, I_w_pitch = 12708.8770 A, I_w_roll = 4459.2178 A, theta_pitch = -84731.84375mrad, theta_roll_comp = 11110.3926 mrad, theta_setpoint = -35.9805 mrad, 
msg = 2726, nerr =    8p/  13r, time steps =   10, qsz =    2, switch = on, t =    54522 ms, ax = -0.3920, ay =  0.0420, az = 10.1065, gx = -0.0069 rad/s, gy =  0.0123 rad/s, gz = -0.0562 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.0040, I_w_pitch = 12455.6885 A, I_w_roll = 4367.9482 A, theta_pitch = -83051.21094mrad, theta_roll_comp = 10889.9102 mrad, theta_setpoint = -35.9805 mrad, 
