picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0020 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = 1221724868382616705607437123584.0000 mrad, 
msg =  580, time steps =   10, qsz =    2, switch = on, t =    11602 ms, ax =  0.5922, ay = -0.5035, az =  9.9279, gx = -0.0037 rad/s, gy =  0.0011 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = -5389, I_w_pitch = -0.0000 A, I_w_roll =  1.7238 A, theta_roll_comp = -46.6310 mrad, theta_setpoint = -40.0000 mrad, 
msg =  581, time steps =   10, qsz =    2, switch = on, t =    11622 ms, ax =  0.5718, ay = -0.4375, az =  9.9626, gx = -0.0006 rad/s, gy =  0.0016 rad/s, gz =  0.0134 rad/s, erpm_pitch =    0, erpm_roll = -4616, I_w_pitch = -0.0000 A, I_w_roll =  1.1913 A, theta_roll_comp = -46.7483 mrad, theta_setpoint = -40.0000 mrad, 
msg =  582, time steps =   10, qsz =    2, switch = on, t =    11642 ms, ax =  0.5946, ay = -0.4196, az =  9.9483, gx =  0.0024 rad/s, gy =  0.0020 rad/s, gz = -0.0043 rad/s, erpm_pitch =    0, erpm_roll = -4241, I_w_pitch = -0.0000 A, I_w_roll =  0.6386 A, theta_roll_comp = -46.7393 mrad, theta_setpoint = -40.0000 mrad, 
msg =  583, time steps =   10, qsz =    2, switch = on, t =    11662 ms, ax =  0.5706, ay = -0.4723, az =  9.9351, gx =  0.0039 rad/s, gy =  0.0019 rad/s, gz = -0.0079 rad/s, erpm_pitch =    0, erpm_roll = -4241, I_w_pitch = -0.0000 A, I_w_roll =  0.3606 A, theta_roll_comp = -46.6493 mrad, theta_setpoint = -40.0000 mrad, 
msg =  584, time steps =   10, qsz =    2, switch = on, t =    11682 ms, ax =  0.5526, ay = -0.4999, az =  9.9087, gx =  0.0055 rad/s, gy =  0.0026 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = -3523, I_w_pitch = -0.0000 A, I_w_roll =  0.0660 A, theta_roll_comp = -46.6054 mrad, theta_setpoint = -40.0000 mrad, 
msg =  585, time steps =   10, qsz =    2, switch = on, t =    11702 ms, ax =  0.5706, ay = -0.4867, az =  9.9015, gx =  0.0076 rad/s, gy =  0.0023 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = -3523, I_w_pitch = -0.0000 A, I_w_roll = -0.3369 A, theta_roll_comp = -46.4841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  586, time steps =   10, qsz =    2, switch = on, t =    11722 ms, ax =  0.5706, ay = -0.4579, az =  9.9387, gx =  0.0086 rad/s, gy =  0.0018 rad/s, gz = -0.0033 rad/s, erpm_pitch =    0, erpm_roll = -2859, I_w_pitch = -0.0000 A, I_w_roll = -0.5418 A, theta_roll_comp = -46.2525 mrad, theta_setpoint = -40.0000 mrad, 
msg =  587, time steps =   10, qsz =    2, switch = on, t =    11742 ms, ax =  0.5670, ay = -0.4555, az =  9.9507, gx =  0.0092 rad/s, gy =  0.0015 rad/s, gz = -0.0044 rad/s, erpm_pitch =    0, erpm_roll = -2526, I_w_pitch = -0.0000 A, I_w_roll = -0.6936 A, theta_roll_comp = -46.0528 mrad, theta_setpoint = -40.0000 mrad, 
msg =  588, time steps =   10, qsz =    2, switch = on, t =    11762 ms, ax =  0.5802, ay = -0.4327, az =  9.9375, gx =  0.0110 rad/s, gy =  0.0019 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = -2526, I_w_pitch = -0.0000 A, I_w_roll = -1.0461 A, theta_roll_comp = -45.7968 mrad, theta_setpoint = -40.0000 mrad, 
msg =  589, time steps =   10, qsz =    2, switch = on, t =    11782 ms, ax =  0.5922, ay = -0.4375, az =  9.9063, gx =  0.0128 rad/s, gy =  0.0022 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -1926, I_w_pitch = -0.0000 A, I_w_roll = -1.4300 A, theta_roll_comp = -45.4947 mrad, theta_setpoint = -40.0000 mrad, 
msg =  590, time steps =   10, qsz =    2, switch = on, t =    11802 ms, ax =  0.5778, ay = -0.4124, az =  9.9123, gx =  0.0128 rad/s, gy =  0.0022 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = -1926, I_w_pitch = -0.0000 A, I_w_roll = -1.4840 A, theta_roll_comp = -45.1572 mrad, theta_setpoint = -40.0000 mrad, 
msg =  591, time steps =   10, qsz =    2, switch = on, t =    11822 ms, ax =  0.5946, ay = -0.3908, az =  9.9363, gx =  0.0127 rad/s, gy =  0.0027 rad/s, gz = -0.0035 rad/s, erpm_pitch =    0, erpm_roll = -1417, I_w_pitch = -0.0000 A, I_w_roll = -1.5190 A, theta_roll_comp = -44.7883 mrad, theta_setpoint = -40.0000 mrad, 
msg =  592, time steps =   10, qsz =    2, switch = on, t =    11842 ms, ax =  0.5862, ay = -0.3824, az =  9.9399, gx =  0.0143 rad/s, gy =  0.0023 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -1160, I_w_pitch = -0.0000 A, I_w_roll = -1.8673 A, theta_roll_comp = -44.4090 mrad, theta_setpoint = -40.0000 mrad, 
msg =  593, time steps =   10, qsz =    2, switch = on, t =    11862 ms, ax =  0.5730, ay = -0.4004, az =  9.9183, gx =  0.0143 rad/s, gy =  0.0026 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1160, I_w_pitch = -0.0000 A, I_w_roll = -1.9283 A, theta_roll_comp = -44.0283 mrad, theta_setpoint = -40.0000 mrad, 
msg =  594, time steps =   10, qsz =    2, switch = on, t =    11882 ms, ax =  0.5646, ay = -0.3956, az =  9.9207, gx =  0.0128 rad/s, gy =  0.0020 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -650, I_w_pitch = -0.0000 A, I_w_roll = -1.7246 A, theta_roll_comp = -43.6534 mrad, theta_setpoint = -40.0000 mrad, 
msg =  595, time steps =   10, qsz =    2, switch = on, t =    11902 ms, ax =  0.5766, ay = -0.3476, az =  9.9315, gx =  0.0131 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -650, I_w_pitch = -0.0000 A, I_w_roll = -1.8406 A, theta_roll_comp = -43.2280 mrad, theta_setpoint = -40.0000 mrad, 
msg =  596, time steps =   10, qsz =    2, switch = on, t =    11922 ms, ax =  0.5778, ay = -0.3285, az =  9.9291, gx =  0.0124 rad/s, gy =  0.0022 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -268, I_w_pitch = -0.0000 A, I_w_roll = -1.7949 A, theta_roll_comp = -42.7643 mrad, theta_setpoint = -40.0000 mrad, 
msg =  597, time steps =   10, qsz =    2, switch = on, t =    11942 ms, ax =  0.5790, ay = -0.3057, az =  9.9267, gx =  0.0103 rad/s, gy =  0.0024 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -134, I_w_pitch = -0.0000 A, I_w_roll = -1.4865 A, theta_roll_comp = -42.2951 mrad, theta_setpoint = -40.0000 mrad, 
msg =  598, time steps =   10, qsz =    2, switch = on, t =    11962 ms, ax =  0.5718, ay = -0.2973, az =  9.9363, gx =  0.0098 rad/s, gy =  0.0026 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -134, I_w_pitch = -0.0000 A, I_w_roll = -1.4626 A, theta_roll_comp = -41.8457 mrad, theta_setpoint = -40.0000 mrad, 
msg =  599, time steps =   10, qsz =    2, switch = on, t =    11982 ms, ax =  0.5694, ay = -0.3225, az =  9.9267, gx =  0.0092 rad/s, gy =  0.0019 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =   69, I_w_pitch = -0.0000 A, I_w_roll = -1.4314 A, theta_roll_comp = -41.4415 mrad, theta_setpoint = -40.0000 mrad, 
msg =  600, time steps =   10, qsz =    2, switch = on, t =    12002 ms, ax =  0.5646, ay = -0.3488, az =  9.9267, gx =  0.0082 rad/s, gy =  0.0018 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =  157, I_w_pitch = -0.0000 A, I_w_roll = -1.2917 A, theta_roll_comp = -41.1162 mrad, theta_setpoint = -40.0000 mrad, 
msg =  601, time steps =   10, qsz =    2, switch = on, t =    12022 ms, ax =  0.5682, ay = -0.3548, az =  9.9303, gx =  0.0079 rad/s, gy =  0.0015 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll =  157, I_w_pitch = -0.0000 A, I_w_roll = -1.2886 A, theta_roll_comp = -40.8356 mrad, theta_setpoint = -40.0000 mrad, 
msg =  602, time steps =   10, qsz =    2, switch = on, t =    12042 ms, ax =  0.5682, ay = -0.3692, az =  9.9351, gx =  0.0083 rad/s, gy =  0.0010 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll =  286, I_w_pitch = -0.0000 A, I_w_roll = -1.4003 A, theta_roll_comp = -40.5868 mrad, theta_setpoint = -40.0000 mrad, 
msg =  603, time steps =   10, qsz =    2, switch = on, t =    12062 ms, ax =  0.5826, ay = -0.3692, az =  9.9255, gx =  0.0083 rad/s, gy =  0.0015 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll =  286, I_w_pitch = -0.0000 A, I_w_roll = -1.4368 A, theta_roll_comp = -40.3590 mrad, theta_setpoint = -40.0000 mrad, 
msg =  604, time steps =   10, qsz =    2, switch = on, t =    12082 ms, ax =  0.5826, ay = -0.3404, az =  9.9375, gx =  0.0082 rad/s, gy =  0.0018 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =  322, I_w_pitch = -0.0000 A, I_w_roll = -1.4550 A, theta_roll_comp = -40.0952 mrad, theta_setpoint = -40.0000 mrad, 
msg =  605, time steps =   10, qsz =    2, switch = on, t =    12102 ms, ax =  0.5838, ay = -0.3464, az =  9.9387, gx =  0.0086 rad/s, gy =  0.0019 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =  327, I_w_pitch = -0.0000 A, I_w_roll = -1.5731 A, theta_roll_comp = -39.8066 mrad, theta_setpoint = -40.0000 mrad, 
msg =  606, time steps =   10, qsz =    2, switch = on, t =    12122 ms, ax =  0.5826, ay = -0.3404, az =  9.9339, gx =  0.0092 rad/s, gy =  0.0022 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =  327, I_w_pitch = -0.0000 A, I_w_roll = -1.7388 A, theta_roll_comp = -39.5197 mrad, theta_setpoint = -40.0000 mrad, 
msg =  607, time steps =   10, qsz =    2, switch = on, t =    12142 ms, ax =  0.5694, ay = -0.3512, az =  9.9447, gx =  0.0096 rad/s, gy =  0.0027 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll =  435, I_w_pitch = -0.0000 A, I_w_roll = -1.8544 A, theta_roll_comp = -39.2472 mrad, theta_setpoint = -40.0000 mrad, 
msg =  608, time steps =   10, qsz =    2, switch = on, t =    12162 ms, ax =  0.5658, ay = -0.3608, az =  9.9459, gx =  0.0108 rad/s, gy =  0.0022 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =  435, I_w_pitch = -0.0000 A, I_w_roll = -2.1129 A, theta_roll_comp = -38.9793 mrad, theta_setpoint = -40.0000 mrad, 
msg =  609, time steps =   10, qsz =    2, switch = on, t =    12182 ms, ax =  0.5610, ay = -0.3584, az =  9.9483, gx =  0.0112 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =  438, I_w_pitch = -0.0000 A, I_w_roll = -2.2289 A, theta_roll_comp = -38.7036 mrad, theta_setpoint = -40.0000 mrad, 
msg =  610, time steps =   10, qsz =    2, switch = on, t =    12202 ms, ax =  0.5550, ay = -0.3512, az =  9.9459, gx =  0.0114 rad/s, gy =  0.0022 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =  398, I_w_pitch = -0.0000 A, I_w_roll = -2.3037 A, theta_roll_comp = -38.3863 mrad, theta_setpoint = -40.0000 mrad, 
msg =  611, time steps =   10, qsz =    2, switch = on, t =    12222 ms, ax =  0.5706, ay = -0.3189, az =  9.9519, gx =  0.0116 rad/s, gy =  0.0014 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll =  398, I_w_pitch = -0.0000 A, I_w_roll = -2.4072 A, theta_roll_comp = -38.0392 mrad, theta_setpoint = -40.0000 mrad, 
msg =  612, time steps =   10, qsz =    2, switch = on, t =    12242 ms, ax =  0.5838, ay = -0.3201, az =  9.9387, gx =  0.0126 rad/s, gy =  0.0014 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll =  295, I_w_pitch = -0.0000 A, I_w_roll = -2.6347 A, theta_roll_comp = -37.6654 mrad, theta_setpoint = -40.0000 mrad, 
msg =  613, time steps =   10, qsz =    2, switch = on, t =    12262 ms, ax =  0.5898, ay = -0.3093, az =  9.9315, gx =  0.0126 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =  295, I_w_pitch = -0.0000 A, I_w_roll = -2.7009 A, theta_roll_comp = -37.2516 mrad, theta_setpoint = -40.0000 mrad, 
msg =  614, time steps =   10, qsz =    2, switch = on, t =    12282 ms, ax =  0.5982, ay = -0.2829, az =  9.9543, gx =  0.0126 rad/s, gy =  0.0024 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll =  146, I_w_pitch = -0.0000 A, I_w_roll = -2.7681 A, theta_roll_comp = -36.8318 mrad, theta_setpoint = -40.0000 mrad, 
msg =  615, time steps =   10, qsz =    2, switch = on, t =    12302 ms, ax =  0.5910, ay = -0.2841, az =  9.9435, gx =  0.0126 rad/s, gy =  0.0024 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll =   66, I_w_pitch = -0.0000 A, I_w_roll = -2.8349 A, theta_roll_comp = -36.4146 mrad, theta_setpoint = -40.0000 mrad, 
msg =  616, time steps =   10, qsz =    2, switch = on, t =    12322 ms, ax =  0.5586, ay = -0.3021, az =  9.9423, gx =  0.0120 rad/s, gy =  0.0031 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll =   66, I_w_pitch = -0.0000 A, I_w_roll = -2.7998 A, theta_roll_comp = -36.0347 mrad, theta_setpoint = -40.0000 mrad, 
msg =  617, time steps =   10, qsz =    2, switch = on, t =    12342 ms, ax =  0.5406, ay = -0.3057, az =  9.9423, gx =  0.0122 rad/s, gy =  0.0027 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll =  -43, I_w_pitch = -0.0000 A, I_w_roll = -2.8824 A, theta_roll_comp = -35.6679 mrad, theta_setpoint = -40.0000 mrad, 
msg =  618, time steps =   10, qsz =    2, switch = on, t =    12362 ms, ax =  0.5406, ay = -0.2877, az =  9.9351, gx =  0.0126 rad/s, gy =  0.0022 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =  -43, I_w_pitch = -0.0000 A, I_w_roll = -3.0152 A, theta_roll_comp = -35.2875 mrad, theta_setpoint = -40.0000 mrad, 
msg =  619, time steps =   10, qsz =    2, switch = on, t =    12382 ms, ax =  0.5382, ay = -0.2805, az =  9.9387, gx =  0.0119 rad/s, gy =  0.0016 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -118, I_w_pitch = -0.0000 A, I_w_roll = -2.9551 A, theta_roll_comp = -34.9144 mrad, theta_setpoint = -40.0000 mrad, 
msg =  620, time steps =   10, qsz =    2, switch = on, t =    12402 ms, ax =  0.5658, ay = -0.2649, az =  9.9567, gx =  0.0112 rad/s, gy =  0.0012 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -158, I_w_pitch = -0.0000 A, I_w_roll = -2.8955 A, theta_roll_comp = -34.5377 mrad, theta_setpoint = -40.0000 mrad, 
msg =  621, time steps =   10, qsz =    2, switch = on, t =    12422 ms, ax =  0.5742, ay = -0.2733, az =  9.9375, gx =  0.0119 rad/s, gy =  0.0011 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -158, I_w_pitch = -0.0000 A, I_w_roll = -3.0768 A, theta_roll_comp = -34.1533 mrad, theta_setpoint = -40.0000 mrad, 
msg =  622, time steps =   10, qsz =    2, switch = on, t =    12442 ms, ax =  0.5910, ay = -0.2481, az =  9.9315, gx =  0.0106 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -293, I_w_pitch = -0.0000 A, I_w_roll = -2.8983 A, theta_roll_comp = -33.7711 mrad, theta_setpoint = -40.0000 mrad, 
msg =  623, time steps =   10, qsz =    2, switch = on, t =    12462 ms, ax =  0.5958, ay = -0.2086, az =  9.9375, gx =  0.0087 rad/s, gy =  0.0027 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -383, I_w_pitch = -0.0000 A, I_w_roll = -2.6266 A, theta_roll_comp = -33.3721 mrad, theta_setpoint = -40.0000 mrad, 
msg =  624, time steps =   10, qsz =    2, switch = on, t =    12482 ms, ax =  0.5910, ay = -0.1930, az =  9.9411, gx =  0.0084 rad/s, gy =  0.0027 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -383, I_w_pitch = -0.0000 A, I_w_roll = -2.6479 A, theta_roll_comp = -32.9391 mrad, theta_setpoint = -40.0000 mrad, 
msg =  625, time steps =   10, qsz =    2, switch = on, t =    12502 ms, ax =  0.5790, ay = -0.2230, az =  9.9315, gx =  0.0074 rad/s, gy =  0.0027 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -546, I_w_pitch = -0.0000 A, I_w_roll = -2.5191 A, theta_roll_comp = -32.5458 mrad, theta_setpoint = -40.0000 mrad, 
msg =  626, time steps =   10, qsz =    2, switch = on, t =    12522 ms, ax =  0.5634, ay = -0.1882, az =  9.9423, gx =  0.0051 rad/s, gy =  0.0028 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -546, I_w_pitch = -0.0000 A, I_w_roll = -2.1669 A, theta_roll_comp = -32.2009 mrad, theta_setpoint = -40.0000 mrad, 
msg =  627, time steps =   10, qsz =    2, switch = on, t =    12542 ms, ax =  0.5502, ay = -0.2002, az =  9.9351, gx =  0.0051 rad/s, gy =  0.0027 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -773, I_w_pitch = -0.0000 A, I_w_roll = -2.2214 A, theta_roll_comp = -31.8597 mrad, theta_setpoint = -40.0000 mrad, 
msg =  628, time steps =   10, qsz =    2, switch = on, t =    12562 ms, ax =  0.5442, ay = -0.2302, az =  9.9135, gx =  0.0042 rad/s, gy =  0.0011 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -877, I_w_pitch = -0.0000 A, I_w_roll = -2.0989 A, theta_roll_comp = -31.5767 mrad, theta_setpoint = -40.0000 mrad, 
msg =  629, time steps =   10, qsz =    2, switch = on, t =    12582 ms, ax =  0.5610, ay = -0.1954, az =  9.9411, gx =  0.0015 rad/s, gy =  0.0012 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -877, I_w_pitch = -0.0000 A, I_w_roll = -1.6656 A, theta_roll_comp = -31.2891 mrad, theta_setpoint = -40.0000 mrad, 
msg =  630, time steps =   10, qsz =    2, switch = on, t =    12602 ms, ax =  0.5934, ay = -0.1906, az =  9.9387, gx =  0.0007 rad/s, gy =  0.0011 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1127, I_w_pitch = -0.0000 A, I_w_roll = -1.5639 A, theta_roll_comp = -31.0262 mrad, theta_setpoint = -40.0000 mrad, 
msg =  631, time steps =   10, qsz =    2, switch = on, t =    12622 ms, ax =  0.5946, ay = -0.1978, az =  9.9555, gx = -0.0002 rad/s, gy =  0.0011 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -1127, I_w_pitch = -0.0000 A, I_w_roll = -1.4349 A, theta_roll_comp = -30.7837 mrad, theta_setpoint = -40.0000 mrad, 
msg =  632, time steps =   10, qsz =    2, switch = on, t =    12642 ms, ax =  0.5742, ay = -0.1630, az =  9.9519, gx = -0.0030 rad/s, gy =  0.0022 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = -1388, I_w_pitch = -0.0000 A, I_w_roll = -0.9590 A, theta_roll_comp = -30.6122 mrad, theta_setpoint = -40.0000 mrad, 
msg =  633, time steps =   10, qsz =    2, switch = on, t =    12662 ms, ax =  0.5730, ay = -0.1966, az =  9.9495, gx = -0.0041 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -1524, I_w_pitch = -0.0000 A, I_w_roll = -0.7904 A, theta_roll_comp = -30.4674 mrad, theta_setpoint = -40.0000 mrad, 
msg =  634, time steps =   10, qsz =    2, switch = on, t =    12682 ms, ax =  0.5682, ay = -0.2158, az =  9.9339, gx = -0.0043 rad/s, gy =  0.0022 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -1524, I_w_pitch = -0.0000 A, I_w_roll = -0.7620 A, theta_roll_comp = -30.3453 mrad, theta_setpoint = -40.0000 mrad, 
msg =  635, time steps =   10, qsz =    2, switch = on, t =    12702 ms, ax =  0.5502, ay = -0.1882, az =  9.9543, gx = -0.0063 rad/s, gy =  0.0026 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1778, I_w_pitch = -0.0000 A, I_w_roll = -0.4108 A, theta_roll_comp = -30.2938 mrad, theta_setpoint = -40.0000 mrad, 
msg =  636, time steps =   10, qsz =    2, switch = on, t =    12722 ms, ax =  0.5610, ay = -0.1726, az =  9.9591, gx = -0.0071 rad/s, gy =  0.0024 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -1778, I_w_pitch = -0.0000 A, I_w_roll = -0.2713 A, theta_roll_comp = -30.2667 mrad, theta_setpoint = -40.0000 mrad, 
msg =  637, time steps =   10, qsz =    2, switch = on, t =    12742 ms, ax =  0.5562, ay = -0.2194, az =  9.9267, gx = -0.0078 rad/s, gy =  0.0011 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = -2024, I_w_pitch = -0.0000 A, I_w_roll = -0.1569 A, theta_roll_comp = -30.2328 mrad, theta_setpoint = -40.0000 mrad, 
msg =  638, time steps =   10, qsz =    2, switch = on, t =    12762 ms, ax =  0.5574, ay = -0.2721, az =  9.9219, gx = -0.0090 rad/s, gy =  0.0008 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -2143, I_w_pitch = -0.0000 A, I_w_roll =  0.0639 A, theta_roll_comp = -30.2643 mrad, theta_setpoint = -40.0000 mrad, 
msg =  639, time steps =   10, qsz =    2, switch = on, t =    12782 ms, ax =  0.5574, ay = -0.2757, az =  9.9507, gx = -0.0089 rad/s, gy =  0.0008 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -2143, I_w_pitch = -0.0000 A, I_w_roll =  0.0502 A, theta_roll_comp = -30.3287 mrad, theta_setpoint = -40.0000 mrad, 
msg =  640, time steps =   10, qsz =    2, switch = on, t =    12802 ms, ax =  0.6401, ay = -0.2385, az =  9.9579, gx = -0.0095 rad/s, gy =  0.0007 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -2360, I_w_pitch = -0.0000 A, I_w_roll =  0.1765 A, theta_roll_comp = -30.3692 mrad, theta_setpoint = -40.0000 mrad, 
msg =  641, time steps =   10, qsz =    2, switch = on, t =    12822 ms, ax =  0.6161, ay = -0.2457, az =  9.9615, gx = -0.0102 rad/s, gy =  0.0012 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -2555, I_w_pitch = -0.0000 A, I_w_roll =  0.3036 A, theta_roll_comp = -30.4143 mrad, theta_setpoint = -40.0000 mrad, 
msg =  642, time steps =   10, qsz =    2, switch = on, t =    12842 ms, ax =  0.5874, ay = -0.2937, az =  9.9615, gx = -0.0105 rad/s, gy =  0.0020 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -2555, I_w_pitch = -0.0000 A, I_w_roll =  0.3697 A, theta_roll_comp = -30.5281 mrad, theta_setpoint = -40.0000 mrad, 
msg =  643, time steps =   10, qsz =    2, switch = on, t =    12862 ms, ax =  0.5778, ay = -0.2961, az =  9.9363, gx = -0.0101 rad/s, gy =  0.0022 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -2648, I_w_pitch = -0.0000 A, I_w_roll =  0.3166 A, theta_roll_comp = -30.6456 mrad, theta_setpoint = -40.0000 mrad, 
msg =  644, time steps =   10, qsz =    2, switch = on, t =    12882 ms, ax =  0.5658, ay = -0.2865, az =  9.9267, gx = -0.0109 rad/s, gy =  0.0012 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -2648, I_w_pitch = -0.0000 A, I_w_roll =  0.4743 A, theta_roll_comp = -30.7323 mrad, theta_setpoint = -40.0000 mrad, 
msg =  645, time steps =   10, qsz =    2, switch = on, t =    12902 ms, ax =  0.5550, ay = -0.3368, az =  9.9543, gx = -0.0102 rad/s, gy =  0.0011 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -2822, I_w_pitch = -0.0000 A, I_w_roll =  0.3694 A, theta_roll_comp = -30.8259 mrad, theta_setpoint = -40.0000 mrad, 
msg =  646, time steps =   10, qsz =    2, switch = on, t =    12922 ms, ax =  0.5562, ay = -0.3896, az =  9.9603, gx = -0.0091 rad/s, gy =  0.0006 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -2903, I_w_pitch = -0.0000 A, I_w_roll =  0.2050 A, theta_roll_comp = -30.9964 mrad, theta_setpoint = -40.0000 mrad, 
msg =  647, time steps =   10, qsz =    2, switch = on, t =    12942 ms, ax =  0.5706, ay = -0.3680, az =  9.9459, gx = -0.0101 rad/s, gy =  0.0010 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = -2903, I_w_pitch = -0.0000 A, I_w_roll =  0.3965 A, theta_roll_comp = -31.1451 mrad, theta_setpoint = -40.0000 mrad, 
msg =  648, time steps =   10, qsz =    2, switch = on, t =    12962 ms, ax =  0.5826, ay = -0.3656, az =  9.9267, gx = -0.0102 rad/s, gy =  0.0011 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -3054, I_w_pitch = -0.0000 A, I_w_roll =  0.4397 A, theta_roll_comp = -31.2648 mrad, theta_setpoint = -40.0000 mrad, 
msg =  649, time steps =   10, qsz =    2, switch = on, t =    12982 ms, ax =  0.5718, ay = -0.2757, az =  9.9219, gx = -0.0095 rad/s, gy =  0.0011 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -3054, I_w_pitch = -0.0000 A, I_w_roll =  0.3383 A, theta_roll_comp = -31.3806 mrad, theta_setpoint = -40.0000 mrad, 
