picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.5838, ay = -0.2853, az =  9.9351, gx = -0.0079 rad/s, gy =  0.0011 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.4015 A, theta_roll_comp = -33.5729 mrad, theta_setpoint = -40.0000 mrad, 
msg =  450, time steps =   10, qsz =    2, switch = on, t =     9002 ms, ax =  0.6965, ay = -0.1462, az =  9.9543, gx = -0.0043 rad/s, gy = -0.0009 rad/s, gz = -0.0671 rad/s, erpm_pitch =    0, erpm_roll = -10765, I_w_pitch = -0.0000 A, I_w_roll = -0.1898 A, theta_roll_comp = -30.1560 mrad, theta_setpoint = -36.2342 mrad, 
msg =  451, time steps =   10, qsz =    2, switch = on, t =     9022 ms, ax =  0.3908, ay = -0.4255, az = 10.0346, gx = -0.0041 rad/s, gy =  0.0004 rad/s, gz = -0.0338 rad/s, erpm_pitch =    0, erpm_roll = -10858, I_w_pitch = -0.0000 A, I_w_roll = -0.2265 A, theta_roll_comp = -30.1934 mrad, theta_setpoint = -36.2016 mrad, 
msg =  452, time steps =   10, qsz =    2, switch = on, t =     9042 ms, ax =  0.4148, ay = -0.3980, az =  9.9567, gx = -0.0025 rad/s, gy =  0.0034 rad/s, gz =  0.0676 rad/s, erpm_pitch =    0, erpm_roll = -10858, I_w_pitch = -0.0000 A, I_w_roll = -0.4725 A, theta_roll_comp = -30.4537 mrad, theta_setpoint = -36.2016 mrad, 
msg =  453, time steps =   10, qsz =    2, switch = on, t =     9062 ms, ax =  0.6641, ay = -0.1163, az =  9.8572, gx = -0.0034 rad/s, gy =  0.0038 rad/s, gz =  0.0386 rad/s, erpm_pitch =    0, erpm_roll = -11044, I_w_pitch = -0.0000 A, I_w_roll = -0.3040 A, theta_roll_comp = -30.3930 mrad, theta_setpoint = -36.1366 mrad, 
msg =  454, time steps =   10, qsz =    2, switch = on, t =     9082 ms, ax =  0.6929, ay = -0.1426, az =  9.9291, gx = -0.0058 rad/s, gy = -0.0001 rad/s, gz = -0.0646 rad/s, erpm_pitch =    0, erpm_roll = -11134, I_w_pitch = -0.0000 A, I_w_roll =  0.0820 A, theta_roll_comp = -30.0776 mrad, theta_setpoint = -36.1051 mrad, 
msg =  455, time steps =   10, qsz =    2, switch = on, t =     9102 ms, ax =  0.4363, ay = -0.4303, az =  9.9854, gx = -0.0035 rad/s, gy =  0.0000 rad/s, gz = -0.0414 rad/s, erpm_pitch =    0, erpm_roll = -11134, I_w_pitch = -0.0000 A, I_w_roll = -0.3205 A, theta_roll_comp = -30.1091 mrad, theta_setpoint = -36.1051 mrad, 
msg =  456, time steps =   10, qsz =    2, switch = on, t =     9122 ms, ax =  0.4843, ay = -0.4471, az =  9.9519, gx = -0.0020 rad/s, gy =  0.0039 rad/s, gz =  0.0616 rad/s, erpm_pitch =    0, erpm_roll = -11313, I_w_pitch = -0.0000 A, I_w_roll = -0.5498 A, theta_roll_comp = -30.4104 mrad, theta_setpoint = -36.0425 mrad, 
msg =  457, time steps =   10, qsz =    2, switch = on, t =     9142 ms, ax =  0.7144, ay = -0.1486, az =  9.8440, gx = -0.0035 rad/s, gy =  0.0039 rad/s, gz =  0.0414 rad/s, erpm_pitch =    0, erpm_roll = -11313, I_w_pitch = -0.0000 A, I_w_roll = -0.2707 A, theta_roll_comp = -30.3575 mrad, theta_setpoint = -36.0425 mrad, 
msg =  458, time steps =   10, qsz =    2, switch = on, t =     9162 ms, ax =  0.7073, ay = -0.1367, az =  9.9327, gx = -0.0039 rad/s, gy = -0.0004 rad/s, gz = -0.0571 rad/s, erpm_pitch =    0, erpm_roll = -11471, I_w_pitch = -0.0000 A, I_w_roll = -0.2279 A, theta_roll_comp = -30.1200 mrad, theta_setpoint = -35.9872 mrad, 
msg =  459, time steps =   10, qsz =    2, switch = on, t =     9182 ms, ax =  0.4495, ay = -0.5346, az = 10.0010, gx = -0.0009 rad/s, gy = -0.0002 rad/s, gz = -0.0326 rad/s, erpm_pitch =    0, erpm_roll = -11541, I_w_pitch = -0.0000 A, I_w_roll = -0.7510 A, theta_roll_comp = -30.2717 mrad, theta_setpoint = -35.9627 mrad, 
msg =  460, time steps =   10, qsz =    2, switch = on, t =     9202 ms, ax =  0.3668, ay = -0.5334, az =  9.9591, gx =  0.0011 rad/s, gy =  0.0027 rad/s, gz =  0.0543 rad/s, erpm_pitch =    0, erpm_roll = -11541, I_w_pitch = -0.0000 A, I_w_roll = -1.0488 A, theta_roll_comp = -30.6576 mrad, theta_setpoint = -35.9627 mrad, 
msg =  461, time steps =   10, qsz =    2, switch = on, t =     9222 ms, ax =  0.6641, ay = -0.1594, az =  9.8608, gx =  0.0010 rad/s, gy =  0.0035 rad/s, gz =  0.0254 rad/s, erpm_pitch =    0, erpm_roll = -11656, I_w_pitch = -0.0000 A, I_w_roll = -1.0276 A, theta_roll_comp = -30.5998 mrad, theta_setpoint = -35.9225 mrad, 
msg =  462, time steps =   10, qsz =    2, switch = on, t =     9242 ms, ax =  0.6917, ay = -0.1894, az =  9.9387, gx =  0.0032 rad/s, gy = -0.0006 rad/s, gz = -0.0506 rad/s, erpm_pitch =    0, erpm_roll = -11656, I_w_pitch = -0.0000 A, I_w_roll = -1.4882 A, theta_roll_comp = -30.2680 mrad, theta_setpoint = -35.9225 mrad, 
msg =  463, time steps =   10, qsz =    2, switch = on, t =     9262 ms, ax =  0.4651, ay = -0.5059, az =  9.9998, gx =  0.0072 rad/s, gy =  0.0003 rad/s, gz = -0.0113 rad/s, erpm_pitch =    0, erpm_roll = -11724, I_w_pitch = -0.0000 A, I_w_roll = -2.1907 A, theta_roll_comp = -30.3474 mrad, theta_setpoint = -35.8987 mrad, 
msg =  464, time steps =   10, qsz =    2, switch = on, t =     9282 ms, ax =  0.5226, ay = -0.4639, az =  9.9219, gx =  0.0092 rad/s, gy =  0.0038 rad/s, gz =  0.0466 rad/s, erpm_pitch =    0, erpm_roll = -11750, I_w_pitch = -0.0000 A, I_w_roll = -2.5181 A, theta_roll_comp = -30.5392 mrad, theta_setpoint = -35.8896 mrad, 
msg =  465, time steps =   10, qsz =    2, switch = on, t =     9302 ms, ax =  0.7001, ay = -0.1978, az =  9.8644, gx =  0.0106 rad/s, gy =  0.0028 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -11750, I_w_pitch = -0.0000 A, I_w_roll = -2.8003 A, theta_roll_comp = -30.2733 mrad, theta_setpoint = -35.8896 mrad, 
msg =  466, time steps =   10, qsz =    2, switch = on, t =     9322 ms, ax =  0.6641, ay = -0.2793, az =  9.9878, gx =  0.0147 rad/s, gy = -0.0002 rad/s, gz = -0.0429 rad/s, erpm_pitch =    0, erpm_roll = -11776, I_w_pitch = -0.0000 A, I_w_roll = -3.6105 A, theta_roll_comp = -29.8441 mrad, theta_setpoint = -35.8805 mrad, 
msg =  467, time steps =   10, qsz =    2, switch = on, t =     9342 ms, ax =  0.4447, ay = -0.5035, az = 10.0298, gx =  0.0192 rad/s, gy =  0.0022 rad/s, gz =  0.0134 rad/s, erpm_pitch =    0, erpm_roll = -11776, I_w_pitch = -0.0000 A, I_w_roll = -4.4367 A, theta_roll_comp = -29.7738 mrad, theta_setpoint = -35.8805 mrad, 
msg =  468, time steps =   10, qsz =    2, switch = on, t =     9362 ms, ax =  0.5994, ay = -0.3105, az =  9.8871, gx =  0.0215 rad/s, gy =  0.0044 rad/s, gz =  0.0362 rad/s, erpm_pitch =    0, erpm_roll = -11781, I_w_pitch = -0.0000 A, I_w_roll = -4.8754 A, theta_roll_comp = -29.5766 mrad, theta_setpoint = -35.8787 mrad, 
msg =  469, time steps =   10, qsz =    2, switch = on, t =     9382 ms, ax =  0.6593, ay = -0.2158, az =  9.8524, gx =  0.0239 rad/s, gy =  0.0022 rad/s, gz = -0.0244 rad/s, erpm_pitch =    0, erpm_roll = -11778, I_w_pitch = -0.0000 A, I_w_roll = -5.4007 A, theta_roll_comp = -28.9904 mrad, theta_setpoint = -35.8798 mrad, 
msg =  470, time steps =   10, qsz =    2, switch = on, t =     9402 ms, ax =  0.5478, ay = -0.4255, az =  9.9591, gx =  0.0285 rad/s, gy =  0.0014 rad/s, gz = -0.0312 rad/s, erpm_pitch =    0, erpm_roll = -11778, I_w_pitch = -0.0000 A, I_w_roll = -6.3190 A, theta_roll_comp = -28.4945 mrad, theta_setpoint = -35.8798 mrad, 
msg =  471, time steps =   10, qsz =    2, switch = on, t =     9422 ms, ax =  0.4843, ay = -0.4519, az = 10.0010, gx =  0.0331 rad/s, gy =  0.0036 rad/s, gz =  0.0337 rad/s, erpm_pitch =    0, erpm_roll = -11771, I_w_pitch = -0.0000 A, I_w_roll = -7.1857 A, theta_roll_comp = -28.1728 mrad, theta_setpoint = -35.8822 mrad, 
msg =  472, time steps =   10, qsz =    2, switch = on, t =     9442 ms, ax =  0.6557, ay = -0.2230, az =  9.8835, gx =  0.0356 rad/s, gy =  0.0042 rad/s, gz =  0.0186 rad/s, erpm_pitch =    0, erpm_roll = -11765, I_w_pitch = -0.0000 A, I_w_roll = -7.7387 A, theta_roll_comp = -27.5649 mrad, theta_setpoint = -35.8843 mrad, 
msg =  473, time steps =   10, qsz =    2, switch = on, t =     9462 ms, ax =  0.6557, ay = -0.2206, az =  9.9147, gx =  0.0375 rad/s, gy =  0.0015 rad/s, gz = -0.0406 rad/s, erpm_pitch =    0, erpm_roll = -11765, I_w_pitch = -0.0000 A, I_w_roll = -8.2147 A, theta_roll_comp = -26.6873 mrad, theta_setpoint = -35.8843 mrad, 
msg =  474, time steps =   10, qsz =    2, switch = on, t =     9482 ms, ax =  0.4999, ay = -0.4411, az =  9.9734, gx =  0.0425 rad/s, gy =  0.0012 rad/s, gz = -0.0146 rad/s, erpm_pitch =    0, erpm_roll = -11761, I_w_pitch = -0.0000 A, I_w_roll = -9.2280 A, theta_roll_comp = -26.0477 mrad, theta_setpoint = -35.8857 mrad, 
msg =  475, time steps =   10, qsz =    2, switch = on, t =     9502 ms, ax =  0.5167, ay = -0.3932, az =  9.9746, gx =  0.0482 rad/s, gy =  0.0032 rad/s, gz =  0.0442 rad/s, erpm_pitch =    0, erpm_roll = -11761, I_w_pitch = -0.0000 A, I_w_roll = -10.3529 A, theta_roll_comp = -25.4588 mrad, theta_setpoint = -35.8857 mrad, 
msg =  476, time steps =   10, qsz =    2, switch = on, t =     9522 ms, ax =  0.7276, ay = -0.0983, az =  9.9051, gx =  0.0474 rad/s, gy =  0.0042 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = -11757, I_w_pitch = -0.0000 A, I_w_roll = -10.3752 A, theta_roll_comp = -24.4218 mrad, theta_setpoint = -35.8871 mrad, 
msg =  477, time steps =   10, qsz =    2, switch = on, t =     9542 ms, ax =  0.7144, ay = -0.0156, az =  9.9734, gx =  0.0459 rad/s, gy =  0.0043 rad/s, gz = -0.0423 rad/s, erpm_pitch =    0, erpm_roll = -11756, I_w_pitch = -0.0000 A, I_w_roll = -10.3016 A, theta_roll_comp = -23.0847 mrad, theta_setpoint = -35.8875 mrad, 
msg =  478, time steps =   10, qsz =    2, switch = on, t =     9562 ms, ax =  0.4843, ay = -0.2170, az =  9.9818, gx =  0.0489 rad/s, gy =  0.0059 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll = -11756, I_w_pitch = -0.0000 A, I_w_roll = -11.0316 A, theta_roll_comp = -21.9674 mrad, theta_setpoint = -35.8875 mrad, 
msg =  479, time steps =   10, qsz =    2, switch = on, t =     9582 ms, ax =  0.4399, ay = -0.1379, az =  9.9171, gx =  0.0496 rad/s, gy =  0.0062 rad/s, gz =  0.0254 rad/s, erpm_pitch =    0, erpm_roll = -11757, I_w_pitch = -0.0000 A, I_w_roll = -11.3286 A, theta_roll_comp = -20.8596 mrad, theta_setpoint = -35.8871 mrad, 
