picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  262, time steps =   10, qsz =    2, switch = on, t =     5242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2733, az =  9.9890, gx = -0.0041 rad/s, gy = -0.0009 rad/s, gz = -0.0474 rad/s, erpm_pitch =    0, erpm_roll = -11368, I_w_pitch = -0.0000 A, I_w_roll = -0.1513 A, theta_roll_comp = -34.4618 mrad 
msg =  441, time steps =   10, qsz =    2, switch = on, t =     8822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5706, ay = -0.4855, az =  9.9291, gx = -0.0061 rad/s, gy =  0.0036 rad/s, gz =  0.0169 rad/s, erpm_pitch =    0, erpm_roll = 8043, I_w_pitch = -0.0000 A, I_w_roll =  3.0225 A, theta_roll_comp = -52.0516 mrad 
msg =  442, time steps =   10, qsz =    2, switch = on, t =     8842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5910, ay = -0.4963, az =  9.9267, gx = -0.0059 rad/s, gy =  0.0026 rad/s, gz =  0.0106 rad/s, erpm_pitch =    0, erpm_roll = 8043, I_w_pitch = -0.0000 A, I_w_roll =  3.0075 A, theta_roll_comp = -52.1075 mrad 
msg =  443, time steps =   10, qsz =    2, switch = on, t =     8862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5898, ay = -0.4244, az =  9.8859, gx = -0.0069 rad/s, gy =  0.0016 rad/s, gz = -0.0101 rad/s, erpm_pitch =    0, erpm_roll = 8165, I_w_pitch = -0.0000 A, I_w_roll =  3.1666 A, theta_roll_comp = -52.0529 mrad 
msg =  444, time steps =   10, qsz =    2, switch = on, t =     8882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6641, ay = -0.3728, az =  9.9303, gx = -0.0081 rad/s, gy =  0.0007 rad/s, gz = -0.0174 rad/s, erpm_pitch =    0, erpm_roll = 8165, I_w_pitch = -0.0000 A, I_w_roll =  3.3669 A, theta_roll_comp = -51.9571 mrad 
msg =  445, time steps =   10, qsz =    2, switch = on, t =     8902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4951, ay = -0.5047, az =  9.9674, gx = -0.0074 rad/s, gy =  0.0010 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = 8294, I_w_pitch = -0.0000 A, I_w_roll =  3.2582 A, theta_roll_comp = -52.0267 mrad 
msg =  446, time steps =   10, qsz =    2, switch = on, t =     8922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4747, ay = -0.5191, az =  9.9243, gx = -0.0071 rad/s, gy =  0.0015 rad/s, gz =  0.0194 rad/s, erpm_pitch =    0, erpm_roll = 8356, I_w_pitch = -0.0000 A, I_w_roll =  3.2407 A, theta_roll_comp = -52.2169 mrad 
msg =  447, time steps =   10, qsz =    2, switch = on, t =     8942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6149, ay = -0.4495, az =  9.8763, gx = -0.0065 rad/s, gy =  0.0011 rad/s, gz =  0.0194 rad/s, erpm_pitch =    0, erpm_roll = 8356, I_w_pitch = -0.0000 A, I_w_roll =  3.1312 A, theta_roll_comp = -52.2815 mrad 
msg =  448, time steps =   10, qsz =    2, switch = on, t =     8962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6389, ay = -0.3656, az =  9.9039, gx = -0.0065 rad/s, gy =  0.0008 rad/s, gz = -0.0043 rad/s, erpm_pitch =    0, erpm_roll = 8493, I_w_pitch = -0.0000 A, I_w_roll =  3.1186 A, theta_roll_comp = -52.2026 mrad 
msg =  449, time steps =   10, qsz =    2, switch = on, t =     8982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5418, ay = -0.3608, az =  9.9399, gx = -0.0075 rad/s, gy =  0.0006 rad/s, gz = -0.0204 rad/s, erpm_pitch =    0, erpm_roll = 8629, I_w_pitch = -0.0000 A, I_w_roll =  3.2937 A, theta_roll_comp = -52.0987 mrad 
msg =  450, time steps =   10, qsz =    2, switch = on, t =     9002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6149, ay = -0.5095, az =  9.9423, gx = -0.0077 rad/s, gy =  0.0006 rad/s, gz = -0.0080 rad/s, erpm_pitch =    0, erpm_roll = 8629, I_w_pitch = -0.0000 A, I_w_roll =  3.3136 A, theta_roll_comp = -52.0732 mrad 
msg =  451, time steps =   10, qsz =    2, switch = on, t =     9022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.4747, az =  9.9303, gx = -0.0073 rad/s, gy =  0.0015 rad/s, gz =  0.0204 rad/s, erpm_pitch =    0, erpm_roll = 8695, I_w_pitch = -0.0000 A, I_w_roll =  3.2612 A, theta_roll_comp = -52.1953 mrad 
msg =  452, time steps =   10, qsz =    2, switch = on, t =     9042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.4771, az =  9.9123, gx = -0.0063 rad/s, gy =  0.0028 rad/s, gz =  0.0232 rad/s, erpm_pitch =    0, erpm_roll = 8695, I_w_pitch = -0.0000 A, I_w_roll =  3.1070 A, theta_roll_comp = -52.2801 mrad 
msg =  453, time steps =   10, qsz =    2, switch = on, t =     9062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6341, ay = -0.3548, az =  9.8991, gx = -0.0074 rad/s, gy =  0.0018 rad/s, gz = -0.0060 rad/s, erpm_pitch =    0, erpm_roll = 8827, I_w_pitch = -0.0000 A, I_w_roll =  3.2896 A, theta_roll_comp = -52.2224 mrad 
msg =  454, time steps =   10, qsz =    2, switch = on, t =     9082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6629, ay = -0.4028, az =  9.9063, gx = -0.0087 rad/s, gy =  0.0003 rad/s, gz = -0.0274 rad/s, erpm_pitch =    0, erpm_roll = 8892, I_w_pitch = -0.0000 A, I_w_roll =  3.5069 A, theta_roll_comp = -52.0830 mrad 
msg =  455, time steps =   10, qsz =    2, switch = on, t =     9102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4855, ay = -0.5394, az =  9.9662, gx = -0.0081 rad/s, gy =  0.0015 rad/s, gz = -0.0069 rad/s, erpm_pitch =    0, erpm_roll = 8892, I_w_pitch = -0.0000 A, I_w_roll =  3.3982 A, theta_roll_comp = -52.1523 mrad 
msg =  456, time steps =   10, qsz =    2, switch = on, t =     9122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4903, ay = -0.5562, az =  9.9483, gx = -0.0074 rad/s, gy =  0.0026 rad/s, gz =  0.0298 rad/s, erpm_pitch =    0, erpm_roll = 9023, I_w_pitch = -0.0000 A, I_w_roll =  3.3098 A, theta_roll_comp = -52.3489 mrad 
msg =  457, time steps =   10, qsz =    2, switch = on, t =     9142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6185, ay = -0.4711, az =  9.8907, gx = -0.0071 rad/s, gy =  0.0020 rad/s, gz =  0.0280 rad/s, erpm_pitch =    0, erpm_roll = 9023, I_w_pitch = -0.0000 A, I_w_roll =  3.2827 A, theta_roll_comp = -52.4791 mrad 
msg =  458, time steps =   10, qsz =    2, switch = on, t =     9162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6365, ay = -0.3249, az =  9.9015, gx = -0.0075 rad/s, gy =  0.0007 rad/s, gz = -0.0143 rad/s, erpm_pitch =    0, erpm_roll = 9154, I_w_pitch = -0.0000 A, I_w_roll =  3.3333 A, theta_roll_comp = -52.3460 mrad 
msg =  459, time steps =   10, qsz =    2, switch = on, t =     9182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4579, ay = -0.4867, az =  9.9267, gx = -0.0087 rad/s, gy =  0.0000 rad/s, gz = -0.0370 rad/s, erpm_pitch =    0, erpm_roll = 9218, I_w_pitch = -0.0000 A, I_w_roll =  3.5417 A, theta_roll_comp = -52.3003 mrad 
msg =  460, time steps =   10, qsz =    2, switch = on, t =     9202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4867, ay = -0.4987, az =  9.9890, gx = -0.0094 rad/s, gy =  0.0012 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = 9218, I_w_pitch = -0.0000 A, I_w_roll =  3.6868 A, theta_roll_comp = -52.4580 mrad 
msg =  461, time steps =   10, qsz =    2, switch = on, t =     9222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5682, ay = -0.5406, az =  9.9495, gx = -0.0081 rad/s, gy =  0.0036 rad/s, gz =  0.0409 rad/s, erpm_pitch =    0, erpm_roll = 9343, I_w_pitch = -0.0000 A, I_w_roll =  3.4813 A, theta_roll_comp = -52.6719 mrad 
msg =  462, time steps =   10, qsz =    2, switch = on, t =     9242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.3416, az =  9.9051, gx = -0.0091 rad/s, gy =  0.0034 rad/s, gz =  0.0209 rad/s, erpm_pitch =    0, erpm_roll = 9343, I_w_pitch = -0.0000 A, I_w_roll =  3.6752 A, theta_roll_comp = -52.6855 mrad 
msg =  463, time steps =   10, qsz =    2, switch = on, t =     9262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5994, ay = -0.3476, az =  9.8787, gx = -0.0106 rad/s, gy =  0.0003 rad/s, gz = -0.0313 rad/s, erpm_pitch =    0, erpm_roll = 9468, I_w_pitch = -0.0000 A, I_w_roll =  3.9151 A, theta_roll_comp = -52.5367 mrad 
msg =  464, time steps =   10, qsz =    2, switch = on, t =     9282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4651, ay = -0.4879, az =  9.9830, gx = -0.0106 rad/s, gy =  0.0002 rad/s, gz = -0.0368 rad/s, erpm_pitch =    0, erpm_roll = 9530, I_w_pitch = -0.0000 A, I_w_roll =  3.9095 A, theta_roll_comp = -52.5018 mrad 
msg =  465, time steps =   10, qsz =    2, switch = on, t =     9302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4591, ay = -0.6365, az =  9.9938, gx = -0.0093 rad/s, gy =  0.0023 rad/s, gz =  0.0217 rad/s, erpm_pitch =    0, erpm_roll = 9530, I_w_pitch = -0.0000 A, I_w_roll =  3.7252 A, theta_roll_comp = -52.8482 mrad 
msg =  466, time steps =   10, qsz =    2, switch = on, t =     9322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6377, ay = -0.4843, az =  9.8919, gx = -0.0093 rad/s, gy =  0.0035 rad/s, gz =  0.0514 rad/s, erpm_pitch =    0, erpm_roll = 9659, I_w_pitch = -0.0000 A, I_w_roll =  3.7624 A, theta_roll_comp = -53.0807 mrad 
msg =  467, time steps =   10, qsz =    2, switch = on, t =     9342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7073, ay = -0.3225, az =  9.8656, gx = -0.0109 rad/s, gy =  0.0007 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 9659, I_w_pitch = -0.0000 A, I_w_roll =  4.0362 A, theta_roll_comp = -52.9943 mrad 
msg =  468, time steps =   10, qsz =    2, switch = on, t =     9362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5694, ay = -0.4040, az =  9.9183, gx = -0.0121 rad/s, gy = -0.0020 rad/s, gz = -0.0529 rad/s, erpm_pitch =    0, erpm_roll = 9863, I_w_pitch = -0.0000 A, I_w_roll =  4.2324 A, theta_roll_comp = -52.8720 mrad 
msg =  469, time steps =   10, qsz =    2, switch = on, t =     9382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4975, ay = -0.6137, az = 10.0010, gx = -0.0111 rad/s, gy =  0.0004 rad/s, gz = -0.0181 rad/s, erpm_pitch =    0, erpm_roll = 9867, I_w_pitch = -0.0000 A, I_w_roll =  4.0939 A, theta_roll_comp = -53.0553 mrad 
msg =  470, time steps =   10, qsz =    2, switch = on, t =     9402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5310, ay = -0.6185, az =  9.9842, gx = -0.0098 rad/s, gy =  0.0038 rad/s, gz =  0.0499 rad/s, erpm_pitch =    0, erpm_roll = 9867, I_w_pitch = -0.0000 A, I_w_roll =  3.9189 A, theta_roll_comp = -53.4596 mrad 
msg =  471, time steps =   10, qsz =    2, switch = on, t =     9422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6737, ay = -0.3440, az =  9.8823, gx = -0.0103 rad/s, gy =  0.0038 rad/s, gz =  0.0409 rad/s, erpm_pitch =    0, erpm_roll = 10005, I_w_pitch = -0.0000 A, I_w_roll =  4.0210 A, theta_roll_comp = -53.4982 mrad 
msg =  472, time steps =   10, qsz =    2, switch = on, t =     9442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5358, ay = -0.2877, az =  9.8560, gx = -0.0130 rad/s, gy =  0.0007 rad/s, gz = -0.0372 rad/s, erpm_pitch =    0, erpm_roll = 10077, I_w_pitch = -0.0000 A, I_w_roll =  4.4624 A, theta_roll_comp = -53.2612 mrad 
msg =  473, time steps =   10, qsz =    2, switch = on, t =     9462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4831, ay = -0.5610, az =  9.9626, gx = -0.0134 rad/s, gy = -0.0017 rad/s, gz = -0.0566 rad/s, erpm_pitch =    0, erpm_roll = 10077, I_w_pitch = -0.0000 A, I_w_roll =  4.5508 A, theta_roll_comp = -53.3644 mrad 
msg =  474, time steps =   10, qsz =    2, switch = on, t =     9482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4399, ay = -0.6617, az = 10.0502, gx = -0.0105 rad/s, gy =  0.0019 rad/s, gz =  0.0258 rad/s, erpm_pitch =    0, erpm_roll = 10218, I_w_pitch = -0.0000 A, I_w_roll =  4.0899 A, theta_roll_comp = -53.7793 mrad 
msg =  475, time steps =   10, qsz =    2, switch = on, t =     9502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6401, ay = -0.4879, az =  9.8823, gx = -0.0106 rad/s, gy =  0.0054 rad/s, gz =  0.0691 rad/s, erpm_pitch =    0, erpm_roll = 10218, I_w_pitch = -0.0000 A, I_w_roll =  4.1648 A, theta_roll_comp = -54.0975 mrad 
msg =  476, time steps =   10, qsz =    2, switch = on, t =     9522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6773, ay = -0.2350, az =  9.8128, gx = -0.0130 rad/s, gy =  0.0014 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 10365, I_w_pitch = -0.0000 A, I_w_roll =  4.5615 A, theta_roll_comp = -53.8803 mrad 
msg =  477, time steps =   10, qsz =    2, switch = on, t =     9542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay = -0.4184, az =  9.9950, gx = -0.0139 rad/s, gy = -0.0024 rad/s, gz = -0.0731 rad/s, erpm_pitch =    0, erpm_roll = 10442, I_w_pitch = -0.0000 A, I_w_roll =  4.7031 A, theta_roll_comp = -53.7171 mrad 
msg =  478, time steps =   10, qsz =    2, switch = on, t =     9562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4160, ay = -0.7600, az = 10.0478, gx = -0.0117 rad/s, gy =  0.0003 rad/s, gz = -0.0083 rad/s, erpm_pitch =    0, erpm_roll = 10442, I_w_pitch = -0.0000 A, I_w_roll =  4.3573 A, theta_roll_comp = -54.1022 mrad 
msg =  479, time steps =   10, qsz =    2, switch = on, t =     9582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5358, ay = -0.5262, az =  9.9495, gx = -0.0118 rad/s, gy =  0.0054 rad/s, gz =  0.0744 rad/s, erpm_pitch =    0, erpm_roll = 10594, I_w_pitch = -0.0000 A, I_w_roll =  4.4577 A, theta_roll_comp = -54.5798 mrad 
msg =  480, time steps =   10, qsz =    2, switch = on, t =     9602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6233, ay = -0.3057, az =  9.8236, gx = -0.0137 rad/s, gy =  0.0039 rad/s, gz =  0.0260 rad/s, erpm_pitch =    0, erpm_roll = 10594, I_w_pitch = -0.0000 A, I_w_roll =  4.7872 A, theta_roll_comp = -54.5422 mrad 
msg =  481, time steps =   10, qsz =    2, switch = on, t =     9622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6221, ay = -0.4100, az =  9.9123, gx = -0.0146 rad/s, gy = -0.0029 rad/s, gz = -0.0688 rad/s, erpm_pitch =    0, erpm_roll = 10759, I_w_pitch = -0.0000 A, I_w_roll =  4.9207 A, theta_roll_comp = -54.3279 mrad 
msg =  482, time steps =   10, qsz =    2, switch = on, t =     9642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4519, ay = -0.7684, az = 10.0573, gx = -0.0118 rad/s, gy = -0.0008 rad/s, gz = -0.0352 rad/s, erpm_pitch =    0, erpm_roll = 10845, I_w_pitch = -0.0000 A, I_w_roll =  4.4805 A, theta_roll_comp = -54.7226 mrad 
msg =  483, time steps =   10, qsz =    2, switch = on, t =     9662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5143, ay = -0.6641, az =  9.9986, gx = -0.0113 rad/s, gy =  0.0055 rad/s, gz =  0.0639 rad/s, erpm_pitch =    0, erpm_roll = 10845, I_w_pitch = -0.0000 A, I_w_roll =  4.4840 A, theta_roll_comp = -55.3434 mrad 
msg =  484, time steps =   10, qsz =    2, switch = on, t =     9682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7073, ay = -0.3189, az =  9.8020, gx = -0.0142 rad/s, gy =  0.0039 rad/s, gz =  0.0423 rad/s, erpm_pitch =    0, erpm_roll = 11023, I_w_pitch = -0.0000 A, I_w_roll =  5.0168 A, theta_roll_comp = -55.3782 mrad 
msg =  485, time steps =   10, qsz =    2, switch = on, t =     9702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6665, ay = -0.3896, az =  9.8068, gx = -0.0143 rad/s, gy = -0.0028 rad/s, gz = -0.0530 rad/s, erpm_pitch =    0, erpm_roll = 11023, I_w_pitch = -0.0000 A, I_w_roll =  4.9999 A, theta_roll_comp = -55.1224 mrad 
msg =  486, time steps =   10, qsz =    2, switch = on, t =     9722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4291, ay = -0.7049, az = 10.0070, gx = -0.0119 rad/s, gy = -0.0006 rad/s, gz = -0.0410 rad/s, erpm_pitch =    0, erpm_roll = 11207, I_w_pitch = -0.0000 A, I_w_roll =  4.6189 A, theta_roll_comp = -55.4376 mrad 
msg =  487, time steps =   10, qsz =    2, switch = on, t =     9742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5202, ay = -0.5910, az = 10.0502, gx = -0.0129 rad/s, gy =  0.0063 rad/s, gz =  0.0507 rad/s, erpm_pitch =    0, erpm_roll = 11291, I_w_pitch = -0.0000 A, I_w_roll =  4.8675 A, theta_roll_comp = -55.9427 mrad 
msg =  488, time steps =   10, qsz =    2, switch = on, t =     9762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7840, ay = -0.3045, az =  9.8727, gx = -0.0157 rad/s, gy =  0.0035 rad/s, gz =  0.0403 rad/s, erpm_pitch =    0, erpm_roll = 11291, I_w_pitch = -0.0000 A, I_w_roll =  5.3678 A, theta_roll_comp = -55.9242 mrad 
msg =  489, time steps =   10, qsz =    2, switch = on, t =     9782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.4327, az =  9.8739, gx = -0.0158 rad/s, gy = -0.0024 rad/s, gz = -0.0406 rad/s, erpm_pitch =    0, erpm_roll = 11452, I_w_pitch = -0.0000 A, I_w_roll =  5.3713 A, theta_roll_comp = -55.7959 mrad 
msg =  490, time steps =   10, qsz =    2, switch = on, t =     9802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3824, ay = -0.7061, az = 10.0010, gx = -0.0157 rad/s, gy = -0.0004 rad/s, gz = -0.0282 rad/s, erpm_pitch =    0, erpm_roll = 11452, I_w_pitch = -0.0000 A, I_w_roll =  5.3951 A, theta_roll_comp = -56.0945 mrad 
msg =  491, time steps =   10, qsz =    2, switch = on, t =     9822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5274, ay = -0.4615, az =  9.9854, gx = -0.0186 rad/s, gy =  0.0047 rad/s, gz =  0.0407 rad/s, erpm_pitch =    0, erpm_roll = 11582, I_w_pitch = -0.0000 A, I_w_roll =  5.9895 A, theta_roll_comp = -56.5143 mrad 
msg =  492, time steps =   10, qsz =    2, switch = on, t =     9842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6257, ay = -0.2014, az =  9.9171, gx = -0.0223 rad/s, gy =  0.0028 rad/s, gz =  0.0201 rad/s, erpm_pitch =    0, erpm_roll = 11634, I_w_pitch = -0.0000 A, I_w_roll =  6.6570 A, theta_roll_comp = -56.4912 mrad 
msg =  493, time steps =   10, qsz =    2, switch = on, t =     9862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5298, ay = -0.4375, az =  9.9734, gx = -0.0233 rad/s, gy = -0.0013 rad/s, gz = -0.0342 rad/s, erpm_pitch =    0, erpm_roll = 11634, I_w_pitch = -0.0000 A, I_w_roll =  6.8260 A, theta_roll_comp = -56.4992 mrad 
msg =  494, time steps =   10, qsz =    2, switch = on, t =     9882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4759, ay = -0.6401, az =  9.9435, gx = -0.0255 rad/s, gy =  0.0012 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11705, I_w_pitch = -0.0000 A, I_w_roll =  7.3034 A, theta_roll_comp = -56.9365 mrad 
msg =  495, time steps =   10, qsz =    2, switch = on, t =     9902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6257, ay = -0.3105, az =  9.8859, gx = -0.0307 rad/s, gy =  0.0035 rad/s, gz =  0.0342 rad/s, erpm_pitch =    0, erpm_roll = 11728, I_w_pitch = -0.0000 A, I_w_roll =  8.2998 A, theta_roll_comp = -57.3214 mrad 
msg =  496, time steps =   10, qsz =    2, switch = on, t =     9922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6185, ay = -0.2541, az =  9.9003, gx = -0.0339 rad/s, gy =  0.0000 rad/s, gz = -0.0081 rad/s, erpm_pitch =    0, erpm_roll = 11728, I_w_pitch = -0.0000 A, I_w_roll =  8.8933 A, theta_roll_comp = -57.4360 mrad 
msg =  497, time steps =   10, qsz =    2, switch = on, t =     9942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4747, ay = -0.5274, az =  9.9962, gx = -0.0364 rad/s, gy = -0.0010 rad/s, gz = -0.0281 rad/s, erpm_pitch =    0, erpm_roll = 11750, I_w_pitch = -0.0000 A, I_w_roll =  9.4091 A, theta_roll_comp = -57.8137 mrad 
msg =  498, time steps =   10, qsz =    2, switch = on, t =     9962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4867, ay = -0.5670, az =  9.9638, gx = -0.0406 rad/s, gy =  0.0026 rad/s, gz =  0.0230 rad/s, erpm_pitch =    0, erpm_roll = 11750, I_w_pitch = -0.0000 A, I_w_roll = 10.2705 A, theta_roll_comp = -58.5535 mrad 
msg =  499, time steps =   10, qsz =    2, switch = on, t =     9982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6197, ay = -0.2709, az =  9.8320, gx = -0.0450 rad/s, gy =  0.0020 rad/s, gz =  0.0270 rad/s, erpm_pitch =    0, erpm_roll = 11760, I_w_pitch = -0.0000 A, I_w_roll = 11.1388 A, theta_roll_comp = -59.0369 mrad 
