picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  612, time steps =   10, qsz =    2, switch = on, t =    12242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5658, ay =  0.0863, az =  9.9615, gx = -0.1201 rad/s, gy = -0.0105 rad/s, gz =  0.0558 rad/s, erpm_pitch =    0, erpm_roll = -11427, I_w_pitch = -0.0000 A, I_w_roll = 14.3236 A, theta_roll_comp =  5.5443 mrad 
msg =  613, time steps =   10, qsz =    2, switch = on, t =    12262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6161, ay = -0.0707, az =  9.8811, gx = -0.1280 rad/s, gy = -0.0076 rad/s, gz =  0.0190 rad/s, erpm_pitch =    0, erpm_roll = -11427, I_w_pitch = -0.0000 A, I_w_roll = 16.1880 A, theta_roll_comp =  2.8798 mrad 
msg =  614, time steps =   10, qsz =    2, switch = on, t =    12282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.7264, ay = -0.1510, az =  9.9674, gx = -0.1286 rad/s, gy = -0.0053 rad/s, gz = -0.0137 rad/s, erpm_pitch =    0, erpm_roll = -10835, I_w_pitch = -0.0000 A, I_w_roll = 16.7500 A, theta_roll_comp = -0.0334 mrad 
msg =  615, time steps =   10, qsz =    2, switch = on, t =    12302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6725, ay = -0.4531, az =  9.9914, gx = -0.1129 rad/s, gy = -0.0042 rad/s, gz =  0.0145 rad/s, erpm_pitch =    0, erpm_roll = -10398, I_w_pitch = -0.0000 A, I_w_roll = 14.4178 A, theta_roll_comp = -3.1339 mrad 
msg =  616, time steps =   10, qsz =    2, switch = on, t =    12322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay = -0.5814, az =  9.9411, gx = -0.1031 rad/s, gy = -0.0014 rad/s, gz =  0.0435 rad/s, erpm_pitch =    0, erpm_roll = -10398, I_w_pitch = -0.0000 A, I_w_roll = 13.1652 A, theta_roll_comp = -6.2401 mrad 
msg =  617, time steps =   10, qsz =    2, switch = on, t =    12342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6449, ay = -0.5730, az =  9.9003, gx = -0.0972 rad/s, gy =  0.0020 rad/s, gz =  0.0154 rad/s, erpm_pitch =    0, erpm_roll = -9295, I_w_pitch = -0.0000 A, I_w_roll = 12.5871 A, theta_roll_comp = -9.3680 mrad 
msg =  618, time steps =   10, qsz =    2, switch = on, t =    12362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.6449, az =  9.9998, gx = -0.0781 rad/s, gy =  0.0006 rad/s, gz = -0.0194 rad/s, erpm_pitch =    0, erpm_roll = -9295, I_w_pitch = -0.0000 A, I_w_roll =  9.6099 A, theta_roll_comp = -12.1817 mrad 
msg =  619, time steps =   10, qsz =    2, switch = on, t =    12382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4783, ay = -0.7972, az = 10.0825, gx = -0.0569 rad/s, gy =  0.0019 rad/s, gz = -0.0093 rad/s, erpm_pitch =    0, erpm_roll = -8008, I_w_pitch = -0.0000 A, I_w_roll =  6.2051 A, theta_roll_comp = -14.7195 mrad 
msg =  620, time steps =   10, qsz =    2, switch = on, t =    12402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5706, ay = -0.8235, az =  9.9291, gx = -0.0464 rad/s, gy =  0.0018 rad/s, gz =  0.0193 rad/s, erpm_pitch =    0, erpm_roll = -7331, I_w_pitch = -0.0000 A, I_w_roll =  4.6890 A, theta_roll_comp = -17.0780 mrad 
msg =  621, time steps =   10, qsz =    2, switch = on, t =    12422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6293, ay = -0.6365, az =  9.8979, gx = -0.0340 rad/s, gy =  0.0014 rad/s, gz =  0.0218 rad/s, erpm_pitch =    0, erpm_roll = -7331, I_w_pitch = -0.0000 A, I_w_roll =  2.7424 A, theta_roll_comp = -18.8433 mrad 
msg =  622, time steps =   10, qsz =    2, switch = on, t =    12442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6317, ay = -0.6114, az =  9.9650, gx = -0.0153 rad/s, gy =  0.0007 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -6004, I_w_pitch = -0.0000 A, I_w_roll = -0.4313 A, theta_roll_comp = -20.1288 mrad 
msg =  623, time steps =   10, qsz =    2, switch = on, t =    12462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5454, ay = -0.6821, az = 10.0010, gx = -0.0035 rad/s, gy =  0.0014 rad/s, gz = -0.0064 rad/s, erpm_pitch =    0, erpm_roll = -5382, I_w_pitch = -0.0000 A, I_w_roll = -2.3714 A, theta_roll_comp = -21.1856 mrad 
msg =  624, time steps =   10, qsz =    2, switch = on, t =    12482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.5862, az =  9.9638, gx =  0.0035 rad/s, gy =  0.0042 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -5382, I_w_pitch = -0.0000 A, I_w_roll = -3.5197 A, theta_roll_comp = -21.9483 mrad 
msg =  625, time steps =   10, qsz =    2, switch = on, t =    12502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.4040, az =  9.9171, gx =  0.0140 rad/s, gy =  0.0035 rad/s, gz =  0.0064 rad/s, erpm_pitch =    0, erpm_roll = -4291, I_w_pitch = -0.0000 A, I_w_roll = -5.3783 A, theta_roll_comp = -22.1662 mrad 
msg =  626, time steps =   10, qsz =    2, switch = on, t =    12522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay = -0.2829, az =  9.9327, gx =  0.0219 rad/s, gy =  0.0023 rad/s, gz = -0.0041 rad/s, erpm_pitch =    0, erpm_roll = -4291, I_w_pitch = -0.0000 A, I_w_roll = -6.8240 A, theta_roll_comp = -21.9681 mrad 
msg =  627, time steps =   10, qsz =    2, switch = on, t =    12542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.2757, az =  9.9387, gx =  0.0217 rad/s, gy =  0.0040 rad/s, gz = -0.0072 rad/s, erpm_pitch =    0, erpm_roll = -3467, I_w_pitch = -0.0000 A, I_w_roll = -6.8569 A, theta_roll_comp = -21.6129 mrad 
msg =  628, time steps =   10, qsz =    2, switch = on, t =    12562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.2086, az =  9.9471, gx =  0.0225 rad/s, gy =  0.0050 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -3467, I_w_pitch = -0.0000 A, I_w_roll = -7.0818 A, theta_roll_comp = -21.1063 mrad 
msg =  629, time steps =   10, qsz =    2, switch = on, t =    12582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5826, ay = -0.1199, az =  9.9399, gx =  0.0251 rad/s, gy =  0.0040 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = -3162, I_w_pitch = -0.0000 A, I_w_roll = -7.6516 A, theta_roll_comp = -20.3911 mrad 
msg =  630, time steps =   10, qsz =    2, switch = on, t =    12602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5934, ay = -0.0887, az =  9.9195, gx =  0.0221 rad/s, gy =  0.0035 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -2741, I_w_pitch = -0.0000 A, I_w_roll = -7.2709 A, theta_roll_comp = -19.4748 mrad 
msg =  631, time steps =   10, qsz =    2, switch = on, t =    12622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5682, ay = -0.0444, az =  9.9375, gx =  0.0174 rad/s, gy =  0.0048 rad/s, gz = -0.0033 rad/s, erpm_pitch =    0, erpm_roll = -2741, I_w_pitch = -0.0000 A, I_w_roll = -6.5410 A, theta_roll_comp = -18.6438 mrad 
msg =  632, time steps =   10, qsz =    2, switch = on, t =    12642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5394, ay = -0.0491, az =  9.9267, gx =  0.0152 rad/s, gy =  0.0034 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -2511, I_w_pitch = -0.0000 A, I_w_roll = -6.2729 A, theta_roll_comp = -17.9229 mrad 
msg =  633, time steps =   10, qsz =    2, switch = on, t =    12662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5179, ay = -0.0192, az =  9.9219, gx =  0.0115 rad/s, gy =  0.0030 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -2457, I_w_pitch = -0.0000 A, I_w_roll = -5.7139 A, theta_roll_comp = -17.2219 mrad 
msg =  634, time steps =   10, qsz =    2, switch = on, t =    12682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5155, ay =  0.0551, az =  9.9507, gx =  0.0059 rad/s, gy =  0.0023 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = -2457, I_w_pitch = -0.0000 A, I_w_roll = -4.8067 A, theta_roll_comp = -16.6005 mrad 
msg =  635, time steps =   10, qsz =    2, switch = on, t =    12702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5322, ay =  0.1259, az =  9.9567, gx =  0.0016 rad/s, gy =  0.0011 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -2402, I_w_pitch = -0.0000 A, I_w_roll = -4.1322 A, theta_roll_comp = -16.0228 mrad 
msg =  636, time steps =   10, qsz =    2, switch = on, t =    12722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5250, ay =  0.0959, az =  9.9279, gx = -0.0021 rad/s, gy =  0.0007 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -2402, I_w_pitch = -0.0000 A, I_w_roll = -3.5348 A, theta_roll_comp = -15.5624 mrad 
msg =  637, time steps =   10, qsz =    2, switch = on, t =    12742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5358, ay =  0.0468, az =  9.9111, gx = -0.0073 rad/s, gy =  0.0004 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = -2401, I_w_pitch = -0.0000 A, I_w_roll = -2.6492 A, theta_roll_comp = -15.2550 mrad 
msg =  638, time steps =   10, qsz =    2, switch = on, t =    12762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5454, ay =  0.0204, az =  9.9435, gx = -0.0102 rad/s, gy =  0.0004 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = -2401, I_w_pitch = -0.0000 A, I_w_roll = -2.1527 A, theta_roll_comp = -15.0623 mrad 
msg =  639, time steps =   10, qsz =    2, switch = on, t =    12782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay =  0.0479, az =  9.9734, gx = -0.0122 rad/s, gy =  0.0003 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -2415, I_w_pitch = -0.0000 A, I_w_roll = -1.8134 A, theta_roll_comp = -14.9365 mrad 
msg =  640, time steps =   10, qsz =    2, switch = on, t =    12802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay =  0.0144, az =  9.9962, gx = -0.0143 rad/s, gy =  0.0012 rad/s, gz =  0.0049 rad/s, erpm_pitch =    0, erpm_roll = -2394, I_w_pitch = -0.0000 A, I_w_roll = -1.4260 A, theta_roll_comp = -14.9607 mrad 
msg =  641, time steps =   10, qsz =    2, switch = on, t =    12822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.0288, az =  9.9423, gx = -0.0162 rad/s, gy =  0.0020 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = -2350, I_w_pitch = -0.0000 A, I_w_roll = -1.0666 A, theta_roll_comp = -15.1100 mrad 
msg =  642, time steps =   10, qsz =    2, switch = on, t =    12842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5526, ay = -0.0599, az =  9.8991, gx = -0.0178 rad/s, gy =  0.0015 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -2350, I_w_pitch = -0.0000 A, I_w_roll = -0.7535 A, theta_roll_comp = -15.2688 mrad 
msg =  643, time steps =   10, qsz =    2, switch = on, t =    12862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.0803, az =  9.9423, gx = -0.0182 rad/s, gy =  0.0024 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll = -2313, I_w_pitch = -0.0000 A, I_w_roll = -0.6536 A, theta_roll_comp = -15.4442 mrad 
msg =  644, time steps =   10, qsz =    2, switch = on, t =    12882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.0647, az = 10.0022, gx = -0.0189 rad/s, gy =  0.0023 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -2313, I_w_pitch = -0.0000 A, I_w_roll = -0.4905 A, theta_roll_comp = -15.7141 mrad 
msg =  645, time steps =   10, qsz =    2, switch = on, t =    12902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5442, ay = -0.1019, az =  9.9698, gx = -0.0195 rad/s, gy =  0.0027 rad/s, gz =  0.0041 rad/s, erpm_pitch =    0, erpm_roll = -2192, I_w_pitch = -0.0000 A, I_w_roll = -0.3213 A, theta_roll_comp = -16.0231 mrad 
msg =  646, time steps =   10, qsz =    2, switch = on, t =    12922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5334, ay = -0.1606, az =  9.9339, gx = -0.0197 rad/s, gy =  0.0016 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = -2129, I_w_pitch = -0.0000 A, I_w_roll = -0.2484 A, theta_roll_comp = -16.3288 mrad 
msg =  647, time steps =   10, qsz =    2, switch = on, t =    12942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5286, ay = -0.1486, az =  9.9363, gx = -0.0190 rad/s, gy =  0.0010 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -2129, I_w_pitch = -0.0000 A, I_w_roll = -0.3123 A, theta_roll_comp = -16.6783 mrad 
msg =  648, time steps =   10, qsz =    2, switch = on, t =    12962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.1810, az =  9.9543, gx = -0.0177 rad/s, gy =  0.0004 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -1953, I_w_pitch = -0.0000 A, I_w_roll = -0.4922 A, theta_roll_comp = -17.0522 mrad 
msg =  649, time steps =   10, qsz =    2, switch = on, t =    12982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.1642, az =  9.9674, gx = -0.0170 rad/s, gy =  0.0004 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = -1953, I_w_pitch = -0.0000 A, I_w_roll = -0.5565 A, theta_roll_comp = -17.3992 mrad 
msg =  650, time steps =   10, qsz =    2, switch = on, t =    13002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.1894, az =  9.9507, gx = -0.0159 rad/s, gy =  0.0004 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -1758, I_w_pitch = -0.0000 A, I_w_roll = -0.6957 A, theta_roll_comp = -17.7276 mrad 
msg =  651, time steps =   10, qsz =    2, switch = on, t =    13022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.1702, az =  9.9327, gx = -0.0157 rad/s, gy =  0.0007 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -1660, I_w_pitch = -0.0000 A, I_w_roll = -0.7001 A, theta_roll_comp = -17.9998 mrad 
msg =  652, time steps =   10, qsz =    2, switch = on, t =    13042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5766, ay = -0.1726, az =  9.9387, gx = -0.0147 rad/s, gy =  0.0016 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = -1660, I_w_pitch = -0.0000 A, I_w_roll = -0.8277 A, theta_roll_comp = -18.2508 mrad 
msg =  653, time steps =   10, qsz =    2, switch = on, t =    13062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5778, ay = -0.1690, az =  9.9555, gx = -0.0143 rad/s, gy =  0.0012 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -1456, I_w_pitch = -0.0000 A, I_w_roll = -0.8580 A, theta_roll_comp = -18.5104 mrad 
msg =  654, time steps =   10, qsz =    2, switch = on, t =    13082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.1666, az =  9.9674, gx = -0.0143 rad/s, gy =  0.0019 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = -1456, I_w_pitch = -0.0000 A, I_w_roll = -0.8178 A, theta_roll_comp = -18.7620 mrad 
msg =  655, time steps =   10, qsz =    2, switch = on, t =    13102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.1990, az =  9.9303, gx = -0.0123 rad/s, gy =  0.0015 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -1274, I_w_pitch = -0.0000 A, I_w_roll = -1.1391 A, theta_roll_comp = -19.0006 mrad 
msg =  656, time steps =   10, qsz =    2, switch = on, t =    13122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5670, ay = -0.1486, az =  9.9255, gx = -0.0130 rad/s, gy =  0.0010 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -1185, I_w_pitch = -0.0000 A, I_w_roll = -0.9878 A, theta_roll_comp = -19.1971 mrad 
msg =  657, time steps =   10, qsz =    2, switch = on, t =    13142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.0671, az =  9.9351, gx = -0.0146 rad/s, gy =  0.0030 rad/s, gz = -0.0032 rad/s, erpm_pitch =    0, erpm_roll = -1185, I_w_pitch = -0.0000 A, I_w_roll = -0.6877 A, theta_roll_comp = -19.2753 mrad 
msg =  658, time steps =   10, qsz =    2, switch = on, t =    13162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5994, ay = -0.0324, az =  9.9531, gx = -0.0155 rad/s, gy =  0.0018 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll = -1033, I_w_pitch = -0.0000 A, I_w_roll = -0.5198 A, theta_roll_comp = -19.2760 mrad 
msg =  659, time steps =   10, qsz =    2, switch = on, t =    13182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.0288, az =  9.9507, gx = -0.0186 rad/s, gy =  0.0024 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = -1033, I_w_pitch = -0.0000 A, I_w_roll =  0.0341 A, theta_roll_comp = -19.2927 mrad 
msg =  660, time steps =   10, qsz =    2, switch = on, t =    13202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.0264, az =  9.9315, gx = -0.0234 rad/s, gy =  0.0032 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -875, I_w_pitch = -0.0000 A, I_w_roll =  0.9124 A, theta_roll_comp = -19.3897 mrad 
msg =  661, time steps =   10, qsz =    2, switch = on, t =    13222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5322, ay = -0.0288, az =  9.9447, gx = -0.0241 rad/s, gy =  0.0026 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -819, I_w_pitch = -0.0000 A, I_w_roll =  1.0557 A, theta_roll_comp = -19.5362 mrad 
msg =  662, time steps =   10, qsz =    2, switch = on, t =    13242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4939, ay = -0.1247, az =  9.9351, gx = -0.0238 rad/s, gy =  0.0012 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -819, I_w_pitch = -0.0000 A, I_w_roll =  1.0504 A, theta_roll_comp = -19.8028 mrad 
msg =  663, time steps =   10, qsz =    2, switch = on, t =    13262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4891, ay = -0.2074, az =  9.9363, gx = -0.0254 rad/s, gy =  0.0000 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll = -600, I_w_pitch = -0.0000 A, I_w_roll =  1.4140 A, theta_roll_comp = -20.2777 mrad 
msg =  664, time steps =   10, qsz =    2, switch = on, t =    13282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5214, ay = -0.2481, az =  9.9423, gx = -0.0235 rad/s, gy = -0.0012 rad/s, gz =  0.0077 rad/s, erpm_pitch =    0, erpm_roll = -466, I_w_pitch = -0.0000 A, I_w_roll =  1.1717 A, theta_roll_comp = -20.8603 mrad 
msg =  665, time steps =   10, qsz =    2, switch = on, t =    13302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5538, ay = -0.2601, az =  9.9303, gx = -0.0201 rad/s, gy = -0.0021 rad/s, gz =  0.0089 rad/s, erpm_pitch =    0, erpm_roll = -466, I_w_pitch = -0.0000 A, I_w_roll =  0.6352 A, theta_roll_comp = -21.4016 mrad 
msg =  666, time steps =   10, qsz =    2, switch = on, t =    13322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.3153, az =  9.9387, gx = -0.0183 rad/s, gy = -0.0018 rad/s, gz =  0.0075 rad/s, erpm_pitch =    0, erpm_roll = -194, I_w_pitch = -0.0000 A, I_w_roll =  0.4106 A, theta_roll_comp = -21.9453 mrad 
msg =  667, time steps =   10, qsz =    2, switch = on, t =    13342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.3189, az =  9.9507, gx = -0.0142 rad/s, gy = -0.0002 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = -194, I_w_pitch = -0.0000 A, I_w_roll = -0.2515 A, theta_roll_comp = -22.4511 mrad 
msg =  668, time steps =   10, qsz =    2, switch = on, t =    13362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6054, ay = -0.3297, az =  9.9543, gx = -0.0091 rad/s, gy = -0.0001 rad/s, gz =  0.0071 rad/s, erpm_pitch =    0, erpm_roll =  -38, I_w_pitch = -0.0000 A, I_w_roll = -1.0956 A, theta_roll_comp = -22.8677 mrad 
msg =  669, time steps =   10, qsz =    2, switch = on, t =    13382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6114, ay = -0.3500, az =  9.9483, gx = -0.0061 rad/s, gy =  0.0012 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll =    5, I_w_pitch = -0.0000 A, I_w_roll = -1.5910 A, theta_roll_comp = -23.2169 mrad 
msg =  670, time steps =   10, qsz =    2, switch = on, t =    13402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6114, ay = -0.3261, az =  9.9519, gx = -0.0034 rad/s, gy =  0.0030 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    5, I_w_pitch = -0.0000 A, I_w_roll = -2.0266 A, theta_roll_comp = -23.4904 mrad 
msg =  671, time steps =   10, qsz =    2, switch = on, t =    13422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5922, ay = -0.2913, az =  9.9435, gx =  0.0011 rad/s, gy =  0.0031 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =   58, I_w_pitch = -0.0000 A, I_w_roll = -2.8239 A, theta_roll_comp = -23.6007 mrad 
